###ÄNSI;;;;;;;;;;;;
#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
b_morgu;Morgu;Morgu;Morgu;;Morgu;;;;;;;x
b_magba;Magba;Magba;Magba;;Magba;;;;;;;x
b_badu;Badu;Badu;Badu;;Badu;;;;;;;x
b_morgala;Morgala;Morgala;Morgala;;Morgala;;;;;;;x
b_badala;Badala;Badala;Badala;;Badala;;;;;;;x
b_chodoto;Chodoto;Chodoto;Chodoto;;Chodoto;;;;;;;x
b_chalasam;Chalasam;Chalasam;Chalasam;;Chalasam;;;;;;;x
b_tokoto;Tokoto;Tokoto;Tokoto;;Tokoto;;;;;;;x
b_loto;Loto;Loto;Loto;;Loto;;;;;;;x
b_kupote;Kupote;Kupote;Kupote;;Kupote;;;;;;;x
b_tupote;Tupote;Tupote;Tupote;;Tupote;;;;;;;x
b_lute;Lute;Lute;Lute;;Lute;;;;;;;x
b_farpoint;Farpoint;Farpoint;Farpoint;;Farpoint;;;;;;;x
b_emu;Emu;Emu;Emu;;Emu;;;;;;;x
b_damalah;Damalah;Damalah;Damalah;;Damalah;;;;;;;x
b_arcota;Arcota;Arcota;Arcota;;Arcota;;;;;;;x
b_amekufa;Amekufa;Amekufa;Amekufa;;Amekufa;;;;;;;x
b_mukafa;Mukafa;Mukafa;Mukafa;;Mukafa;;;;;;;x
b_kuvu;Kuvu;Kuvu;Kuvu;;Kuvu;;;;;;;x
b_kavu;Kavu;Kavu;Kavu;;Kavu;;;;;;;x
b_luvu;Luvu;Luvu;Luvu;;Luvu;;;;;;;x
b_shasira;Shasira;Shasira;Shasira;;Shasira;;;;;;;x
b_kashira;Kashira;Kashira;Kashira;;Kashira;;;;;;;x
b_loshina;Loshina;Loshina;Loshina;;Loshina;;;;;;;x
b_qo;Qo;Qo;Qo;;Qo;;;;;;;x
b_kolamilope;Kolamilope;Kolamilope;Kolamilope;;Kolamilope;;;;;;;x
b_adebowalan;Adebowalan;Adebowalan;Adebowalan;;Adebowalan;;;;;;;x
b_mooshalew;Mooshalew;Mooshalew;Mooshalew;;Mooshalew;;;;;;;x
b_olengode;Olengode;Olengode;Olengode;;Olengode;;;;;;;x
b_aaetha;A'aetha;A'aetha;A'aetha;;A'aetha;;;;;;;x
b_aaetha_adj;A'aethan;A'aethan;A'aethan;;A'aethan;;;;;;;x
b_aagul;Aagul;Aagul;Aagul;;Aagul;;;;;;;x
b_aagul_adj;Aagulian;Aagulian;Aagulian;;Aagulian;;;;;;;x
b_aalde;Aalde;Aalde;Aalde;;Aalde;;;;;;;x
b_aalde_adj;Aaldean;Aaldean;Aaldean;;Aaldean;;;;;;;x
b_aallamirs_keep;Aallamir's Keep;Aallamir's Keep;Aallamir's Keep;;Torreón de Aallamir;;;;;;;x
b_aamlo;Aamlo;Aamlo;Aamlo;;Aamlo;;;;;;;x
b_aamlo_adj;Aamlian;Aamlian;Aamlian;;Aamlian;;;;;;;x
b_aarnsgard;Aarnsgard;Aarnsgard;Aarnsgard;;Aarnsgard;;;;;;;x
b_aarnsgard_adj;Aarnsgardian;Aarnsgardian;Aarnsgardian;;Aarnsgardian;;;;;;;x
b_aataz_kahakla;Aataz Kahakla;Aataz Kahakla;Aataz Kahakla;;Aataz Kahakla;;;;;;;x
b_aataz_kahakla_adj;Aataz Kahaklan;Aataz Kahaklan;Aataz Kahaklan;;Aataz Kahaklan;;;;;;;x
b_aataz_yklawzi;Aataz Yklawzi;Aataz Yklawzi;Aataz Yklawzi;;Aataz Yklawzi;;;;;;;x
b_aataz_yklawzi_adj;Aataz Yklawzir;Aataz Yklawzir;Aataz Yklawzir;;Aataz Yklawzir;;;;;;;x
b_ababadira;Ababadira;Ababadira;Ababadira;;Ababadira;;;;;;;x
b_ababadira_adj;Ababadiran;Ababadiran;Ababadiran;;Ababadiran;;;;;;;x
b_abaghajin;Abaghajin;Abaghajin;Abaghajin;;Abaghajin;;;;;;;x
b_abaghajin_adj;Abaghajinian;Abaghajinian;Abaghajinian;;Abaghajinian;;;;;;;x
b_abahanel;Abahanel;Abahanel;Abahanel;;Abahanel;;;;;;;x
b_abahanel_adj;Abahanelian;Abahanelian;Abahanelian;;Abahanelian;;;;;;;x
b_abalada;Abalada;Abalada;Abalada;;Abalada;;;;;;;x
b_abalada_adj;Abaladan;Abaladan;Abaladan;;Abaladan;;;;;;;x
b_abalaras;Abalaras;Abalaras;Abalaras;;Abalaras;;;;;;;x
b_abalaras_adj;Abalarasian;Abalarasian;Abalarasian;;Abalarasian;;;;;;;x
b_abaltrer;Abaltrer;Abaltrer;Abaltrer;;Abaltrer;;;;;;;x
b_abaltrer_adj;Abaltrerian;Abaltrerian;Abaltrerian;;Abaltrerian;;;;;;;x
b_abam;Abam;Abam;Abam;;Abam;;;;;;;x
b_abam_adj;Abamian;Abamian;Abamian;;Abamian;;;;;;;x
b_abaminarr;Abaminarr;Abaminarr;Abaminarr;;Abaminarr;;;;;;;x
b_abaminarr_adj;Abaminarrian;Abaminarrian;Abaminarrian;;Abaminarrian;;;;;;;x
b_aban;Aban;Aban;Aban;;Aban;;;;;;;x
b_aban_adj;Abanian;Abanian;Abanian;;Abanian;;;;;;;x
b_aband;Aband;Aband;Aband;;Aband;;;;;;;x
b_aband_adj;Abandian;Abandian;Abandian;;Abandian;;;;;;;x
b_abandalem;Abandalem;Abandalem;Abandalem;;Abandalem;;;;;;;x
b_abandalem_adj;Abandalemian;Abandalemian;Abandalemian;;Abandalemian;;;;;;;x
b_abang;Abang;Abang;Abang;;Abang;;;;;;;x
b_abang_adj;Abangian;Abangian;Abangian;;Abangian;;;;;;;x
b_abar;Abar;Abar;Abar;;Abar;;;;;;;x
b_abar_adj;Abarian;Abarian;Abarian;;Abarian;;;;;;;x
