###ÄNSI;;;;;;;;;;;;x
EVTDESC402a;It seems I am with child, though not by my husband. Fortunately we give little mind to such matters.;;;;;;;;;;;x
EVTDESC412a;It seems I am with child, though the child is not my lord's. Fortunately we concern ourselves little with these things.;;;;;;;;;;;x
EVTOPTA455;What a waste of time!;;;;;;;;;;;x
EVTOPTB450;Avoid [From.GetHerHim];;;;;;;;;;;x
EVTDESC401a;It seems I am pregnant. Fortunately, we do not care about it being out of wedlock as some others might.;;;;;;;;;;;x
EVTOPTA402a;Good thing I don't have to lie about it.;;;;;;;;;;;x
EVTTOOLTIP404a;Your spouse is informed.;;;;;;;;;;;x
GENMISC.27_CASE1;Your spouse, [From.GetBestName] has informed you she is pregnant from [From.FatherOfUnborn.GetBestName].;;;;;;;;;;;x
GENMISC.27_CASE2;Your spouse, [From.GetBestName] has informed you she is pregnant from one of her fleeting lovers.;;;;;;;;;;;x
GENMISC.27a;Thanks for telling me.;;;;;;;;;;;x
dwarf;Short;;;;;;;;;;;x
dwarf_desc;This unfortunate character was born very small.;;;;;;;;;;;x
giant;Tall;;;;;;;;;;;x
giant_desc;This character was born very tall. While imposing, this character suffers from significant health problems and is likely to die young.;;;;;;;;;;;
military_jesus;[Root.Religion.GetRandomGodName] Gives Military Advice;;;;;;;;;;;x
military_jesus_desc;This character seems to be blessed with the military advice of the divine.;;;;;;;;;;;x
voice_of_jesus;Voice of [Root.Religion.GetRandomGodName];;;;;;;;;;;x
voice_of_jesus_desc;Apparently the divine speaks to this character.;;;;;;;;;;;x
voice_of_satan;Voice of [Root.Religion.GetRandomEvilGodName];;;;;;;;;;;x
voice_of_satan_desc;Apparently the enemies of the faith speak to this character.;;;;;;;;;;;x
EVTOPTA1980;I like how this feels;;;;;;;;;;;x
EVTDESC1980;I find myself being drawn to others in new and exciting ways;;;;;;;;;;;x
EVTDESC1990;I find myself being drawn to others in new and exciting ways;;;;;;;;;;;x
EVTOPTALoR.886;Tell us more about this mythical realm of Malatra.;Dites-m'en plus sur ce royaume mythique d'Hindoustan.;Erzählt uns mehr über dieses mysteriöse Reich der Hindus.;;Cuéntanos más acerca de este mítico reino de Indostán.;;;;;;;x
true_christian_knight;Champion of the Estelar;;;;;;;;;;;x
true_christian_knight_desc;Bravery and no mortal sins gives a true heroic knight respect from the clergy.;;;;;;;x
DIPLOFLAVOR_INSULT_0;Tales of your misdeeds are told from Moonshae to Wa.;Vos méfaits sont connus depuis l'Irlande jusqu'à Shou Lung.;von Euren Missetaten erzählt man sich von Irland bis China!;;Se cuentan historias de tus fechorías desde Irlanda hasta Catay.;;;;;;;x
DIPLOFLAVOR_INSULT_1;Your low character is the subject of Chessentan plays.;Votre bassesse est telle qu'elle a inspiré des pièces de théâtre grecques ! ;Euer niederer Charakter ist Mittelpunkt griechischer Theaterstücke!;;Tu escaso carácter es el tema de las obras de teatro griegas.;;;;;;;x
DIPLOFLAVOR_INSULT_muslim_2;May Fate ruin your house.;Qu'Allah détruise votre Maison ! ;möge Allah Euer Haus vernichten!;;Que Alá destruya tu casa.;;;;;;;x
HF_222_DESC;My servants apparently lost track of [child_of_destiny.GetFirstName] today, and it took hours to locate [child_of_destiny.GetHerHim]! [child_of_destiny.GetSheHeCap] was found in the nick of time, just before I was about to order a full-scale search. When they found [child_of_destiny.GetHerHim] [child_of_destiny.GetSheHe] was reading a book no one had ever seen before, written in lorass no less...;Mes serviteurs ont apparemment perdu la trace de [child_of_destiny.GetFirstName] aujourd'hui et cela a pris des heures pour [child_of_destiny.GetLeLa] retrouver, juste à temps avant que j'ordonne une recherche à grande échelle. [child_of_destiny.GetIlElleCap] lisait un livre que personne n'avait jamais vu auparavant, écrit en latin.;Meine Diener haben heute scheinbar [child_of_destiny.GetFirstName] verloren und es hat Stunden gedauert [child_of_destiny.Getihnsie] ausfindig zu machen! [child_of_destiny.GetSheHeCap] wurde gerade rechtzeitig gefunden, kurz bevor ich eine umfassende Suche anordnen wollte. Als sie [child_of_destiny.Getihnsie] fanden, las [child_of_destiny.GetSheHe] ein Buch, das zuvor noch niemand gesehen hat, geschrieben in Latein...;;¡Al parecer, hoy mis sirvientes perdieron la pista de [child_of_destiny.GetFirstName] y les llevó horas localizarlo! Solo lo hallaron en el último instante, cuando estaba a punto de organizar una batida general. Al encontrarlo, estaba leyendo un libro que nadie había visto, y encima en latín…;;;;;;;x
HF_222_OPTA;[child_of_destiny.GetFirstName], oh how you scared me...! And how do you know Loross?;[child_of_destiny.GetFirstName], vous m'avez fait très peur ! ... Et comment connaissez-vous le latin ?;[child_of_destiny.GetFirstName], ich habe mir solche Sorgen gemacht! Und woher kannst du Latein?;;¡Qué susto me has dado, [child_of_destiny.GetFirstName]! ¿Desde cuándo sabes latín?;;;;;;;x
EVTDESC_TOG_3306;The key fits the lock, and trembling with anticipation you slowly open the chest. It is filled with ancient gold coins, carved with the likeness of the long-dead Emperors of Netheril and words written in their strange language!;La clef entre dans la serrure et, tremblant d'excitation, vous ouvrez lentement le coffre. Il est rempli d'anciennes piËces d'or gravÈes d'un seau similaire ‡ celui des empereurs romains morts depuis des lustres et de mots Ècrits dans leur langue Ètrange†!;Der Schl¸ssel passt perfekt ins Schloss und zitternd vor Erwartung ˆffnet Ihr langsam die Truhe. Sie ist mit uralten Goldm¸nzen gef¸llt, die das Antlitz l‰ngst verstorbener, rˆmischer Imperatoren eingepr‰gt haben sowie Worte in ihrer fremden Sprache.;;La llave encaja en la cerradura, y temblando de emociÛn abres el cofre poco a poco. °Est· lleno de antiguas monedas de oro, talladas con la imagen de los Emperadores de Roma muertos hace mucho tiempo y palabras escritas en su extraÒo idioma!;;;;;;;x
EVTDESC_TOG_3300;As your men return from looting the holding, one of them hands you an unlocked chest with a faint arcane aura. Whatever is inside, must be magical.;;;;;;;;;;;x
EVTOPTA_TOG_3300;I can't wait to see what's inside!;;;;;;;;;;;x
EVTOPTB_TOG_3300;No, leave it.;;;;;;;;;;;x
EVTDESC_TOG_3307;As you finally unlock the chest, an arcane aura fills the air. Whatever is inside, must be magical.;;;;;;;;;;;x
EVTOPTA_TOG_3307;I can't wait to see what it is!;;;;;;;;;;;x
EVTDESC_TOG_3309;As you finally unlock the chest, you feel a shiver down your spine. Suddenly, the chest opens on its own, springing into action and sporting rows of sharp teeth!;;;;;;;;;;;x
EVTOPTA_TOG_3309;Have at thee, creature!;;;;;;;;;;;x
EVTOPTB_TOG_3309;Aaaagh! Mimic!;;;;;;;;;;;x
terrible_armor;Mundane Armor;;;;;;;;;;;x
EVTOPTA_WOL_99;I'm more skilled than a succubus!;;;;;;;;;x
EVTOPTA_WOL_99_PERS;I'm more skilled than a succubus!;;;;;;;;;x
EVTDESC_TOG_604;The guests have arrived, and the time has come for the blot to begin! You gather outside the temple, and start by offering animals as sacrifice to the gods. While their meat is prepared for the feast that is to follow, the blood is sprinkled on altars of the gods, as well as on the worshipers themselves.;;;;;;;;;;;x
EVTOPTA_TOG_604;Now for the human sacrifice...;Et maintenant, le sacrifice humain...;Und jetzt zum Menschenopfer...;;Ahora, para el sacrificio humano...;;;;;;;x
EVTDESC_TOG_605;The time has come for the blot held by [From.GetTitledFirstName] to begin! You gather outside the temple, and start by offering animals as sacrifice to the gods. While their meat is prepared for the feast that is to follow, the blood is sprinkled on altars of the gods, as well as on the worshipers themselves.;;;;;;;;;;;x
EVTDESC_TOG_611;[From.GetTitledFirstName] is brought up from your dungeons and escorted to the temple. As the noose is placed around [From.GetHerHis] neck, [From.GetSheHe] steadies [From.GetHerselfHimself] and murmurs several passages that you recognize as being from an Estelar holy book.;On escorte [From.Get_le_TitledFirstName] depuis les cachots jusqu'au temple. Pendant qu'on lui passe la corde autour du cou, [From.GetIlElle] se tient fermement et murmure plusieurs passages que vous reconnaissez comme provenant du livre sacrÈ des chrÈtiens.;[From.GetTitledFirstName] wird aus Eurem Verlies geholt und zum Tempel eskortiert. Als eine Schlinge um [From.GetHerHis]en Hals gelegt wird, bleibt [From.GetSheHe] standhaft und murmelt zahlreiche Verse, die Ihr als Passagen aus dem christlichen Heiligen Buch erkennt.;;[From.GetTitledFirstName] es traÌdo de tu mazmorra y escoltado al templo. Mientras le ponen la soga alrededor de [From.GetHerHis] cuello, [From.GetSheHe] se estabiliza a [From.GetHerselfHimself] y murmura varios pasajes que reconoces son del libro sagrado Cristiano.;;;;;;;x
EVTOPTA_TOG_611;Where are your gods now, [From.GetFirstName]?;Elle est o?, maintenant, votre Sainte Vierge, [From.GetFirstName]†?;Wo ist Eure Heilige Jungfrau jetzt, [From.GetFirstName]?;;øDÛnde est· tu SantÌsima Virgen ahora, [From.GetFirstName]?;;;;;;;x
EVTOPTB_TOG_611;No, perhaps this is a bad idea...;Non, ce n'est peut-Ítre pas une bonne idÈe...;Nein, das ist vielleicht eine schlechte Idee...;;No, tal vez esto es una mala idea...;;;;;;;x
terrible_armor_desc;Extremely cheap ring mail armor.;;;;;;;;;;;x
EVTOPTA_MNM_40000_SWORD;This sword will be known as Dragonslayer!;Cette ÈpÈe sera connue comme la Chasseuse de Dragon†!;Dieses Schwert wird als Drachensucher bekannt!;;°La espada se llamar· Buscacorazones!;;;;;;;x
EVTOPTA_MNM_40000_LANCE;This lance will be known as Suzail!;Cette lance sera connue sous le nom d'Ascalon†!;Diese Lanze wird als Askalon bekannt!;;°La lanza se llamar· AscalÛn!;;;;;;;x
EVTOPTB_MNM_40000_SWORD;My every foe shall fear Celestia's Vengeance!;Mes ennemis vont craindre la Vengeance des Cieux†!;Jeder Feind soll die Rache des Himmels f¸rchten!;;°Todos mis enemigos temer·n la Venganza del Cielo!;;;;;;;x
EVTOPTB_MNM_40000_LANCE;My every foe shall fear the Oceanic Trident!;Mes ennemis craindront ma Lance Sanglante†!;Jeder Feind soll die blutige Lanze f¸rchten!;;°Todos mis enemigos temer·n la Lanza Sangrienta!;;;;;;;x
EVTOPTB_MNM_40000_AXE;My every foe shall fear the Divine Devastator!;Mes ennemis craindront ma DÈvastatrice des Cieux†!;Jeder Feind soll den Himmelsverw¸ster f¸rchten! ;;°Todos mis enemigos temer·n la Devastadora del Cielo!;;;;;;;x
EVTOPTB_MNM_40000_ARMOR;This will be my Elven Armor.;Ce sera mon Armure Verte.;Diese R¸stung wird meine Gr¸ne R¸stung sein.;;Esta ser· mi Armadura verde;;;;;;;x
EVTOPTC_MNM_40000_SWORD;She looks like a [Root.Religion.GetHighGodName]'s Fury, doesn't she?;Elle ressemble ‡ la Furie [Root.Get_du_HighGod], n'est-ce pas†?;Es sieht wie der Zorn von [Root.Religion.GetHighGodName] aus, nicht?;;Parece la Furia de [Root.Religion.GetHighGodName], øverdad?;;;;;;;x
#####DnD Inspired Loc For Vanilla Crafted Weapons And Armor######;;;;;;;;;;;;x
###TIER 4###;;;;;;;;;;;;x
sword_tier_4_heartseeker;Dragonslayer +3;Chasseuse de Dragon +3;Drachensucher +3;;Buscacorazones +3;;;;;;;x
sword_tier_4_vengeance;Celestia's Vengeance +3;Vengeance des Cieux +3;Rache des Himmels +3;;Venganza del Cielo +3;;;;;;;x
sword_tier_4_fury;[Root.Religion.GetHighGodName]'s Fury +3;Furie [Root.Get_du_HighGod];[Root.Religion.GetHighGodName]s Zorn;;Furia de [Root.Religion.GetHighGodName];;;;;;;x
scimitar_tier_4_golden;Golden Vengeance +3;Vengeance DorÈe;Goldene Vergeltung;;Venganza dorada;;;;;;;x
scimitar_tier_4_fortune;Scimitar of the Night +3;Cimeterre de la Nuit;Krumms‰bel der Nacht;;Cimitarra de la Noche;;;;;;;x
scimitar_tier_4_conquest;Scimitar of Death +3;Cimeterre de la Mort;Krumms‰bel des Todes;;Cimitarra de la Muerte;;;;;;;x
lance_tier_4_impaler;Suzail +3;Suzail +3;Suzail +3;;Suzail +3;;;;;;;x
lance_tier_4_trident;Oceanic Trident +3;Lance Sanglante;Blutige Lanze;;Lanza Sangrienta;;;;;;;x
lance_tier_4_piercer;Death Strike +3;Coup Mortel;Todessto?;;Golpe de Muerte;;;;;;;x
axe_tier_4_cleaver;The Dragon Cleaver +3;Fendoir de Dragon;Drachenspalter;;Destripadragones;;;;;;;x
axe_tier_4_ravager;Divine Devastator +3;DÈvastatrice des Cieux;Himmelsverw¸ster;;Devastadora del Cielo;;;;;;;x
axe_tier_4_marauder;Darkbringer +3;Messager des TÈnËbres;Dunkelbringer;;Heraldo de Oscuridad;;;;;;;x
mace_tier_4_foe_hammer;Skullcrusher +3;Briseuse de Cr‚nes;Sch‰delzertr¸mmerer;;Partecr·neos;;;;;;;x
mace_tier_4_bone_breaker;Twilight's Hammer +3;Marteau du CrÈpuscule;Zwielicht Hammer;;Martillo del Crep?sculo;;;;;;;x
mace_tier_4_shatterer;Giant Shatterer +3;GÈante Briseuse;Riesentˆter;;Desmenuzagigantes;;;;;;;x
bow_tier_4_silent_wind;Death Wind +3;Souffle de la Mort;Todeswind;;Viento de Muerte;;;;;;;x
bow_tier_4_lightning;Lightning Strike +3;Attaque Foudroyante;Blitzschlag;;Golpe rel·mpago;;;;;;;x
bow_tier_4_eagle;Ice Eagle +3;Aigle de Glace;Eisadler;;¡guila de hielo;;;;;;;x
