#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

###DISPLAY;;;;;;;;;;;x
AGE_FACTOR;----;;;;;;;;;;;;x
STAT_CULTURE_DESC; ;;;;;;;;;;;x
GODS;Powers:;Divinités:;Gute Götter:;;Divinidades:;;;;;;;;;x
HIGH_GOD;Highest Power:;Divinité principale:;Höchster Gott:;;Dios supremo:;;;;;;;x
EVIL_GODS;Opposing Powers:;Divinités maléfiques:;Böse Götter:;;Nombres dioses malvados:;;;;;;;x
FAM_HUSBAND;Spouse;Époux;Gatte;;Esposo;;;;;;;x
FAM_WIFE;Spouse;Épouse;Gattin;;Esposa;;;;;;;x
MALE_SPOUSE;spouse;époux;gatte;;esposo;;;;;;;x
FEMALE_SPOUSE;spouse;époux;gatte;;esposo;;;;;;;x

###DATES;;;;;;;;;;;x
January;Hammer (1);;;;;;;;;;;x
February;Alturiak (2);;;;;;;;;;;x
March;Ches (3);;;;;;;;;;;x
April;Tarsakh (4);;;;;;;;;;;x
May;Mirtul (5);;;;;;;;;;;x
June;Kythorn (6);;;;;;;;;;;x
July;Flamerule (7);;;;;;;;;;;x
August;Eleasias (8);;;;;;;;;;;x
September;Eleint (9);;;;;;;;;;;x
October;Marpenoth (10);;;;;;;;;;;x
November;Uktar (11);;;;;;;;;;;x
December;Nightal (12);;;;;;;;;;;x

###LOADING SCREENS;;;;;;;;;;;x
ADAPTING_HISTORY;Learning from Elminster...;;;;;;;;;;;x
CREATING_BORDERS;Exploring Faerûn...;;;;;;;;;;;x
CREATING_CHKSUM;Stealing Divinity...;;;;;;;;;;;x
CREATING_PROVINCE;Destroying Myth Drannor...;;;;;;;;;;;x
CREATING_RIVERS;Hiding in Darkness...;;;;;;;;;;;x
CREATING_TEXTS;Joining the Harpers...;;;;;;;;;;;x
CREATING_THE_WORLD;Shaping Toril...;;;;;;;;;;;x
CREATING_TREES;Planting the Treants...;;;;;;;;;;;x
LOADING_MAP_SPRITES;Entering the Realms...;;;;;;;;;;;x
LOADING_GUI_DEF;Battling Shar...;;;;;;;;;;;x
LOADING_DATABASES;Forming Mystra...;;;;;;;;;;;x
INIT_MAP_LOGIC;Casting a Spell...;;;;;;;;;;;x
CALC_PATHS;Creating Mortal Races...;;;;;;;;;;;x
GENERATING_COAS;Negotiating with Asmodeus...;;;;;;;;;;;x
LOADING_HISTORY;Admiring Lathander...;;;;;;;;;;;x
LOAD_EVENTS;Worshipping Lolth...;;;;;;;;;;;x
LOADING_SOUNDS;Summoning Demogorgon...;;;;;;;;;;;x
PROC_FLAGS;Thanking Tempus...;;;;;;;;;;;x
LOAD_FLAGS;Hunting with Giants...;;;;;;;;;;;x
LOAD_GFX;Meeting in a Tavern...;;;;;;;;;;;x
MAP_PROPERLY_INIT;Seducing a Mind Flayer...;;;;;;;;;;;x
LOAD_CITY;Building Baldur's Gate...;;;;;;;;;;;x
LOAD_GFX_PDXMAP_SHADERS;Creating a Phylactery...;;;;;;;;;;;x
LOAD_GFX_PDXMAP_TERRAIN;Befriending Drizzt...;;;;;;;;;;;x
LOAD_GFX_PDXMAP_BORDERS;Charging a Beholder...;;;;;;;;;;;x
LOAD_GFX_PDXMAP_TEXTURES;Practicing a Feat...;;;;;;;;;;;x
LOAD_GFX_PDXMAP_TREES;Resisting a Dryad...;;;;;;;;;;;x
LOAD_GFX_PDXMAP_RIVERS;Burning a Troll...;;;;;;;;;;;x
LOAD_GFX_PDXMAP_STATIC_OBJECTS;Being Enslaved by an Aboleth...;;;;;;;;;;;x
LOADING_CALC_NAVAL;Murdering the Bhaalspawn...;;;;;;;;;;;x
LOAD_INIT;Recovering Spell Slots...;;;;;;;;;;;x

PICK_ERA_YEAR;$YEAR$ D.R.;$YEAR$ après D.R.;;;;;;;;;;x
PICK_YOUR_STARTING_ERA;Choose Your Starting Realm;Choisissez l'époque à laquelle vous débutez;Wählt Eure Startperiode;;Elige Tu Época de Inicio;;;;;;;x
PICK_STARTING_ERA_TEXT;Toril is a world of strange lands, dangerous creatures, and mighty deities.;;;;;;;;;;;x

HINT_SPLASH_TEXT;In Faerûn - Forgotten Kings, you play as a succession of fantasy rulers from a single dynasty.\nThere is no set goal, but the world is filled with ambitious rivals... Secure more land to increase your power and protect your family.;;;;;;;;;;;;;x
HINT_SPLASH_VICTORY;You cannot hold infinite amounts of land yourself. To expand, you will need to rely on vassal rulers. Keep them happy with titles and gifts lest they decide to revolt! The game will end in 9999, if your computer can run the game that long...;;;;;;;;;;;;;x
WELCOME_HEADER;Welcome to Faerûn - Forgotten Kings;Bienvenue dans Faerûn - Forgotten Kings;Willkommen zu Faerûn - Forgotten Kings;;Bienvenido a Faerûn - Forgotten Kings;;;;;;;;;x
HINT_SPLASH_TITLE;Welcome to Faerûn - Forgotten Kings;Bienvenue dans Faerûn - Forgotten Kings;Willkommen zu Faerûn - Forgotten Kings;;Bienvenido a Faerûn - Forgotten Kings;;;;;;;;;x

LOADING_TIP_0;"You should have given a sword, give a man a fish and he feeds himself for a day, give a man a sword and he can chow down on the meaty marrow of evil!" - Minsc;;;;;;;;;;;x
LOADING_TIP_1;"Minsc will be free! These bonds will not hold my wrath! Butts will be liberally kicked in good measure!" - Minsc;;;;;;;;;;;x
LOADING_TIP_2;"I won't cry for the dead! I won't! Well, maybe a little... but I will staunch the tears with righteous fury!" - Minsc;;;;;;;;;;;x
LOADING_TIP_3;"I trust those who prey on children no farther than they can be thrown, even if I manage to throw them pretty far!" - Minsc;;;;;;;;;;;x
LOADING_TIP_4;"Fool me once, shame on you, fool me twice, watch it! I'm huge!" - Minsc;;;;;;;;;;;x
LOADING_TIP_5;"No trespassing. Violators should notify next of kin. Have a pleasant day." - Sign outside Elminster's Tower;;;;;;;;;;;x
LOADING_TIP_6;"Some folk in the Realms would give their lives for the chance to learn at my feet," Elminster said mildly. "Several already have.";;;;;;;;;;;x
LOADING_TIP_7;"Life has no meaning but what we give it. I wish a few more of ye would give it a little." - Elminster;;;;;;;;;;;x
LOADING_TIP_8;The realm of Netheril was destroyed when the wizard Karsus attempted to take control of the Weave.;;;;;;;;;;;x
LOADING_TIP_9;Interlopers are foreign divine beings that find their way into a new cosmology. They are highly sought after by those seeking allies or power.;;;;;;;;;;;x
LOADING_TIP_10;Sexuality is more open in Faerûn than medieval Earth. Greenwood wills it!;;;;;;;;;;;x
LOADING_TIP_11;"Often now I lift my cup in a futile toast, an apology to ears that cannot hear." - Drizzt Do'Urden;;;;;;;;;;;x
LOADING_TIP_12;Mystryl was the first goddess of the Weave, created by the struggle between Shar and Selûne at the dawn of time.;;;;;;;;;;;x
LOADING_TIP_13;The Harpers are dedicated to overthrowing all tyrants and are rarely peaceful about it.;;;;;;;;;;;x
LOADING_TIP_14;Eldreth Veluuthra is a secretive organization up of elves dedicated to eradicating all humans from Faerûn.;;;;;;;;;;;x
LOADING_TIP_15;The Cult of the Dragon aims to create a legion of undead dragon overlords to rule over Faerûn.;;;;;;;;;;;x
LOADING_TIP_16;The Shadow Thieves are a diverse mix of criminals who aim to increase their economic power through unethical means.;;;;;;;;;;;x
LOADING_TIP_17;The Underdark is a vast subterranean network of caverns and tunnels that exists beneath the world. It is home to some of the most dangerous creatures in Toril.;;;;;;;;;;;x
LOADING_TIP_18;Lolth is the drow goddess of trickery and heads the Dark Seldarine pantheon. She used to be an elven goddess of destiny and artisans named Araushnee.;;;;;;;;;;;x
LOADING_TIP_19;Corellon Larethian is the patron god of elves. They are the elvish creator and preserver and governs magic, music, arts, crafts, poetry, and warfare.;;;;;;;;;;;x
LOADING_TIP_20;Tempus is the god of war. His dogma is primarily concerned with honorable battle, forbidding cowardice and encouraging force of arms to settle disputes.;;;;;;;;;;;x
LOADING_TIP_21;Selûne is the goddess of the moon, light, navigation, wanderers, questers, and good lycanthropes. Her sister, Shar and she were born from the primordial essence of the universe.;;;;;;;;;;;x
LOADING_TIP_22;Shar is the goddess of darkness, caverns, loss, night, and secrets. She created the Shadow Weave as an alternative source for magic.;;;;;;;;;;;x
LOADING_TIP_23;Vhaeraun is the drow god of thievery. He is often worshipped by drow males and surface drow. He opposes his mother and rival, Lolth.;;;;;;;;;;;x
LOADING_TIP_24;Eilistraee is the drow goddess of song, dance, hunting, moonlight, and beauty. She is the only good drow deity and the only deity who willingly chose exile to assist the drow.;;;;;;;;;;;x
LOADING_TIP_25;Ao is the Overgod of Abeir-Toril. All other deities and primordials are his subjects. He is a distant being, and grants no spells or boons.;;;;;;;;;;;x
LOADING_TIP_26;Azuth is the god of arcana and knowledge, patron of those who concern themselves with the advancement of the magical arts. Azuth often appears as a white-bearded man.;;;;;;;;;;;x
LOADING_TIP_27;Bane is the god of fear, hatred, and tyranny. Preferring to plot and scheme, he rarely appears in any direct manner. His ultimate goal is to control all of Faerûn.;;;;;;;;;;;x
LOADING_TIP_28;Chauntea is the goddess of the earth, agriculture, life, and summer. She was born by the unified efforts of Shar and Selûne creating Toril.;;;;;;;;;;;x
LOADING_TIP_29;Gond is the god of craft and smithwork. His clerics travel around finding work as artisans and engineers. He is often worshipped by rock gnomes.;;;;;;;;;;;x
LOADING_TIP_30;Cyric is the god of murder, lies, intrigue, and illusions. He was a mortal who stole the divine power of many gods, making him many powerful enemies.;;;;;;;;;;;x
LOADING_TIP_31;Helm is the god of guardians, protection, and protectors. He is often worshipped by guards and paladins. He is viewed as a cold and distant deity.;;;;;;;;;;;x
LOADING_TIP_32;Ilmater is the god of endurance, martyrdom, and perserverance. He aids the suffering and oppressed, and is angered by those who delight in suffering.;;;;;;;;;;;x
LOADING_TIP_33;Kelemvor is the god of death and the dead. He aims to have death perceived as a natural part of life, instead of something to be feared.;;;;;;;;;;;x
LOADING_TIP_34;Primordials are god-like beings whose domains include the Elemental Chaos and Abeir, unlike the gods whose domains are the Astral Sea and Toril.;;;;;;;;;;;x
LOADING_TIP_35;Lathander is the god of creativity, dawn, birth, athletics, spring, vitality, and youth. He once caused the disastrous event known as the Dawn Cataclysm.;;;;;;;;;;;x
LOADING_TIP_36;Malar is the god of the hunt, lycanthropes, bloodlust, and bestial savagery. His dogma contains a general contempt for civilization.;;;;;;;;;;;x
LOADING_TIP_37;Mask is the god of shadows and thieves. He was also the god of intrigue before it was taken by Cyric, forcing Mask to become more direct.;;;;;;;;;;;x
LOADING_TIP_38;Mielikki is the goddess of autumn, druids, dryads, forests, and rangers. Every month, her clerics call forth a fey being and perform odd jobs for it.;;;;;;;;;;;x
LOADING_TIP_39;Mystra is the goddess of magic. She is the embodiment of the Weave, which magic comes from. She constantly fights to uphold the laws of magic.;;;;;;;;;;;x
LOADING_TIP_40;Oghma is the god of bards, inspiration, invention, and knowledge. He is the leader of the Deities of Knowledge and Invention.;;;;;;;;;;;x
LOADING_TIP_41;Stronmaus is the giant deity of the sun, sky, weather, seas, and joy. Though he doesn't crave power, he is the current head of the giant pantheon.;;;;;;;;;;;x
LOADING_TIP_42;Silvanus is the god of wild nature and druids. His worshipers vigorously protect places of nature from the encroachment of civilization.;;;;;;;;;;;x
