#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
nick_abu_jinn;abu Jinn;;;;;;;;;;;x
nick_acolyte_of_maglubiyet;Acolyte of Maglubiyet;;;;;;;;;;;x
nick_addle_wits;Addle-Wits;;;;;;;;;;;x
nick_adept_of_the_black_sun;Adept of the Black Sun;;;;;;;;;;;x
nick_agent_of_balance;Agent of Balance;;;;;;;;;;;x
nick_agent_of_destruction;Agent of Destruction;;;;;;;;;;;x
nick_agent_of_law;Agent of Law;;;;;;;;;;;x
nick_agent_of_progress;Agent of Progress;;;;;;;;;;;x
nick_agent_of_tyranny;Agent of Tyranny;;;;;;;;;;;x
nick_amberlee;Amberlee;;;;;;;;;;;x
nick_angel_of_the_dark;Angel of the Dark;;;;;;;;;;;x
nick_apostle_of_peace;the Apostle of Peace;;;;;;;;;;;x
nick_archduchess_of_avernus;Archduchess of Avernus;;;;;;;;;;;x
nick_assuran;Assuran;;;;;;;;;;;x
nick_autumnfire;Autumnfire;;;;;;;;;;;x
nick_avatar_of_zariel;Avatar of Zariel;;;;;;;;;;;x
nick_axehair;Axehair;;;;;;;;;;;x
nick_bandit_lord;Bandit Lord;;;;;;;;;;;x
nick_bane_of_belaphoss;the Bane of Belaphoss;;;;;;;;;;;x
nick_banes_invoker;Bane's Invoker;;;;;;;;;;;x
nick_baron_blood;the Baron of Blood;;;;;;;;;;;x
nick_battle_angel;Battle Angel;;;;;;;;;;;x
nick_battleweaver;Battleweaver;;;;;;;;;;;x
nick_beacon_of_last_light;Beacon of Last Light;;;;;;;;;;;x
nick_beholderslayer;Beholderslayer;;;;;;;;;;;x
nick_bhaals_invoker;Bhaal's Invoker;;;;;;;;;;;x
nick_black_lotus;Black Lotus;;;;;;;;;;;x
nick_blackblood;Blackblood;;;;;;;;;;;x
nick_blackheart;Blackheart;;;;;;;;;;;x
nick_blacksoul;Blacksoul;;;;;;;;;;;x
nick_blackstaff;Blackstaff;;;;;;;;;;;x
nick_blade_of_frontiers;Blade of Frontiers;;;;;;;;;;;x
nick_blazesteel;Blazesteel;;;;;;;;;;;x
nick_bloodmane;Bloodmane;;;;;;;;;;;x
nick_bloodteeth;Blood-Teeth;;;;;;;;;;;x
nick_bonecaller;Bonecaller;;;;;;;;;;;x
nick_bookwyrm;Bookwyrm;;;;;;;;;;;x
nick_bramble_sovereign;Bramble Sovereign;;;;;;;;;;;x
nick_caller_of_the_small;Caller of the Small;;;;;;;;;;;x
nick_capn_cyclops;Cap'n Cyclops;;;;;;;;;;;x
nick_catseye;Cat's Eye;;;;;;;;;;;x
nick_champ_of_gwyn;Champion of Gwynharwyf;;;;;;;;;;;x
nick_champion_of_wits;Champion of Wits;;;;;;;;;;;x
nick_chi;Ch'i;;;;;;;;;;;x
nick_chia;Chia;;;;;;;;;;;x
nick_chien;Chien;;;;;;;;;;;x
nick_chih;Chih;;;;;;;;;;;x
nick_cinderhoof;Cinderhoof;;;;;;;;;;;x
nick_cinderlord;Cinderlord;;;;;;;;;;;x
nick_cloaksnows;Cloaksnows;;;;;;;;;;;x
nick_coast_wolf;Coast Wolf;;;;;;;;;;;x
nick_conan;Conan;;;;;;;;;;;x
nick_conduit_of_the_arcane;Conduit of the Arcane;;;;;;;;;;;x
nick_count_of_counts;Count of Counts;;;;;;;;;;;x
nick_crownsplitter;Crownsplitter;;;;;;;;;;;x
nick_daotfw;Dark Angel of the Four Winds;;;;;;;;;;;x
nick_dareall;Dare-All;;;;;;;;;;;x
nick_darkblade;Darkblade;;;;;;;;;;;x
nick_darktreader;Darktreader;;;;;;;;;;;x
nick_dawnkiller;Dawnkiller;;;;;;;;;;;x
nick_deathbringer;Deathbringer;;;;;;;;;;;x
nick_deathlock;Deathlock;;;;;;;;;;;x
nick_deathpriest;Death-Priest;;;;;;;;;;;x
nick_deaths_chosen;Death's Chosen;;;;;;;;;;;x
nick_deaths_hierophant;Death's Hierophant;;;;;;;;;;;x
nick_deaths_whisper;Death's Whisper;;;;;;;;;;;x
nick_deeping_princess;the Deeping Princess;;;;;;;;;;;x
nick_defender_of_the_eastern_way;Defender of the Eastern Way;;;;;;;;;;;x
nick_demon_eye;Demon Eye;;;;;;;;;;;x
nick_demon_fang;Demon-Fang;;;;;;;;;;;x
nick_demonbane;Demonbane;;;;;;;;;;;x
nick_demonslayer;Demonslayer;;;;;;;;;;;x
nick_demonwrecker;Demonwrecker;;;;;;;;;;;x
nick_devils_chosen;Devil's Chosen;;;;;;;;;;;x
nick_devils_pawn;Devil's Pawn;;;;;;;;;;;x
nick_disciple_of_arcana;Disciple of Arcana;;;;;;;;;;;x
nick_disciple_of_blood;Disciple of Blood;;;;;;;;;;;x
nick_disciple_of_rebirth;Disciple of Rebirth;;;;;;;;;;;x
nick_disciple_of_strength;Disciple of Strength;;;;;;;;;;;x
nick_disciple_of_violence;Disciple of Violence;;;;;;;;;;;x
nick_disciple_of_zehir;Disciple of Zehir;;;;;;;;;;;x
nick_doadh;Doom of All Dark Houses;;;;;;;;;;;x
nick_dodkong;the Dodkong;;;;;;;;;;;x
nick_doom_of_the_desert;Doom of the Desert;;;;;;;;;;;x
nick_dpotn;Dark Prophet of the Night;;;;;;;;;;;x
nick_dragon_vassal;Dragon Vassal;;;;;;;;;;;x
nick_dragonback;Dragonback;;;;;;;;;;;x
nick_dragonheart;Dragonheart;;;;;;;;;;;x
