#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
gov_electorial_aristocratic_monarchy_uthgardt;Uthgardt Elective Monarchy;;;;;;;;;;;;;x
gov_electorial_aristocratic_monarchy_tuigan;Tuigan Elective Monarchy;;;;;;;;;;;;;x
gov_benign_magocracy;Studious Magocracy;;;;;;;;;;;;;x
gov_malign_magocracy;Ruthless Magocracy;;;;;;;;;;;;;x
gov_wild_democracy;Mob Rule;;;;;;;;;;;;;x
gov_orderly_democracy;Partial Democracy;;;;;;;;;;;;;x
gov_bhaalspawn;Bhaalist Divine Dictatorship;;;;;;;;;;;;;x
gov_evil_divine;Divine Dictatorship;;;;;;;;;;;;;x
gov_good_divine;Divine Mandate;;;;;;;;;;;;;x
gov_ordning;Giant Ordning;;;;;;;;;;;;;x
gov_serpent_abyssal;Serpent Kingdom;;;;;;;;;;;;;x
gov_scaly_abyssal;Coldblood Tribe;;;;;;;;;;;;;x
