#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
pagan_group;Pagan;païen;Heidnisch;;Pagana;;;;;;;;;x
pagan_group_FEATURES;§Y*§! Women may hold Spymaster positions;§Y*§! Les femmes peuvent occuper le poste de maître-espion;§Y*§! Frauen können das Amt des Meisterspions erhalten;;§Y*§! Las mujeres pueden ocupar puestos de maestro espía;;;;;;;;;x

pagan;Pagan;païenne;Heidnisch;;Pagana;;;;;;;;;x
pagan_FEATURES;§Y*§! Inferior at conversion\n§Y*§! Rulers cannot declare Holy Wars;§Y*§! Inférieure en conversion\n§Y*§! Les seigneurs ne peuvent pas déclarer de guerres saintes;§Y*§! Schwache Konvertierung\n§Y*§! Herrscher können keine Heiligen Kriege erklären;;§Y*§! Inferior en la conversación\n§Y*§! Los soberanos no pueden declarar Guerras Santas;;;;;;;;;x

# God names
GOD_GOD;God;Dieu;Gott;;Dios;;;;;;;;;x
GOD_THE_GREATEST;the Greatest;le Très Grand;den Größten;;El Altísimo;;;;;;;;;x
GOD_THE_LORD;the Lord;le Seigneur;Der Herr;;El Señor;;;;;;;;;x

# Evil god names
THE_DEVIL;the Devil;le Diable;der Teufel;;el Demonio;;;;;;;;;x
THE_DARK_SPIRITS;the Dark Spirits;les Esprits Ténèbreux;die dunklen Geister;;los Espíritus Oscuros;;;;;;;;;x

# Great Holy War names
CRUSADE;Crusade;Croisade;Kreuzzug;;Cruzada;;;;;;;;;x
GREAT_HOLY_WAR;Great Holy War;Grande guerre sainte;Großer Heiliger Krieg;;Gran Guerra Santa;;;;;;;;;x

# Priest titles
#PRIEST;priest;prêtre;Priester;;sacerdote;;;;;;;;;x
#IMAM_PRIEST;imam;;Imam;;imán;;;;;;;;;x
#SHAMAN;shaman;chamane;Schamane;;chamán;;;;;;;;;x
LAMA;Lama;lama;;;;;;;;;;;;x

# Scriptures
THE_LEGENDS;The Legends;Légendes;Die Legenden;;Las Leyendas;;;;;;;;;x

# Piety names
STAT_PIETY;Piety;Piété;Pietät;;Piedad;;;;;;;;;x
STAT_PIETY_DESC;Piety is respected by the clergy and especially the head of your Church. It can be spent to petition the head of your Church. Like Prestige, it is added to your score on the death of a ruler.;La piété est respectée par le clergé, notamment par son chef et peut être utilisée pour lui faire des requêtes. Comme le prestige, elle est ajoutée à votre score à la mort du souverain.;Pietät wird von der Kirche und ganz besonders von Eurem Kirchenoberhaupt geschätzt. Sie kann darauf verwandt werden, Euer Kirchenoberhaupt um einen Gefallen zu bitten. Wie auch das Prestige wird sie beim Tod eines Herrschers Eurer Gesamtpunktzahl hinzugefügt.;;La Piedad es respetada por el clero, en especial, por el líder de tu Iglesia. Puede invertirse para hacer peticiones al líder de tu iglesia. Igual que el Prestigio, se suma a tu puntuación al morir el soberano.;;;;;;;;;x
STAT_PIETY_MENU;§YPiety§!;§YPiété§!;§YPietät§!;;§YPiedad§!;;;;;;;;;x

STAT_PIETY_KARMA;Karma;;;;;;;;;;;;;x
STAT_PIETY_DESC_KARMA;Karma is respected by the clergy and monastics of your religion. Like Prestige, it is added to your score on the death of a ruler.;Le karma est respecté par le clergé et les moines de votre religion. Comme le prestige, il s'ajoute à votre score lorsqu'un souverain meurt.;Karma wird vom Klerus und Mönchen Eurer Religion respektiert. Ähnlich wie Prestige wird Karma beim Tod Eures Herrschers zur Punktzahl gerechnet.;;El Karma es respetado por el clero y los monjes de tu religión. Como el prestigio, se añade a tu puntuación al morir el gobernante.;;;;;;;;;x
STAT_PIETY_MENU_KARMA;§YKarma§!;;;;;;;;;;;;;x

STAT_PIETY_HONOR;Honor;Honneur;Ehre;;;;;;;;;;;x
STAT_PIETY_DESC_HONOR;Honor is respected by the clergy and especially the head of your Religion. It can be spent to petition the head of your Religion. Like Prestige, it is added to your score on the death of a ruler.;L'honneur est respecté par le clergé, en particulier par le chef de votre religion. Il peut être dépensé pour formuler une requête au chef de votre religion. Comme le prestige, il s'ajoute à votre score lorsqu'un souverain meurt.;Ehre wird vom Klerus respektiert, insbesondere vom Führer der Religion. Ehre kann benutzt werden, um Forderungen an den Religionsführer zu stellen. Ähnlich wie Prestige wird Ehre beim Tod Eures Herrschers zur Punktzahl gerechnet.;;El honor es respetado por el clero y especialmente la cabeza de tu Religión. Se puede gastar para hacer peticiones a la cabeza de tu Religión. Como el prestigio, se añade a tu puntuación al morir el gobernante.;;;;;;;;;x
STAT_PIETY_MENU_HONOR;§YHonor§!;§YHonneur§!;§YEhre§!;;;;;;;;;;;x

# Unit modifier tooltips
OFF_RELIGION;Offensive Religion;Religion offensive;;;Religión Ofensiva;;;;;;;;;x
DEF_RELIGION;Defensive Religion;Religion défensive;;;Religión Defensiva;;;;;;;;;x
DEF_RELIGION_HOME_TERRITORY;Defensive Religion in Home Territory;Religion défensive dans le territoire d'origine ;Defensive Religion im Heimatgebiet;;Religión Defensiva en Territorio Base;;;;;;;;;x
