#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVT_MNM_20015_TT;You picked the wrong neighbor, my friends...;Il semble que vous ayez choisi le mauvais voisin...;Ihr habt euch die falschen Nachbarn ausgesucht, meine Freunde ...;;Escogisteis a la persona equivocada...;;;;;;;;;x
EVT_MNM_20016_TT;The locals will surely be... upset.;Les habitants seront assurément... contrariés.;Das Volk würde ... ungehalten sein.;;Los lugareños seguro que se sentirán... molestos.;;;;;;;;;x
EVT_MNM_20022_TT;That drug can ruin the mind permanently!;Cette drogue peut altérer l'esprit définitivement !;Diese Droge kann schwere bleibende Schäden hinterlassen!;;¡Esa droga puede dañar el cerebro permanentemente!;;;;;;;;;x
EVT_MNM_20033_TT;Summoning rituals of this magnitude carry serious risks...;Les rituels d'invocation de cette ampleur comportent de sérieux risques...;Beschwörungsrituale dieser Größenordnung sind nicht ganz risikolos ...;;Invocar rituales de esta magnitud conlleva graves riesgos...;;;;;;;;;x
EVT_MNM_20044_TT;That is outside my Realm so we can safely stir up some real trouble!;C'est en dehors de mes terres, donc nous pouvons attiser des conflits sans crainte.;Das ist außerhalb meines Reiches. Wir müssen uns also nicht einmal zurückhalten!;;Queda fuera de mi reino, ¡así que podemos meternos en líos!;;;;;;;;;x
EVT_MNM_20046_TT;With baggy clothes and enough grime on the face, one of us can probably manage a passing likeness...;Avec des vêtements larges et assez de crasse sur le visage, l'un de nous peut probablement réussir une ressemblance passagère...;Mit der richtigen Kleidung und einer gehörigen Portion Dreck im Gesicht könnte einer von uns ihm wahrscheinlich sogar ähnlich sehen ...;;Con ropa holgada y suficiente suciedad en la cara, uno de nosotros probablemente logre hacerse pasar por él/ella...;;;;;;;;;x
EVT_MNM_20047_TT;We shall discredit the local clergy with a party that will live in infamy!;Nous discréditerons le clergé local avec une fête qui restera marquée par l'infamie !;Wir werden die örtliche Priesterschaft mit einer Party, die ans Infame grenzt, in Verruf bringen!;;¡Desacreditaremos al clero local con una fiesta absolutamente infame!;;;;;;;;;x
EVT_MNM_20062_TT;[This.GetSubjectPronounCap] will think this is an offer of reconciliation, but I'll have [This.GetObjectPronoun] scream for real...;[This.GetIlElleCap] pensera que c'est une tentative de réconciliation, mais je vais [This.GetLeLa] faire crier pour de vrai...;Er wird glauben, es sei ein Angebot zur Versöhnung, aber stattdessen werde ich ihn richtig zum Schweigen bringen...;;Lo interpretará como una voluntad de conciliación, pero haré que [This.GetObjectPronoun] grite como nunca...;;;;;;;;;x
EVT_MNM_20064_TT;My treacherous rival is in for a very nasty surprise!;M[From.GetOnA] perfide rival[From.Get_E] peut s'attendre à une mauvaise surprise !;Mein heimtückischer Rivale wird sein blaues Wunder erleben!;;¡A mi desleal rival le espera una sorpresita!;;;;;;;;;x

EVTDESC_MNM_7001_A;I'm having dinner and plenty of drinks with [satanists_recruiter.GetTitledName] tonight. It's lovely, yet what I am most charmed by is [satanists_recruiter.GetFirstName] [satanists_recruiter.GetHerselfHimself]. Why else would I not immediately stop our conversation, which has slowly begun to touch upon some almost heretical ideas, questioning the salvation of [Root.Religion.GetHighGodName]?;Je mange et bois en compagnie [satanists_recruiter.Get_du_TitledName]. C'est plaisant, bien que ce qui m'intéresse le plus c'est [satanists_recruiter.GetFirstName] [satanists_recruiter.GetLuiElle]-même. Autrement, pourquoi n'aurais-je pas immédiatement mis fin à la conversation, qui a lentement commencé à contenir des idées quasiment hérétiques, par la contestation du salut [Root.Get_du_HighGod] ?;Ich esse heute mit [satanists_recruiter.GetTitledName] zu Abend und wir haben viel zu trinken. Es ist schön, doch was mich am meisten bezaubert, ist [satanists_recruiter.GetFirstName] selbst. Weshalb sonst würde ich unsere Konversation weiterführen, die sich mittlerweile um beinah ketzerisches Gedankengut dreht, und die Erlösung durch [Root.Religion.GetHighGodName] in Frage stellt?;;Esta noche voy a cenar —y a beber— con [satanists_recruiter.GetTitledName]. Es un plan encantador, aunque lo que más me atrae de la idea es la compañía. ¿Por qué si no iba a continuar una conversación que empezaba a abordar temas sacrílegos, como si creía en la salvación de [Root.Religion.GetHighGodName]?;;;;;;;;;x
EVTDESC_MNM_7001_B;I'm having dinner and plenty of drinks with [satanists_recruiter.GetTitledName] tonight. It's lovely, yet what I am most charmed by is [satanists_recruiter.GetFirstName] [satanists_recruiter.GetHerselfHimself]. Why else would I not immediately stop our conversation, which has slowly begun to touch upon some unsavory and deviant topics about the primal needs of every [Root.GetManWoman]?;Je mange et bois en compagnie [satanists_recruiter.Get_du_TitledName]. C'est plaisant, bien que ce qui m'intéresse le plus c'est [satanists_recruiter.GetFirstName] [satanists_recruiter.GetLuiElle]-même. Autrement, pourquoi n'aurais-je pas immédiatement mis fin à la conversation, qui a lentement commencé à s'aventurer sur des opinions peu recommandables et déviantes à propos des besoins primaires de chaque [Root.GetManWoman] ?;Ich esse heute mit [satanists_recruiter.GetTitledName] zu Abend und wir haben viel zu trinken. Es ist schön, doch was mich am meisten bezaubert, ist [satanists_recruiter.GetFirstName] selbst. Weshalb sonst würde ich unsere Konversation weiterführen, die sich langsam in einige unappetitliche und unheilige Themen über die grundlegenden Bedürfnisse eines jeden kümmern?;;Esta noche ceno y bebo con [satanists_recruiter.GetTitledName]. Es una cena encantadora, pero me atrae mucho más [satanists_recruiter.GetFirstName] en persona. ¿Por qué si no seguiría la conversación que está empezando a tocar temas desagradables y desviados sobre las necesidades primarias de todo hombre o mujer?;;;;;;;;;x
