#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_bregan_daerthe;Bregan d'aerthe;;;;;;;;;;;;;x
EVTDESCHEALTH.0;You have reached the age where you can no longer have children.;;;;;;;;;;;;;x
OK;OK;;;;;;;;;;;;;x
A;A;;;;;;;;;;;;;x
lessfertile;Less Fertile;;;;;;;;;;;;;x
recoveringfromchildbirth;Recovering from Childbirth;;;;;;;;;;;;;x
recoveringfromchildbirth_desc;The longer lived races do not have children in quick succession like the others do. Their bodies need time to recover after each child.;;;;;;;;;;;;;x
racial_aging1desc;Though long-lived, you are not immortal. You are finally beginning to feel the onset of age.;;;;;;;;;;;;;x
cleric_heal_decision;Seek healing;;;;;;;;;;;;;x
cleric_heal_decision_desc;There is no reason to feel ill, when you can simply call for a cleric to heal you...;;;;;;;;;;;;;x
clerichealing1desc;You send word to the temple. In exchange for a small 'donation', they cure you of your ills.;;;;;;;;;;;;;x
clerichealingoptionA;It's about time they got here!;;;;;;;;;;;;;x
clerichealingoptionB;Thank them for their help.;;;;;;;;;;;;;x
EVTDESCFERTILITY.0;You have reached the age where you can no longer have children.;;;;;;;;;;;;;x
bio_alustriel;Biography of Alustriel;;;;;;;;;;;;;x
bio_alustriel_desc;Alustriel is a powerful mage, being one of the Chosen of Mystra and one of the Seven Sisters. She is known for her love and devotion to her people, something especially unusual for many people who hold political power. Therefore, she is extremely popular in Silverymoon, and most of her subjects would do anything in their power to prevent any harm from happening to her. She is considered a wise and fair ruler, but she does not hesitate to be ruthless when needed (i.e. in diplomacy);;;;;;;;;;;;;x
bio_bruenor;Biography of Bruenor;;;;;;;;;;;;;x
bio_bruenor_desc;Bruenor is a powerful shield dwarf with flaming red hair and famous for reclaiming Mithril Hall for Clan Battlehammer. He is also considered a bit of an odd dwarf for the company he keeps - his 2 adopted human children, Wulfgar and Cattibrie, and the drow ranger Drizzt and the halfling thief Regis.;;;;;;;;;;;;;x
bio_bhaal;Biography of Bhaal;;;;;;;;;;;;;x
bio_bhaal_desc;The God of Murder foresaw his own death during the Time of Troubles, and impregnated females of various races so that his essence could live on. His plan was for them to slaughter each other until only one remained, and then to come alive again through that person. His plot failed, but his Bhaalspawn did wreak havoc on the Sword Coast and beyond for a long time.;;;;;;;;;;;;;x
bhaalspawn;Bhaalspawn;;;;;;;;;;;;;x
bhaalspawn_desc;Progeny of the God of Murder, there is a darkness and will-to-power in the souls of these powerful individuals. Some overcome their dark natures and fight for good, but most of them end up succumbing and bringing misery to the lands of their birth.;;;;;;;;;;;;;x
nick_the_kinslayer;The Kinslayer;;;;;;;;;;;;;x
bio_sarevok;Biography of Sarevok;;;;;;;;;;;;;x
bio_sarevok_desc;A powerful Bhaalspawn who has given in to his dark nature. Sarevok seeks to kill all his siblings and absorb their power, in addition to spreading murder and death all across the Sword Coast before his planned ascension to Godhood.;;;;;;;;;;;;;x
d_the_five;The Five;;;;;;;;;;;;;x
d_the_five_adj;Bhaalspawn;;;;;;;;;;;;x
bio_sarya;Biography of Sarya;;;;;;;;;;;;;x
bio_sarya_desc;Countess Sarya Dlardrageth is a half sun elf, half-fiend sorceress, leader of the daemonfey and a princess of House Dlardrageth. She has been imprisoned along with her kin for centuries, and now awoken, seeks to restore the ancient power of her House.;;;;;;;;;;;;;x
ca_silverymoon;Silverymoon;;;;;;;;;;;;;x
ca_silverymoon_desc;Silverymoon is often dubbed "the Gem of the North", for it resembles and emulates the lost elven city of Myth Drannor in many respects. It is one of the few civilized places in the middle of the rough and untamed wilderness that is the North of Faerûn. It has a rich cultural life and is renowned as a meeting place for all races that are morally inclined towards good. Even the occasional drow with good intentions (most notably the famous ranger Drizzt Do'Urden) could eventually find hospitality in the city of Silverymoon. The city's population was 40% human, 30% elven and the rest were mainly half-elves, dwarves, halflings and gnomes.;;;;;;;;;;;;;x
ca_everlund;Everlund;;;;;;;;;;;;;x
ca_everlund_desc;Everlund is a city of merchant traders and caravan teams. Located southeast of Silverymoon and situated on the north bank of the River Rauvin, Everlund is the second largest city in the Silver Marches and host to one of its most active mercantile communities.;;;;;;;;;;;;;x
ca_sundabar;Sundabar;;;;;;;;;;;;;x
ca_sundabar_desc;Sundabar is described as "harsh and treeless." The city itself is very fortresslike. The streets are cobbled and most buildings are made of stone and are three stories tall. The only greenery to be found in the city was the occasional windowbox garden of herbs. Connected to the surface by steep passage, the Undercity is home to most of the dwarven population. Almost a third of the city's population was dwarven, half was human and the remainder was mostly gnomes and halflings.;;;;;;;;;;;;;x
ct_luskan;Luskan;;;;;;;;;;;;;x
ct_luskan_desc;Luskan, also known as the City of Sails, is a port city at the mouth of the River Mirar on the Sword Coast North. Luskan, despite the presence of the Ten Towns is considered by many to be civilization's farthest reach. It's population is mostly human, and its rough and tough population tends to look down on non-humans. It is a city that has often gone to war with its rivals, whether by land or sea.;;;;;;;;;;;;;x
ca_neverwinter;Neverwinter;;;;;;;;;;;;;x
ca_neverwinter;Neverwinter, also known as the City of Skilled Hands or the Jewel of the North, is a metropolis sitting on the northwestern Sword Coast of Faerûn. Neverwinter is regarded by many, including the erudite travel writer Volo, as the most cosmopolitan and the most civilized city in all of Faerûn, quite a reputation, considering the breadth and variety of the continent.;;;;;;;;;;;;;x
go_adventuring;Go adventuring;;;;;;;;;;;;;x
stop_adventuring;Stop adventuring;;;;;;;;;;;;;x
go_adventurnig_desc;You can leave the burdens of rulership aside and go adventuring. It is advised to take a small retinue and go explore Faerun - the different regions offer different challenges;;;;;;;;;;;;;x
adventuring0desc1;As its name implies, traveling through the Sword Coast is hazardous. Though cities, towns and castles dot the landscape, this is a wild and dangerous land to travel in for the most part. There are dangers, but there is also adventure and treasure to be found aplenty here.;;;;;;;;;;;;;x
adventuring0desc2;Once part of the wood elf Kingdom of Earlann, the High Forest is now a dangerous place where few outsiders dare to tread. There are no roads, only game trails, and outsiders will find few friends here. There are plenty of monsters to fight, but this area is not known for its treasures.;;;;;;;;;;;;;x
adventuring0desc3;Traveling through the Savage Frontier is only for the foolhardy. Monsters lair in caves, old haunted elven ruins dot the wilds and tribes of orcs - and worse - ambush travelers on a regular basis. You should remain constantly on guard.;;;;;;;;;;;;;x
adventuring0desc4;Only the desperate come to Icewind Dale at the edge of the world. The frozen landscape can support few people, and outside of Ten Towns, the strong rule mercilessly. Ice trolls, goblins, giants and violent tribesmen roam the tundra.;;;;;;;;;;;;;x
adventuring0desc5;The Silver Marches is a beautiful - but wild - region of Faerun that is only slowly being tamed. Several strong walled cities such as Silverymoon, Sundabar and Everlund provide safety, but outside their walls, only the bold dare to tread without a strong escort. There are many treasures to be found here, however.;;;;;;;;;;;;;x
adventuring0desc6;Evereska is an elf city hidden in a mountain valley. It's beauty is such that rumours say many mortals only stand and stare in awe, unable to move, upon first seeing it. If the elves still hold sway here and you are not elven, it would be wise to leave - they do not take well to unbidden guests!;;;;;;;;;;;;;x
adventuring2desc;One of your scouts return, bearing news of an interesting location...;;;;;;;;;;;;;x
adventuring2A;Well, what is it?;;;;;;;;;;;;;x
adventuring2B;Whatever it is, not interested. Just passing through.;;;;;;;;;;;;;x
adventuring3desc;It seems there is an old ruin up ahead. It s in a bad state, but there could be treasure hidden away in there. Your scout did spot something moving around in there too, however.;;;;;;;;;;;;;x
adventuring10desc;You move in to investigate the location and are attacked by about a dozen quasits summoned from the Abyss - as you advance, a dark wizard joins his minions and let's loose at you with his spells!;;;;;;;;;;;;;x
adventuring3A;Let's go take a look.;;;;;;;;;;;;;x
adventuring3B;Let's get out of here.;;;;;;;;;;;;;x
adventuring4desc;It seems there is a series of caves up ahead. Your scout reports that they seem to go deep, and there are signs that they are inhabited, though he didn't go too far in.;;;;;;;;;;;;;x
adventuring5desc;It seems there is a camp of some kind of monsters ahead - your scout didn't get too good a look, but they seem humanoid, and they don't outnumber your party by too much.;;;;;;;;;;;;;x
adventuring6desc;It seems there is a fortress up ahead. It is not on any maps, and the 'art' on its walls seem to indicate that either monsters or evil-doers of some kind are using it as a base.;;;;;;;;;;;;;x
adventuring7desc;Your scout staggers into camp, delirious, and nearly dead. He manages to gurgle something incomprehensible before falling over. #He has left a trail of blood that anyone can follow, unless you want to make a run for it, of course...;;;;;;;;;;;;;x
adventuring8A;Fight!;;;;;;;;;;;;;x
adventuring16A;Let's get that dwarf gold! Fight!;;;;;;;;;;;;;x
adventuring16B;Let's leave them to their business.;;;;;;;;;;;;;x
adventuring18A;We break for no one! Charge!;;;;;;;;;;;;;x
adventuring19A;That's some nice loot they have... charge!;;;;;;;;;;;;;x
adventuring19B;Let us drink, and swap tales!;;;;;;;;;;;;;x
adventuring8desc;You move in to investigate the location and find goblins infesting the area. You fight your way past the sentries, but suddenly their leader confronts you!;;;;;;;;;;;;;x
adventuring9desc;You move in to investigate the location and find orcs infesting the area. You fight your way past the sentries, but suddenly their leader confronts you!;;;;;;;;;;;;;x
adventuring10desc;You move in to investigate the location and are attacked by about a dozen quasits summoned from the Abyss - as you advance, a dark wizard joins his minions and let's loose at you with his spells!;;;;;;;;;;;;;x
adventuring11desc;You move in to investigate the location and are attacked by what appears to be acolytes of some dark god, screaming curses at you - their leader joins the fray and moves to attack you!;;;;;;;;;;;;;x
adventuring12desc;You move in to investigate the location and are soon attacked by bandits - their leader rushes you!;;;;;;;;;;;;;x
adventuring13desc;You move in to investigate the location and find symbols of a dark god everywhere. Skeletons and zombies come at you from the shadows, and soon their leader joins the fray - a dark paladin!;;;;;;;;;;;;;x
adventuring14desc;You move in to investigate the location and find the stench of death everywhere. Skeletons and zombies come at you from the shadows, and soon their leader joins the fray - a necromancer!;;;;;;;;;;;;;x
adventuring15desc;You move in to investigate the location and find a group of slavers. They attack you on sight, and their leader charges you directly!;;;;;;;;;;;;;x 
adventuring16desc;You move in to investigate the location and find a small group of dwarves. They are wary at your approach, and warn you not to interfere in their business. They tell you to move on.;;;;;;;;;;;;;x
adventuring17desc;You move in to investigate the location and find a small group of gnomes. They are wary at your approach, and warn you not to interfere in their business. They tell you to move on.;;;;;;;;;;;;;x
adventuring18desc;You move in to investigate the location and find a small group of elves. They are wary at your approach, and warn you not to interfere in their business. They tell you to move on.;;;;;;;;;;;;;x
adventuring19desc;You move in to investigate the location and find yourself confronted by another adventuring party. They welcome you to share their camp and rest for a while, they have already cleared out this location.;;;;;;;;;;;;;x
adventuring20desc;You move in to investigate the location and stand in shock a moment as a giant towers over you and then charges - damn, that thing is huge!;;;;;;;;;;;;;x
adventuring21desc;You loot the bodies of your enemies and check for hidden treasure. You find...;;;;;;;;;;;;;x
adventuring21A;What? What is it?;;;;;;;;;;;;;x
monsters_trolls;Trolls;;;;;;;;;;;;;x
