#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
###BOOKMARKS;;;;;;;;;;;;x
BM_FAERUN_THE_HORDE;The Horde;;;;;;;;;;;x
BM_FAERUN_THE_HORDE_DESC;For over a thousand years the Hordelands have been a land of tough but disorganized nomads, eternally fighting each other. This all changed when the Khan of the Hoekun tribe started to subjugate, through both force and diplomacy, the other tribes of that desolate land. Now calling himself Yamun Khahan of the Tuigan Horde, he turns westward and is poised to sweep into Faerûn. In face of this threat, Azoun IV of Cormyr has created an alliance against the Tuigans, though he may have to secure the aid of some old enemies...;;;;;;;;;;;x
ERA_CHAR_NAME_YAMUN;Yamun Khahan;;;;;;;;;;;x
ERA_CHAR_INFO_37001;Ascending to the position of Khan of the Hoekun after killing his own father, Yamun then did what all settled folk thought unthinkable: he unified the warring nomadic tribes of the Endless Wastes and turned them into a single entity: the Tuigan Horde. Now, he seeks to expand his dominion westward into Faerûn.;;;;;;;;;;;x
ERA_CHAR_NAME_AZOUN;Azoun IV Obarskyr;;;;;;;;;;;x
ERA_CHAR_INFO_20081;Azoun IV was both king of Cormyr and a member of the Purple Dragon Knights. He was both a good administrator and a valiant warrior, refusing to shy away from battle though he had a notable distaste for adventuring. When Yamun Khahan turned his Horde westwards, he rallied the various forces of Faerûn in order to push the nomads back into the Hordelands.;;;;;;;;;;;x
ERA_CHAR_NAME_ALI_AL_MUSTASIB;Ali al-Mustasib;;;;;;;;;;;x
ERA_CHAR_INFO_38038;Caliph Ali al-Mustasib of Semphar was briefly ousted from his station by the usurper Abu Bakr and exiled to the Iris Spring Oasis. When the Tuigans invaded Semphar as relatiation for an attempted assassination of the Khahan, Abu Bakr was killed and Ali restored to his former post. His daughter, however, was taken by Hubadai, Yamun's son, as a hostage and later consort.;;;;;;;;;;;x
ERA_CHAR_NAME_GARBO;Tsenya Garbo;;;;;;;;;;;x
ERA_CHAR_INFO_39001;The ancient Tsenya Garbo is the Lama of Ra-Khati, a successor state of the ancient Imaskari Empire. He was a good-hearted and fearless man who placed Ra-Khati's safety above all else. This has led to him to pay tribute to Yamun Khan so that the Tuigans would turn their attention elsewhere.;;;;;;;;;;;x
ERA_CHAR_NAME_SZASS;Szass Tam;;;;;;;;;;;x
ERA_CHAR_INFO_53001;Szass Tam is the Thayan Zulkir of Necromancy and one of the rulers of Thay. Through magic, the lich conceals his true nature, appearing to be mostly alive. He was calm, polite and cultured, though also blunt and despised those who willingly defied him. Like most Zulkirs, he was content to work unseen from the shadows and weave plots both against his fellow Zulkirs and opponents abroad.;;;;;;;;;;;x
ERA_CHAR_NAME_HYARMON;Hyarmon;;;;;;;;;;;x
ERA_CHAR_INFO_65201;Hyarmon Huzzilthar is the elderly Iron Lord of Rashemen. Though usually threatened mostly by Thay, Rashemen has suffered against the Tuigan Horde, losing most of its holdings beyond the mountains. Though old, Hyarmon is still a mighty barbarian, respected by his peers and tolerated by the enigmatic Hathrans, the true rulers of Rashemen.;;;;;;;;;;;x
BM_FAERUN_DRAGONSPEAR_2;Second Dragonspear War;;;;;;;;;;;x
BM_FAERUN_DRAGONSPEAR_2_DESC;For the second time in recent history, an army of devils has emerged from the portal to Avernus deep within the ruins of Castle Dragonspear. Immediately, the fiends dominated the local humanoids and razed all habitation along the Trade Way. Now the baatezu, led by Baazka, move against Daggerford, and after, should they succeed, the rest of the Sword Coast.;;;;;;;;;;;x
ERA_CHAR_NAME_NASHER;Lord Nasher Alagondar;;;;;;;;;;;x
ERA_CHAR_INFO_15001;Nasher was the fearless former adventurer and ruler of Neverwinter who held his city firmly. He was also the founder of the Alagondar royal family. Brave in the face of his enemies but affable when among his people, Nasher was noted for his steadfast opposition against Luskan and the orcs of the North. He had a great love of music and hearing tales of faraway lands.;;;;;;;;;;;x
ERA_CHAR_NAME_PIERGEIRON;Lord Piergeiron the Paladinson;;;;;;;;;;;x
ERA_CHAR_NAME_7001;Piergeiron, son of Athar 'the Shining Knight' was the public face of the secretive Lords of Waterdeep. Many who mistook his placid and patient attitude for a lack of intellect dubbed him 'the Thickskull', but he became Waterdeep's longest-serving ruler since Ahghairon.;;;;;;;;;;;x
ERA_CHAR_NAME_ENTAR;Grand Duke Entar;;;;;;;;;;;x
ERA_CHAR_INFO_2007;Entar Silvershield was the foremost of the Grand Dukes of Baldur's Gate. While the Bhaalspawn Crsis was ocurring, Baldur' Gate found itself at the centre of the Iron Crisis, itself a Bhaalspawn plot.;;;;;;;;;;;x
ERA_CHAR_NAME_BELT;Grand Duke Belt;;;;;;;;;;;x
ERA_CHAR_INFO_2011;Belt was a prominent Duke of Baldur's Gate. While the Bhaalspawn Crsis was ocurring, Baldur's Gate was at the centre of the Iron Crisis, itself a Bhaalspawn plot, and Belt found himself investigating his predecessor's murder.;;;;;;;;;;;x

ERA_CHAR_NAME_PWYLL;Duke Pwyll Greatshout;;;;;;;;;;;x
ERA_CHAR_NAME_9010;Pwyll Greatshout of Daggerford was a veteran of the First Dragonspear War, in which his father fell, and he swore never to let the fiendish hordes overrun his duchy.;;;;;;;;;;;x
BM_FAERUN_THE_SWORD_COAST;The Sword Coast;;;;;;;;;;;x
BM_FAERUN_THE_SWORD_COAST_DESC;(Description WIP. Go play Baldur's Gate II or something.);;;;;;;;;;;x
