#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
###WARS###
CB_NAME_EVIL_SEA_COUNTY_CONQUEST;Sahuagin War;;;;;;;;;;;;x
WAR_NAME_EVIL_SEA_COUNTY_CONQUEST;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Conquest of the Sea;;;;;;;;;;;;x
evil_sea_county_conquest;Sahuagin War;;;;;;;;;;;;x
evil_sea_county_conquest_desc;We Who Eat need no reason for war! Let the sea run red!;;;;;;;;;;;;x

sea_raid_cb;Sea Raid;;;;;;;;;;;;x
CB_NAME_SEA_RAID;Sea Raid;;;;;;;;;;;;x
WAR_NAME_SEA_RAID;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Sea Raid;;;;;;;;;;;;x
sea_raid_cb_desc;Our Gods crave the blood of Who We Eat! By declaring this war, we can capture as many sacrificial slaves for our mirky altars.;;;;;;;;;;;;x
sea_raid_cb_tooltip;Take at least one prisoner.;;;;;;;;;;;;x

###EVENTS###
FSC.0001;War between Kin;;;;;;;;;;;;x
EVTDESC_FSC_0001;Sekolah teaches us to save our strength for Who We Eat. To attack a fellow Sahuagin, is akin to slaying a noble son of Sekolah. For such blasphemy, tales of your misdeeds have spread across Seros, but perhaps you can still salvage your reputation.;;;;;;;;;;;;x
EVTOPTAFSC.0001;By the Gods, are we not bred for war and battle?;;;;;;;;;;;;x
EVTOPTBFSC.0001;Err, a war you say? No, I would never...;;;;;;;;;;;;x

FSC.0002;Loss of Face;;;;;;;;;;;;x
EVTDESC_FSC_0002;Your recent actions have disgraced We Who Eat. Already there is talk of a Blood Challenge...;;;;;;;;;;;;x
EVTOPTAFSC.0002;Let them come!;;;;;;;;;;;;x

FSC.0003;Growing Up;;;;;;;;;;;;x
EVTDESC_FSC_0003;Test Test;;;;;;;;;;;;x
EVTOPTAFSC.0003;I'm growing stronger;;;;;;;;;;;;x

FSC.0004;Blood Challenge;;;;;;;;;;;;x
EVTDESC_FSC_0004;It was inevitable, to have an irate warrior challenge your rightful rule. A duel to the death, or banishment and exile, the choice is unfavorable.;;;;;;;;;;;;x
EVTOPTAFSC.0004;Meat is Meat.;;;;;;;;;;;;x
EVTOPTBFSC.0004;So it ends...;;;;;;;;;;;;x
