patron_tyr;[Root.TyrLocAdj];;;;;;;;;;;;;x
patron_tyr_desc;[Root.TyrLoc] is the deity of law and justice and part of the group of deities known as the Triad. He appeared as an one-handed warrior and, after the Time of Troubles, blind as well. [Root.TyrLoc] was strong-spirited and noble and saw himself as a fatherly figure trying to create an utopian society on Toril. To outsiders, however, he often seems like a stern and harsh punisher.\n\n§RRival Deities§!: Bane, Iyachtu Xvim, [Root.BhaalLoc], Mask, Talona, [Root.TalosLoc]\n§RRival Religions§!: Cyricist, Infernal, Uthgardt, Faithless, Entropist, Abyssal;;;;;;;;;;;;;x
TyrGHP;Tyr;;;;;;;;;;;;;x
TyrGHPAdj;Tyrran;;;;;;;;;;;;;x
TyrCal;Anachtyr;;;;;;;;;;;;;x
TyrCalAdj;Anachtyrran;;;;;;;;;;;;;x
patron_selune;[Root.SeluneLocAdj];;;;;;;;;;;;;x
patron_selune_desc;[Root.SeluneLoc] is one of the oldest deities on Toril and is the goddess of the moon, stars, navigation, wanderers and non-evil lycanthropes. She is the eternal enemy of her sister Shar and the phases of the moon reflect this conflict. The highest principle amongst Selûnites is that of tolerance, followed by equality, acceptance and understanding.\n\n§RRival Deities§!: Shar, Mask, Umberlee, Moander, [Root.TalosLoc], [Root.GaragosLoc]\n§RRival Religions§!: Infernal, Faithless, Abyssal, Entropist;;;;;;;;;;;;;x
SeluneGHP;Selûne;;;;;;;;;;;;;x
SeluneGHPAdj;Selûnite;;;;;;;;;;;;;x
SeluneBedine;Elah;;;;;;;;;;;;;x
SeluneBedineAdj;Elahnite;;;;;;;;;;;;;x
SeluneDurpar;Lucha;;;;;;;;;;;;;x
SeluneDurparAdj;Luchanite;;;;;;;;;;;;;x
SeluneZakh;Selan;;;;;;;;;;;;;x
SeluneZakhAdj;Selanite;;;;;;;;;;;;;x
patron_azuth;Azuthan;;;;;;;;;;;;;x
patron_azuth_desc;Azuth is a deity of magic as a craft, and its perpetuation. The lord of spells was once a mortal who ascended into divinity, though there is little record on his life before becoming a god.\n\n§RRival Religions§!: Cyricist, Abyssal, Faithless, Entropist;;;;;;;;;;;;;x
patron_bane;Banite;;;;;;;;;;;;;x
patron_bane_desc;Bane is the evil and malicious god of fear, hatred and tyrany. He rarely appeared directly, instead utilizing his worshippers and agents to fulfill his goal: utter control of Faerûn. Bane's faith is highly hierarchical and intolerant of insubordination.\n\n§RRival Deities§!: [Root.TyrLoc], Torm, [Root.MystraLoc], [Root.TempusLoc], Helm, Lathander, [Root.OghmaLoc], [Root.IlmaterLoc], [Root.ChaunteaLoc], Eldath, Liira, Deneir, Tymora, [Root.AmaunatorLoc], Gargauth, Savras, Siamorphe, [Root.TiamatLoc], Hanali Celanil, Arvoreen, Yondalla\n§RRival Religions§!: Cyricist, Chauntean, Infernal, Abyssal, Faithless, Entropist;;;;;;;;;;;;;x
patron_chauntea;[Root.ChaunteaLocAdj];;;;;;;;;;;;;x
patron_chauntea_desc;[Root.ChaunteaLoc] is one of the oldest deities in the Realms, with some claiming her to be the avatar of Abeir-Toril itself. She is the goddess of life and agriculture. Her followers are greatly involved in the working of the land, and are greatly respected by the peasantry.\n\n§RRival Deities§!: [Root.AurilLoc], [Root.MalarLoc], [Root.TalosLoc], Umberlee, Bane, Iyachtu Xvim, Talona, Moander, [Root.BhaalLoc], [Root.MyrkulLoc], Kossuth\n§RRival Religions§!:Kossuthan, Infernal, Abyssal, Faithless, Entropist;;;;;;;;;;;;;x
ChaunteaGHP;Chauntea;;;;;;;;;;;;;x
ChaunteaGHPAdj;Chauntean;;;;;;;;;;;;;x
ChaunteaRash;Bhalla;;;;;;;;;;;;;x
ChaunteaRashAdj;Bhallan;;;;;;;;;;;;;x
ChaunteaNeth;Jannath;;;;;;;;;;;;;x
ChaunteaNethAdj;Jannathan;;;;;;;;;;;;;x
ChaunteaUlu;Pahluruk;;;;;;;;;;;;;x
ChaunteaUluAdj;Pahlurukan;;;;;;;;;;;;;x
patron_eilistraee;Eilistraeean;;;;;;;;;;;;;x
patron_eilistraee_desc;Eilistraee, the Dark Maiden, is a drow goddess of beauty, song, dance, freedom, moonlight, swordwork and hunting. She is a staunch enemy of her mother, Lolth, and an occasional enemy of her brother Vhaeraun. Her main concerns are freeing drow from the tyranny of her mother and teaching them to live in harmony with surface peoples.\n\n§RRival Deities§!: [Root.GhaunadaurLoc], Kiaransalee, Selvetarm, [Root.TalosLoc], [Root.MalarLoc], Vhaeraun, Ilsensine, Maanzecorian, Zinzerena, Great Mother\n§RRival Religions§!: Lolthite, Infernal, Abyssal, Solipsist, Quallith, Faithless, Entropist;;;;;;;;;;;;;x
patron_gond;[Root.GondLocAdj];;;;;;;;;;;;;x
patron_gond_desc;[Root.GondLoc] is the deity of craft and smithwork, concerning himself mostly with invention and quality craftswork. [Root.GondLocAdj]s often work as artisans and engineers, and are highly sought-after for their unique knowledge. [Root.GondLoc]'s faithful are also the only ones with knowledge of the deadly smokepowder.\n\n§RRival Deities§!: [Root.TalosLoc]\n§RRival Religions§!: Infernal, Abyssal, Faithless, Entropist;;;;;;;;;;;;;x
GondFR;Gond;;;;;;;;;;;;;x
GondFRAdj;Gondar;;;;;;;;;;;;;x
GondGnome;Nebelun;;;;;;;;;;;;;x
GondGnomeAdj;Nebelunan;;;;;;;;;;;;;x
GondDurpar;Zionil;;;;;;;;;;;;;x
GondDurparAdj;Zionilar;;;;;;;;;;;;;x
patron_helm;Helmite;;;;;;;;;;;;;x
patron_helm_desc;Helm is the god of guardians and protection and is often seen as cold and rigid by those who do not worship him. He is a very old deity and is the eternal sentry. His actions during the Time of Troubles caused him to be mistrusted by both mortals and gods alike, though he merely fulfilled his role. Helm cares mostly for the preservation of stability in Faerûn and frowns upon careless violence and destruction.\n\n§RRival Deities§!: Shar, Bane, Iyachtu Xvim, [Root.BhaalLoc], [Root.GaragosLoc], [Root.TalosLoc], Mask\n§RRival Religions§!: Cyricist, Infernal, Abyssal, Uthgardt, Entropist, Faithless;;;;;;;;;;;;;x
patron_ilmater;[Root.IlmaterLocAdj];;;;;;;;;;;;;x
patron_ilmater_desc;[Root.IlmaterLoc], the broken god, is the deity of endurance, martyrdom, perseverance and suffering. He is the god of those who suffered, the oppressed and the persecuted, offering them relief and support. He urges his faithful to relieve the suffering of others even at the cost of their own well-beign.\n\n§RRival Deities§!: Loviatar, [Root.MalarLoc], [Root.TalosLoc], Bane, Iyachtu Xvim, [Root.BhaalLoc], [Root.MyrkulLoc], Talona, [Root.GaragosLoc], Shar\n§RRival Religions§!: Infernal, Abyssal, Loviatan, Uthgardt, Entropist, Faithless;;;;;;;;;;;;;x
IlmaterGHP;Ilmater;;;;;;;;;;;;;x
IlmaterGHPAdj;Ilmatari;;;;;;;;;;;;;x
IlmaterUlu;Ayuruk;;;;;;;;;;;;;x
IlmaterUluAdj;Ayuruki;;;;;;;;;;;;;x
patron_kelemvor;Kelemvorite;;;;;;;;;;;;;x
patron_kelemvor_desc;Kelemvor is a deity of death who, unlike others with a similar portfolio, despises undead and all those who extend their lives artificially. It is Kelemvor's wish that all intelligent beings die only from natural deaths at their appointed time, ideally with a kelemvorite priest at their side to administer death rites.\n\n§RRival Deities§!: Talona, Velsharoon, [Root.MyrkulLoc], Kiaransalee\n§RRival Religions§!: Cyricist, Infernal, Abyssal, Entropist, Faithless;;;;;;;;;;;;;x
patron_kossuth;Kossuthan;;;;;;;;;;;;;x
patron_kossuth_desc;Kossuth is not a god, but a primordial. He is, specifically, the primordial of elemental fire. Though he seems to care little about mortals other than as tools for accomplishing his objectives, he rewards, often generously, those who serve him diligently. His church is heavily regimented and hierarchical, with the lower-ranked faithful taking vows of poverty and practicing self-flagellation in order to become closer to their lord.\n\n§RRival Deities§!: Istishia, [Root.ChaunteaLoc], [Root.AurilLoc]\n§RRival Religions§!: Chauntean, Myriadic, Qisma'ite, Pantheist, Infernal, Abyssal, Entropist, Faithless;;;;;;;;;;;;;x
patron_lathander;Lathanderian;;;;;;;;;;;;;x
patron_lathander_desc;Lathander, the Morninglord, is the deity of creativity, dawn, renewal, birth, athletics, spring, self-perfection, vitality and youth. There are those who claim he is a reincarnation of the Netherese [Root.AmaunatorLoc], though that is widely considered heretical. Lathander also despises the undead, though seemingly has no qualms to other methods of extending one's lifespan.\n\n§RRival Deities§!: [Root.TalosLoc], Shar, Moander, Bane, Iyachtu Xvim, [Root.BaneLoc], [Root.MyrkulLoc], Ibrandul\n§RRival Religions§!: Cyricist, Infernal, Abyssal, Entropist, Faithless;;;;;;;;;;;;;x
patron_malar;[Root.MalarLocAdj];;;;;;;;;;;;;x
patron_malar_desc;[Root.MalarLoc] is an ancient diety of bloodlust, evil lycanthropes, hunters, marauding beasts, monsters and stalking. He revels in the hunt and the blood of the kill and delights in the terror of prey. While some [Root.MalarLocAdj]s act little better than bandits, some of them have a measure of honour in their hunts. [Root.MalarLoc] has a plethora of enemies and is especially hostile against both surface elves and their gods.\n\n§RRival Deities§!: [Root.ChaunteaLoc], Deneir, Eldath, [Root.IlmaterLoc], [Root.LurueLoc], Nobanion, Silvanus, Sune, Gwaeron Windstrom, Shiallia, Eilistraee, [Root.MielikkiLoc], Valkur, [Root.GhaunadaurLoc], Baervan Wildwanderer, Arvoreen, Cyrrollalee, Sheela Peryroyl, Yondalla\n§RRival Religions§!: Seldarine, Asathalfinare, Infernal, Chauntean, Waelan, Uthgardt, Abyssal, Entropist, Faithless;;;;;;;;;;;;;x
MalarFR;Malar;;;;;;;;;;;;;x
MalarFRAdj;Malarite;;;;;;;;;;;;;x
MalarUlu;Render;;;;;;;;;;;;;x
MalarUluAdj;Renderite;;;;;;;;;;;;;x
MalarOrc;Herne;;;;;;;;;;;;;x
MalarOrcAdj;Hernite;;;;;;;;;;;;;x
patron_mask;Maskarran;;;;;;;;;;;;x
patron_mask_desc;Mask, the Lord of Shadows, is the god of shadows and thieves. He is a loner with few allies. Though initially Cyric's only ally, the Lord of Shadows gained an eternal hate for the Black Sun after losing the portfolio of intrigue to him. Mask and his faithful belive that wealth belongs with those who can keep it, and care little about rightful ownership.\n\n§RRival Deities§!: Helm, [Root.OghmaLoc], Torm, [Root.TyrLoc], [Root.SeluneLoc], [Root.WaukeenLoc], Deneir, Erevan Ilesere, Baravar Cloakshadow, Cyrrollalee, [Root.NephthysLoc], [Root.OsirisLoc], Bahgtru, Astilabor, Hlal\n§RRival Religions§!: Cyricist, Infernal, Abyssal, Entropist, Faithless;;;;;;;;;;;;x
patron_mielikki;[Root.MielikkiLocAdj];;;;;;;;;;;;x
patron_mielikki_desc;[Root.MielikkiLoc], the Forest Queen, is a deity of autumn, druids, dryads, forests, forest creatures and rangers. Though, as a nature goddess, she knows death is part of the cycle of life, she often finds the suffering of the dying hard to bear. She also differs in her belief that nature and civilization can coexist.\n\n§RRival Deities§!: [Root.MalarLoc], [Root.TalosLoc], Talona, Moander, [Root.MyrkulLoc]\n§RRival Religions§!: Infernal, Abyssal, Entropist, Faithless;;;;;;;;;;;;x
MielikkiGHP;Mielikki;;;;;;;;;;;;x
MielikkiGHPAdj;Mielikkian;;;;;;;;;;;;x
MielikkiRash;Khelliara;;;;;;;;;;;;x
MielikkiRashAdj;Khelliaran;;;;;;;;;;;;x
MielikkiElf;Khalreshaar;;;;;;;;;;;;x
MielikkiElfAdj;Khalreshaaran;;;;;;;;;;;;x
patron_mystra;[Root.MystraLocAdj];;;;;;;;;;;;x
patron_mystra_desc;[Root.MystraLoc], the Mother of Magic, is the goddess of nearly all magic. Throught the ages [Root.MystraLoc] has fallen multiple times, with a new individual picking up the mantle from the previous goddess in order to preserve the Weave. [Root.MystraLoc] encourages her followers to treat magic not as a means, but as an end in and of itself, and calling for them to shun the use of magic simply to accumulate power.\n\n§RRival Deities§!: [Root.TalosLoc], Bane, Iyachtu Xvim, Shar\n§RRival Religions§!: Cyricist, Infernal, Abyssal, Entropist, Faithless;;;;;;;;;;;;x
MystraFR;Mystra;;;;;;;;;;;;x
MystraFRAdj;Mystran;;;;;;;;;;;;x
MystraRash;Hidden One;;;;;;;;;;;;x
MystraRashAdj;Hidden;;;;;;;;;;;;x
MystraNeth;Mystryl;;;;;;;;;;;;x
MystraNethAdj;Mystrylan;;;;;;;;;;;;x
patron_oghma;[Root.OghmaLocAdj];;;;;;;;;;;;x
patron_oghma_desc;[Root.OghmaLoc] is the god of bards, inspiration, invention and knowledge and cares above all else for the preservation and propagation of knowledge. He despises all those who would steal or destroy knowledge for absolutely any reason, regardless of what that knowledge might be.\n\n§RRival Deities§!: Bane, Iyachtu Xvim, Mask, Ilsensine, Maanzecorian, [Root.TalosLoc]\n§RRival Religions§!: Cyricist, Infernal, Abyssal, Quallith, Entropist, Faithless;;;;;;;;;;;;x
OghmaFR;Oghma;;;;;;;;;;;;x
OghmaFRAdj;Oghmanyte;;;;;;;;;;;;x
OghmaDurpar;Curna;;;;;;;;;;;;x
OghmaDurparAdj;Curnanyte;;;;;;;;;;;;x
patron_shar;Sharran;;;;;;;;;;;;x
patron_shar_desc;Shar, the Mistress of the Night, is an ancient goddess of darkness, loss, night, secrets and forgetfulness. She is the sister and antithesis of [Root.SeluneLoc], and seeks to combat her at every turn. She is also the creator and mistress of the Shadow Weave, a dark and twisted counterpart of Mystra's own Weave, which Shar covets. Shar's faithful are secretive and pursue subversive targets rather than act openly.\n\n§RRival Deities§!: [Root.SeluneLoc], [Root.MystraLoc], Shaundakul, Lathander, Ibrandul, [Root.AmaunatorLoc], Helm, [Root.IlmaterLoc], Sune, Deneir, Gargauth, [Root.SharessLoc], Hanali Celanil, Sehanine Moonbow, Tyche, Ubtao, Thard Harr\n§RRival Religions§!: Infernal, Abyssal, Entropist, Faithless;;;;;;;;;;;;x
patron_shaundakul;Shaundakun;;;;;;;;;;;;x
patron_shaundakul_desc;Shaundakul is the deity of traveling, travelers, exploration, caravans, wind and portals. He is mainly interested in having his followers venture to places they've never been before, the establishment of new caravan routes and for hidden places to be uncovered.\n\n§RRival Deities§!: Beshaba, Shar\n§RRival Religions§!: Infernal, Abyssal, Entropist, Faithless;;;;;;;;;;;;x
patron_silvanus;Silvanite;;;;;;;;;;;;x
patron_silvanus_desc;Silvanus, the Forest Father, is an ancient deity with ties to many planes. He is the god of wild nature and is sometimes seen as a counterpart to [Root.ChaunteaLoc]. He urges the protection of wild places from the encroachment of civilization and vehemently opposed industrialization. Though he understands that disease and destruction are part of nature, he nevertheless despises those who wantonly spread them.\n\n§RRival Deities§!: [Root.TalosLoc], Talona, [Root.MalarLoc], Moander\n§RRival Religions§!: Infernal, Abyssal, Entropist, Faithless;;;;;;;;;;;;x
patron_sune;Sunite;;;;;;;;;;;;x
patron_sune_desc;Sune, or Lady Firehair, is the goddess of beauty, love and passion. Her dogma placed primary importance on outward beauty and loving those who are attracted to one's appearance. As such, she attracts the worship of hedonists and promoters of art.\n\n§RRival Deities§!: Shar, [Root.TalosLoc], Umberlee, [Root.MalarLoc], Talona, [Root.TempusLoc], [Root.AurilLoc]\n§RRival Religions§!: Infernal, Abyssal, Entropist, Faithless;;;;;;;;;;;;x
patron_talos;[Root.TalosLocAdj];;;;;;;;;;;;x
patron_talos_desc;[Root.TalosLoc] the Storm Lord is the violent god of storms, destruction, rebellion, conflagration, earthquake and vortices. He demands fear and obedience, and encourage his fatalistic faithful to engage in random acts of waton destruction.\n\n§RRival Deities§!: [Root.ChaunteaLoc], Eldath, Lathander, [Root.MystraLoc], Sune, Deneir, [Root.GondLoc], Helm, [Root.MielikkiLoc], [Root.OghmaLoc], Shiallia, Silvanus, [Root.TyrLoc], [Root.SeluneLoc], Eilistraee, [Root.IlmaterLoc], [Root.GhaunadaurLoc], Vhaeraun, Kiaransalee, Selvetarm, Zinzerena, Valkur, Aerdrie Faenya, Corellon Larethian, Hanali Celanil, Sehanine Moonbow, Solonor Thelandira, Callarduran Smoothhands, Arvoreen, Cyrrollalee, Sheela Peryroyl, Yondalla, Tyche, [Root.AmaunatorLoc], [Root.RillifaneLoc], Great Mother, Ilsensine, Maanzecorian\n§RRival Religions§!: Infernal, Abyssal, Chauntean, Lolthite, Solipsist, Quallith, Entropist, Faithless;;;;;;;;;;;;x
TalosDoF;Talos;;;;;;;;;;;;x
TalosDoFAdj;Talassan;;;;;;;;;;;;x
TalosCal;Bhaelros;;;;;;;;;;;;x
TalosCalAdj;Bhaelrossan;;;;;;;;;;;;x
TalosNeth;Kozah;;;;;;;;;;;;x
TalosNethAdj;Kozassan;;;;;;;;;;;;x
TalosDrow;Malyk;;;;;;;;;;;;x
TalosDrowAdj;Malyssan;;;;;;;;;;;;x
patron_tempus;[Root.TempusLocAdj];;;;;;;;;;;;x
patron_tempus_desc;[Root.TempusLoc] is the god of war, and concerns himself mostly with it and honourable battle. He is one of the most prolific gods in the Realms due to the prevalence of warfare in them, and his clergy can be easily found in almost any battlefield. His favour is not guaranteed to anyone, however, and he can aid an army one day only to act against them in the next.\n\n§RRival Deities§!: [Root.GaragosLoc], Bane, Iyachtu Xvim, Sune\n§RRival Religions§!: Infernal, Abyssal, Entropist, Faithless;;;;;;;;;;;;x
TempusFR;Tempus;;;;;;;;;;;;x
TempusFRAdj;Tempuran;;;;;;;;;;;;x
TempusDoF;Tempos;;;;;;;;;;;;x
TempusDoFAdj;Temporan;;;;;;;;;;;;x
patron_torm;Tormish;;;;;;;;;;;;x
patron_torm_desc;Torm the True is the god of duty, loyalty and righteousness, and he embodied the very concept of heroism. Torm was once a mortal around the fall of Netheril who for his valor in service to [Root.TyrLoc] was elevated into godhood. Torm was, unlike many gods, humble and encouraged humility and service to others in his followers.\n\n§RRival Deities§!: Bane, Iyachtu Xvim, [Root.BhaalLoc], Mask\n§RRival Religions§!: Cyricist, Infernal, Abyssal, Uthgardt, Entropist, Faithless;;;;;;;;;;;;x
patron_tymora;Tymoran;;;;;;;;;;;;x
patron_tymora_desc;Tymora, or Lady Luck, is the goddess of good fortune and favoured all those who took risks. Her greatest enemy is her sister Beshaba, for whom she held an eternal enmity since both were born from the split halves of the netherese Tyche.\n\n§RRival Deities§!: Beshaba, Bane, Iyachtu, Moander\n§RRival Religions§!: Infernal, Abyssal, Entropist, Faithless;;;;;;;;;;;;x
patron_umberlee;Umberlant;;;;;;;;;;;;x
patron_umberlee_desc;Umberlee is the vicious and jealous goddess of the sea. Though always hungry for flattery, she demands fear above all else. Because of this, her faithful are reviled across Faerûn, though they are also often tolerated for their capacity to ensure safe sea travel.\n\n§RRival Deities§!: [Root.SeluneLoc], Valkur, Sune, [Root.ChaunteaLoc], Deneir, Aerdrie Faenya, Hanali Celanil, Sehanine Moonbow, Arvoreen, Cyrrollalee, Sheela Peryroyl, Yondallan\n§RRival Religions§!: Infernal, Abyssal, Chauntean, Entropist, Faithless;;;;;;;;;;;;x
patron_waukeen;[Root.WaukeenLocAdj];;;;;;;;;;;;x
patron_waukeen_desc;[Root.WaukeenLoc] the Merchant's Friend is the goddess of trade and the accumulation of wealth through free and fair trade. She is an active and enthusiastic deity who enjoys the ebb and flow of goods through commerce.\n\n§RRival Deities§!: Mask\n§RRival Religions§!: Infernal, Abyssal, Entropist, Faithless;;;;;;;;;;;;x
WaukeenFR;Waukeen;;;;;;;;;;;;x
WaukeenFRAdj;Waukeenar;;;;;;;;;;;;x
WaukeenZakh;Jauhar;;;;;;;;;;;;x
WaukeenZakhAdj;Jauhari;;;;;;;;;;;;x
patron_akadi;[Root.AkadiLocAdj];;;;;;;;;;;;x
