#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
################
#LORDS ALLIANCE#
################
lord_alliance;Lords' Alliance;;;;;;;;;;;x
lord_alliance_desc;The Lords' Alliance, also known as the Council of Lords, was a partnership of merchant cities founded in 1325 DR. Its members were from the Sword Coast, the North and Western Heartlands, including Waterdeep, Silverymoon, Baldur's Gate, and Neverwinter, as well as other free cities and towns in the region, which made up the bulk of the organization. It was formed to oppose the growing influence of the Black Network in the North, as well as the Shadow Thieves of Amn.;;;;;;;;;;;x
lord_alliance_leader_desc;The members of the Alliance are all equal in discussing Alliance matters, but there is usually a respected leader coordinating the group's efforts.;;;;;;;;;;;x
#
lord_alliance_rank_1_female;Redknife;;;;;;;;;;;x
lord_alliance_rank_2_female;Stingblade;;;;;;;;;;;x
lord_alliance_rank_3_female;Warduchess;;;;;;;;;;;x
lord_alliance_rank_4_female;Lioncrown;;;;;;;;;;;x
lord_alliance_rank_1_male;Redknife;;;;;;;;;;;x
lord_alliance_rank_2_male;Stingblade;;;;;;;;;;;x
lord_alliance_rank_3_male;Warduke;;;;;;;;;;;x
lord_alliance_rank_4_male;Lioncrown;;;;;;;;;;;x
#
currency_name_lord_alliance;Alliance Influence;;;;;;;;;;;x
#
#This event is for joining
EVTDESC_LA_102;By joining the Lords' Alliance, you are sworn to ensure the safety and prosperity of the cities and other settlements of Faerûn, to eliminate threats by any means necessary whenever and wherever they arise, and to be a champion of the people.;;;;;;;;;;;x
EVTOPTA_LA_102;On my honor.;;;;;;;;;;;x
EVTOPTB_LA_102;I'm not sure yet.;;;;;;;;;;;x
#
#Alliance Diplomacy
alliance_diplomacy;Alliance Diplomacy;;;;;;;;;;;x
alliance_diplomacy_desc;The main purpose of an Alliance network is to protect each other from outside threats. Use this decision to stipulate a 6-years alliance with a member of the society.;;;;;;;;;;;x
alliance_diplomacy_power_desc;Enables a decision in the §YIntrigue§! menu. You can gain an ally among the Lords' Alliance's members.;;;;;;;;;;;x
#
#Alliance Mediation
alliance_mediation;Wartime Mediation;;;;;;;;;;;x
alliance_mediation_desc;By using a small portion of your influence, you can end any war declared on you by another member of the society.;;;;;;;;;;;x
alliance_mediation_power_desc;Enables a decision in the §YIntrigue§! menu to end wars declared on you by members of the Lords' Alliance.;;;;;;;;;;;x
#
#Alliance Raise Ships
alliance_raise_ships;Alliance Raise Ships;;;;;;;;;;;x
alliance_raise_ships_desc;Use this decision to hire 45 galleys for as long as you are at war.;;;;;;;;;;;x
alliance_raise_ships_power_desc;Enables a decision in the §YIntrigue§! menu. You can hire ships as long as you are at war.;;;;;;;;;;;x
#
#Alliance Raise Troops
alliance_raise_troops;Alliance Raise Troops;;;;;;;;;;;x
alliance_raise_troops_desc;Your society will not ignore a defensive call to arms from its greatest benefactors. Use this decision to hire a sizable army for as long as you are in a defensive war.;;;;;;;;;;;x
alliance_raise_troops_power_desc;Enables a decision in the §YIntrigue§! menu. Use this decision to hire a sizable army for as long as you are in a defensive war.;;;;;;;;;;;x
#
#Call For Heroes
call_for_heroes;Call for Heroes;;;;;;;;;;;x
call_for_heroes_desc;Your society is known for employing vast amounts of adventurers. By hiring such a group, your abilities as a commander will improve substantially, for a time.;;;;;;;;;;;x
