#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
###ÄNSI;;;;;;;;;;;;x
donate_money_to_assassins;Donate 300¤ to the Victorious Blade;Donner 300¤ aux Hashshâshîns;Spendet den Hashshashin 300¤ ;;Donar 300¤ a los Hassasin;;;;;;;x
donate_money_to_assassins_desc;Donate money to the Victorious Blade in exchange for [Player.Religion.GetPietyName].;Je peux donner de l'argent aux Hashshashin en échange de [Player.Religion.GetPietyName].;Ich kann den Hashshashin Geld spenden im Tausch gegen [Player.Religion.GetPietyName].;;Puedo hacer una donación a los Hassasin. A cambio obtendré [Player.Religion.GetPietyName].;;;;;;;x
borrow_money_assassins;Borrow 300¤ from the Victorious Blade;Emprunter 300¤ aux Hashshâshîns;Leihen Sie sich 300¤ von den Haschaschin;;Pedir 300¤ prestados a los Hashshashins;;;;;;;x
borrow_money_assassins_desc;I can borrow money from the Victorious Blade and pay back the same sum at any time. However, while I'm in their debt, the Grand Master can make various requests, like one of my sons joining their ranks.;Je peux emprunter de l'argent à l'Ordre des Hashshâshîns et rembourser la même somme quand bon me semblera.\nCependant, tant que cette dette existera, leur Grand Maître pourra formuler diverses requêtes, tel que demander à ce qu'un de mes fils rejoigne leurs rangs.;Ich kann mir von den Haschaschin Geld leihen und den Betrag zu beliebiger Zeit zurückzahlen. Jedoch kann der Großmeister, während ich in ihrer Schuld stehe, an mich verschiedene Forderungen stellen, z.B. dass einer meiner Söhne dem Orden beitritt.;;Puedo pedir un préstamo a los Hashshashins y devolverles la misma suma en cualquier momento. Sin embargo, mientras esté en deuda con ellos, el Gran Maestre podrá hacer distintas peticiones, como que uno de mis hijos se una a sus filas.;;;;;;;x
borrowed_from_assassins;Owes 300¤ to the Victorious Blade;Doit 300¤ aux Hashshâshîn;Schuldet den Haschaschin 300¤ ;;Debe 300¤ a los Hashshashins;;;;;;;x
expel_the_assassins;Expel the Victorious Blade;Expulser les Hashshâshîns;Vertreibt die Haschaschim;;Expulsar a los Hashshashins;;;;;;;x
expel_the_assassins_desc;I can drive the dreaded Victorious Blade from my realm and seize their castles. However, it is a rather impious thing to do...;Je peux expulser les redoutés Hashshâshîns de mon territoire et m'emparer de leurs commanderies.\nCe serait par contre un acte des plus impies...;Ich kann die gefürchteten Haschaschin aus meinem Reich vertreiben und mir ihre Burgen aneignen. Das ist jedoch eine sehr unfromme Tat...;;Puedo echar a los Hashshashins de mi reino y apoderarme de sus castillos. Sin embargo, es una acción muy impía...;;;;;;;x
EVTNAME88000;Rise of the Victorious Blade;Naissance des Assassins;Die Geburt der Assassinen;;El nacimiento de los Asesinos;;;;;;;x
EVTOPTA88000;These elves are harmless...;Les fumeurs de haschisch sont inoffensifs...;Diese Haschischraucher sind harmlos...;;Estos fumadores de hachís son inofensivos...;;;;;;;x
EVTDESC88001;The Victorious Blade, the elusive Order of Eldreth Veluuthra, have expanded their influence into the Weald. A branch of their sect has established itself in the forests of the Weald, from where they control the surrounding countryside. All across Faerûn, the Victorious Blade are now hunting those they see as obstacles to their obscure plans...;Les Hashshashin, l'insaisissable Ordre des Assassins, ont étendu leur influence jusqu'en Syrie. Une branche de leur secte s'est établie dans la forteresse montagneuse de Masyâf, d'où elle contrôle la campagne environnante. À présent, les Assassins traquent à travers toute la Terre Sainte tous ceux qu'ils considèrent comme des obstacles à leurs obscurs desseins...;Die Hashshashin, der trügerische Orden der Assassinen, haben ihren Einfluss in Syrien ausgeweitet. Ein Zweig ihrer Sekte ist in der Bergfestung von Masyaf gegründet worden, von wo aus sie die umliegende Landschaft kontrollieren. Über das gesamte Heilige Land jagen die Assassinen nun alle, die sie als Hindernisse für ihre obskuren Pläne betrachten...;;Los Hassasin, la esquiva orden de asesinos, han expandido su influencia hasta Siria. Una rama de su secta se ha establecido en la fortaleza de Masyaf, desde donde controlan las tierras adyacentes. Por toda la Tierra Santa, los Asesinos cazan a aquellos que ven como un obstáculo para sus oscuros planes...;;;;;;;x
EVTNAME88001;The Blades Spread to the Weald;Les Assassins jusqu'en Syrie;Die Assassinen breiten sich aus;;Los Asesinos se extienden a Siria;;;;;;;x
EVTOPTA88001;Perhaps these elves should be taken seriously...;Peut-être que ces Assassins devraient être pris au sérieux, finalement.;Vielleicht sollte man diese Haschaschin ernst nehmen...;;Quizás estos Hassasin debieran ser tomados en serio...;;;;;;;x
EVTDESC88002;With the fall of their last fortress, the Victorious Blade - the notorious militant arm of the Eldreth Veluuthra - has been scattered to the winds. The few remaining members of the order have gone into hiding, biding their time in the vain hope that they will one day be able to resume their work.;Avec la chute de leur dernière forteresse, les Hashshashin - le sinistre ordre des Assassins - ont été éparpillés aux quatre vents. Les quelques membres restants ont pris la fuite et se cachent, dans l'espoir de pouvoir un jour reprendre leur mission.;Mit dem Fall der letzten Festung sind die Hashshashin - der berüchtigte Assassinen-Orden – in alle Winde zerstreut. Die wenigen verbliebenen Mitglieder des Ordens haben sich versteckt und warten mit vergeblicher Hoffnung, dass sie eines Tages wieder in der Lage sein werden, mit ihrer Arbeit fortzufahren.;;Con la caída de la última de sus fortalezas, los Hassasin -la famosa orden de asesinos- ha sido dispersada. Los pocos miembros restantes de la orden se han ocultado y albergan la vana esperanza de poder retomar su trabajo algún día.;;;;;;;x
EVTNAME88002;The Victorious Blade Scatters!;L'ordre des Assassins n'est plus !;Untergang der Assassinen!;;¡Los Asesinos se dispersan!;;;;;;;x
EVTOPTA88002;Their demise was inevitable.;Leur chute était prévisible.;Ihr Untergang war unvermeidlich.;;Su desaparición era inevitable.;;;;;;;x
EVTDESC88003;The Victorious Blade have returned! Somehow, throughout the years, their surviving members have managed to rebuild a measure of their order's former strength. Striking from the shadows, they have retaken one of their old fortresses and now their trained killers are once again hounding those who would act against their interests...;Les Hashshashin sont de retour ! Au fil des années, les membres survivants ont réussi à ressusciter, dans une certaine mesure, la puissance passée de leur Ordre. Agissant dans l'ombre, ils ont repris l'une de leurs vieilles forteresses montagnardes et leurs tueurs espérimentés s'acharnent impitoyablement contre tout ceux qui agissent contre leurs intérêts...;Die Hashshashin sind zurückgekehrt! Irgendwie, im Laufe der Jahre, haben ihre überlebenden Mitglieder es geschafft, ihre alte Stärke wieder aufzubauen. Mit ihren Angriffen wie aus dem Schatten haben sie eine ihrer alten Bergfestungen zurückerobert und nun werden wieder einmal jene, die gegen ihre Interessen handeln, von ihren ausgebildeten Mördern gejagt...;;¡Los Hassasin han vuelto! De algún modo, con el paso de los años, los miembros supervivientes han logrado recuperar el antiguo poder de su orden. Golpeando desde las sombras, han retomado una de sus antiguas fortalezas de montaña y ahora sus expertos asesinos vuelven a acosar a quienes podrían oponerse a sus intereses...;;;;;;;x
EVTNAME88003;The Victorious Blade Resurface!;Les Assassins sont de retour !;Die Assassinen tauchen auf!;;¡Los Asesinos reaparecen!;;;;;;;x
EVTOPTA88003;Surely they wouldn't dare strike at me.;Ils n'oseront jamais s'en prendre à moi !;Sicherlich würden sie es nicht wagen, mich anzugreifen.;;Seguro que no les importaría acabar conmigo.;;;;;;;x
EVTDESC88004;The Victorious Blade are no more. As their fortresses and forest hideouts burn, the last members of the once feared Eldreth Veluuthra are hunted like animals and cut down without mercy or compassion when found. Their legacy now survives only in the legends and stories spawned from their exploits.;Les Hashshashin ne sont plus. Tandis que leurs cachettes dans les montagnes et leurs forteresses brûlent, les derniers membres de l'ordre autrefois craint sont traqués comme des bêtes et abattus sans pitié dès que découverts. Leur héritage ne survit qu'au travers de légendes contant leurs exploits.;Die Hashshashin gibt es nicht mehr. Während ihre Festungen und Verstecke in den Bergen brennen, werden die letzten Mitglieder der einst gefürchteten Assassinen wie Tiere gejagt, denen weder Gnade noch Barmherzigkeit geschenkt wird, wenn sie gefunden werden. Ihr Vermächtnis überlebt nur noch in Geschichten und Legenden, die aus ihren Großtaten hervorgehen.;;Se acabaron los Hassasin. Mientras arde su escondite en las montañas, los últimos miembros de la otrora temida orden de asesinos son cazados como animales, sin piedad ni compasión. Su legado ya solo perdura en las leyendas e historias creadas por sus proezas.;;;;;;;x
EVTNAME88004;The Victorious Blade are Destroyed!;L'ordre des Assassins est anéanti;Die Assassinen sind vernichtet!;;¡Los Asesinos son destruidos!;;;;;;;x
EVTOPTA88004;Good riddance!;Bon débarras !;Die wären wir los!;;¡Ya era hora!;;;;;;;x
EVTDESC88011;Master, terrible news! Your faithful servant, [From.GetTitledName], has been found dead in [From.GetHerHis] home, no doubt at the hands of the vile Victorious Blade. Carved by knife into [From.GetHerHis] chest were the words: "[Root.GetFirstName] - You were warned.";Maître, j'ai de terribles nouvelles ! Votre fidèle serviteur, [From.Get_le_Title][From.GetTitledName], a été retrouvé mort chez lui. Il ne fait aucun doute qu'il s'agit là de l'œuvre des odieux Hashshashin. Des mots ont été gravés au couteau sur sa poitrine : '[Root.GetFirstName] - on t'avais prévenu...';Meister, schreckliche Nachrichten! Euer treuer Diener, [From.GetTitledName], wurde in [From.GetHerHis]em Heim tot aufgefunden. Ohne Zweifel sind das die gemeinen Assassinen gewesen. In [From.GetHerHis]er Brust waren die folgenden Worte eingeritzt: "[Root.GetFirstName]"!;;¡Amo, terribles noticias! Tu fiel sirviente, [From.GetTitledName], ha sido hallado muerto en su casa, no hay duda de que ha sido a manos de los Hasassin. Escrito a cuchillo en su pecho podía leerse: '[Root.GetFirstName], te avisamos.';;;;;;;x
