#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
###ÄNSI;;;;;;;;;;;;x
#Make sure that this file in encoded in ANSI;;;;;;;;;;;;x
#The society name;;;;;;;;;;;;x
black_network;Black Network;;;;;;;;;;;x
string_black_network;black_network;;;;;;;;;;;x
#The society description;;;;;;;;;;;;x
black_network_desc;The Zhentarim, also known as the Black Network, is an evil organization intent on dominating the land from the Moonsea to the Sword Coast North. It's a secret society, but for years the Zhents have operated openly in the Moonsea area. The Black network has spies everywhere: anyone could be a Zhentarim, and some of them want to rule every town and steading between Shou Lung and Evermeet.;;;;;;;;;;;x
#Leader description;;;;;;;;;;;;x
black_network_leader_desc;The Black Network was founded by the dark wizard Manshoon. Leadership over the Zhentarim is highly coveted by all its members.;;;;;;;;;;;x
#Name of the ranks;;;;;;;;;;;;x
black_network_rank_1_female;Wolf;;;;;;;;;;;x
black_network_rank_2_female;Viper;;;;;;;;;;;x
black_network_rank_3_female;Ardragon;;;;;;;;;;;x
black_network_rank_4_female;Dread Lady;;;;;;;;;;;x
black_network_rank_1_male;Wolf;;;;;;;;;;;x
black_network_rank_2_male;Viper;;;;;;;;;;;x
black_network_rank_3_male;Ardragon;;;;;;;;;;;x
black_network_rank_4_male;Dread Lord;;;;;;;;;;;x
#Name of the currency;;;;;;;;;;;;x
currency_name_black_network;Network Power;;;;;;;;;;;x
#Rank up button name;;;;;;;;;;;;x
request_to_rank_up_within_black_network;Request to rank up.;;;;;;;;;;;x
#For tooltip that require being a member;;;;;;;;;;;;x
IS_black_network_TRIGGER;Is a member of the Black Network.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#Ruthless Taxation;;;;;;;;;;;;x
ruthless_taxation;Ruthless Taxation;;;;;;;;;;;x
#Tooltip of the decision;;;;;;;;;;;;x
ruthless_taxation_desc;By using a small portion of your power, you can confiscate your subjects' wealth for yourself. Kind, honest and charitable rulers might face personal consequences for this action.;;;;;;;;;;;x
#Tooltip of the decision in the society menu;;;;;;;;;;;;x
ruthless_taxation_power_desc;Steal wealth from the peasantry.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#Discount Mercs;;;;;;;;;;;;x
discount_mercs;Discount Mercenaries;;;;;;;;;;;x
#Tooltip of the decision;;;;;;;;;;;;x
discount_mercs_desc;You can spend a minor portion of your power and a little gold to hire a small but capable mercenary band. The Zhents are notorious for employing bands of evil humanoids and monsters.;;;;;;;;;;;x
#Tooltip of the decision in the society menu;;;;;;;;;;;;x
discount_mercs_power_desc;Employ a small mercenary army for a cheap price.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#Summon Zhentarim Servant;;;;;;;;;;;;x
summon_zhent_servant;Summon Zhentarim Servant;;;;;;;;;;;x
#Tooltip of the decision;;;;;;;;;;;;x
summon_zhent_servant_desc;You can spend some of your power to gain the services of a skilled Zhentharim agent, well versed in the arts of war and intrigue.;;;;;;;;;;;x
#Tooltip of the decision in the society menu;;;;;;;;;;;;x
summon_zhent_servant_power_desc;Gain the services of a Zhentarim agent.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#Zhent Trade Route;;;;;;;;;;;;x
zhent_trade_route;Establish Zhentarim Trade Route;;;;;;;;;;;x
#Tooltip of the decision;;;;;;;;;;;;x
zhent_trade_route_desc;You can spend a large amount of your power to embark on an adventure, that might eventually lead to great profits and the creation of a new trade route.;;;;;;;;;;;x
#Tooltip of the decision in the society menu;;;;;;;;;;;;x
zhent_trade_route_power_desc;Create a new and profitable trade route.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#Top Zhent Scheming;;;;;;;;;;;;x
scheme_for_leadership;Scheme for Leadership;;;;;;;;;;;x
#Tooltip of the decision;;;;;;;;;;;;x
scheme_for_leadership_desc;You can spend a large amount of your power to obtain a claim on the Zhentarim title. You'll be able to align yourself with the Banite or Cyricist faction, or create a new evil faction of your own.;;;;;;;;;;;x
#Tooltip of the decision in the society menu;;;;;;;;;;;;x
scheme_for_leadership_power_desc;A Dread Lord of the Black Network can try to seize leadership of the Zhentarim.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#This event is for joining;;;;;;;;;;;;x
EVTDESC_ZHE_102;So, you want to join the Black Network. Serve us well, and you'll be greatly rewarded, because the entire world will serve us, eventually. Cross us, and you won't live long enough to regret it. Deal?;;;;;;;;;;;x
EVTOPTA_ZHE_102;Yes, master.;;;;;;;;;;;x
EVTOPTB_ZHE_102;Er, I think I've made a mistake.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#This event is for rank up;;;;;;;;;;;;x
EVTDESC_ZHE_122;Greetings [Root.GetSocietyRank] [Root.GetFirstName],\nYou can rank up. [Root.Society.GetName].\n\nSigned,\n[From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;;x
EVTOPTA_ZHE_122;Great.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#rank tooltips;;;;;;;;;;;;x
black_network_tt_rank1;Wolves are fresh initiates of the Black Network.;;;;;;;;;;;x
#;;;;;;;;;;;;x
black_network_tt_rank2;Vipers are reliable spies, entrusted with a degree of extra information.;;;;;;;;;;;x
#;;;;;;;;;;;;x
black_network_tt_rank3;Ardragons have enough power and contacts to be important players in the Network. They are often watched with suspicion by their superiors.;;;;;;;;;;;x
#;;;;;;;;;;;;x
black_network_tt_rank4;Dread Lords are the real power behind the Black Network, often competing against one another and scheming for leadership of the organization.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#using ruthless tax;;;;;;;;;;;;x
EVTDESC_ZHE_21000;Wealth keeps flowing through one of my provinces. The peasants already have adequate food and lodging, what do they need more money for? As a powerful and responsible ruler, I should appropriate all of that gold, before it gets spent on something... frivolous.;;;;;;;;;;;x
EVTOPTA_ZHE_21000;Let's proceed.;;;;;;;;;;;x
EVTOPTB_ZHE_21000;Not a good idea.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#how to apply the ruthless tax;;;;;;;;;;;;x
EVTDESC_ZHE_21100;There's always more than one way to skin a cat. I could simply take the gold whenever I want through force, but would a different method be more appropriate?;;;;;;;;;;;x
EVTOPTA_ZHE_21100;Some minor tax concessions for the next few years should placate them.;;;;;;;;;;;x
EVTOPTB_ZHE_21100;Ugh, just take the gold.;;;;;;;;;;;x
EVTOPTC_ZHE_21100;Make a deal with the local thieves.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#scheming for leadership;;;;;;;;;;;;x
EVTDESC_ZHE_500;It's happening. My position inside the Black Network is extremely strong, and I can finally stake a claim to the Zhentarim title. Who should align myself with, though?;;;;;;;;;;;x
EVTOPTA_ZHE_500;The Church of Bane has many allies and a strong position.;;;;;;;;;;;x
