###Hill Giant Tribal###
tb_steading_1;Mud Hovels;;;;;;;;;;;x
tb_steading_1_desc;Hill giants in general, are stupid, arrogant, and gluttonous. They do not build mighty fortresses, nor do they conduct what we call agriculture. Instead, they live a life of raiding, bullying, and habitual feasting, in that order. Thankfully, only a small tribe resides here.;;;;;;;;;;;x
tb_steading_2;Crude Steadings;;;;;;;;;;;x
tb_steading_2_desc;In rare cases, when Hill giants are allowed to grow in population, they begin erecting crude steadings. Much like a house, save built for giant size, these steadings are often built around the chiefs hall. This tribe has begun to dominate the region, and few things can stop them now.;;;;;;;;;;;x
tb_steading_3;Rough Camps;;;;;;;;;;;x
tb_steading_3_desc;Hill giants do not build with organized planning in mind. Unless the chief directly knocks it down, most giants build wherever they please. This is not the case here, as with the tribes increasing wealth, the disparate steadings have begun to form defensive rings, centered around the chiefs hall.;;;;;;;;;;;x
tb_steading_4;Hill Forts;;;;;;;;;;;x
tb_steading_4_desc;A mighty chieftain has cemented their power here. Among the hills and valleys, hillforts constructed from the very trunks of trees and rocky cliffs have emerged. Countless slave warriors and chattel pens surround these forts, all of which circles the chiefs grand feast hall.;;;;;;;;;;;x
tb_rockthrow_1;Boulder Pit;;;;;;;;;;;x
tb_rockthrow_1_desc;All giants, regardless of their origin, enjoy throwing mighty boulders. Sadly, this ruler has only a meagre pile of rocks to offer.;;;;;;;;;;;x
tb_rockthrow_2;Throwing Pitch;;;;;;;;;;;x
tb_rockthrow_2_desc;This field is littered with craters and crimson stains. Here, all giants partake in their favorite past time, competing in games of strength, distance, and occassional accuracy. It is not uncommon after a successful raid, for captives to be made into moving targets or worse, ammo.;;;;;;;;;;;x
tb_rockthrow_3;Rock Range;;;;;;;;;;;x
tb_rockthrow_3_desc;Booms and thunderous clashes can be heard miles away from this range, as teams of giants are drilled into the art of the throw. Each giant, is trained to become a living siege weapon, for few castles could withstand such a barrage of stone from these warriors.;;;;;;;;;;;x
tb_monstertrash_1;Refuse Creeps;;;;;;;;;;;x
tb_monstertrash_1_desc;Hill giants are a filthy race by nature. Their constant feasting, lack of cleanliness, and hardy bodys, means little to nothing bothers them. This filth attracts the usual scavengers, such as ropers,  gelatinous cubes, and even an oytugh which live in or near the tribe.;;;;;;;;;;;x
tb_monstertrash_2;Squalor Squatters;;;;;;;;;;;x
tb_monstertrash_2_desc;As the tribe grows, so too does it's unwanted guests. Like rats in a human city, the giants are generally unbothered by these creatures, being too large and difficult to kill of course. They do serve an unofficial purpose in keeping the tribe relatively clean, as well as slowing down besiegers.;;;;;;;;;;;x
tb_monstertrash_3;Trash Kings;;;;;;;;;;;x
tb_monstertrash_3_desc;Though Hill giants are not known for their husbandry, or any animal handling skills, they make up for this by bullying weaker creatures. Here the local chief has forced the various beasts to serve him, with strategic trash sites, and releasing the caged beasts on the eve of battle.;;;;;;;;;;;x
tb_chiefshut_1;Chiefs Tent;;;;;;;;;;;x
tb_chiefshut_1_desc;Even the lowliest of hill giant chieftains, ensures that he has the best hovel out of the tribe. Even if that means it's just a few trees tied to form a makeshift teepee.;;;;;;;;;;;x
tb_chiefshut_2;Chiefs House;;;;;;;;;;;x
tb_chiefshut_2_desc;Finally, a proper roof over the chieftains head has been erected. Large enough to house his personal family, and a few loyal guards. This up and coming chief still has a long way to go however.;;;;;;;;;;;x
tb_chiefshut_3;Chiefs Hall;;;;;;;;;;;x
tb_chiefshut_3_desc;From the squalid mud fields, to a rightful lords hall, this hill giant has built a home which dwarfs even barbarian kings. Fiercesome beasts prowl around, trophies from far a field decorate its walls, and the raucous laughter of warriors speaks of an ongoing feast.;;;;;;;;;;;x
tb_desert_town_1;Straggling Nomads;;;;;;;;;;;x
tb_desert_town_1_desc;Though some of the oldest of giantkin can barely recall the legends of Ostoria, they still claim to be the rightful overlords of Faerun. This is easier said than done, when conquering desert terrain. Thankfully, a few enterprising nomads come baring goods.;;;;;;;;;;;x
tb_desert_town_2;Nomad Outposts;;;;;;;;;;;x
tb_desert_town_2_desc;Giants as a rule, require more food to sustain themselves than the small races. Even the smallest of giant populations require a kings feast every day, let alone those settled under the scorching desert sun. The few nomads have organized themselves, and come once a season with camels ladened with precious food.;;;;;;;;;;;x
tb_desert_town_3;Nomad Quarters;;;;;;;;;;;x
tb_desert_town_3_desc;From the unruly hill giants to the thunderous storm giants, the nomads are begrudgingly welcomed. Even so far in some tribes to have special quarters, fit to house them. During the off season, these more settled nomads offer their services as calvarymen, a rare role in any giant army.;;;;;;;;;;;x
tb_desert_town_4;Nomadic City.;;;;;;;;;;;x
tb_desert_town_4_desc;It is undeniable that in this province, the once nomadic people of the desert have begun to coexist with their giant overlords. Older giants, those who recall the legends of Ostoria, remark that this is what it may have once been like. Regardless, this province provides not only food, but much wealth.;;;;;;;;;;;x
tb_slave_pens_1;Loathsome Prisoners;;;;;;;;;;;x
tb_slave_pens_1_desc;Out of the giant race, Hill giants are one of the few who actively hunt and eat the smaller races. Their ravenous hunger, and lack of morals, gives them no qualms when devouring such sapient creatures. Occassionally, a chieftain saves a few prisoners for more twisted purposes.;;;;;;;;;;;x
tb_slave_pens_2;Rowdy Captives;;;;;;;;;;;x
tb_slave_pens_2_desc;Hill giant tribes are often a conglomeration of other species. Bullying or enslaving the smaller races, it is not uncommon to see goblinoids, orcs, and even human slaves toiling under their giant overlords. Rarely do such creatures live past a single generation, but a few eek out an existence.;;;;;;;;;;;x
tb_slave_pens_3;Broken Servants;;;;;;;;;;;x
tb_slave_pens_3_desc;When the giants march to war, they often endeavor to take as many prisoners as possible. This tribe in particular has kept a sizeable population under their leash, even going so far as to employ them in battle. Often underfed, abused, and cowardly, these slaves are only meant to be meatshields.;;;;;;;;;;;x
tb_slave_pens_4;Chattel Slaves;;;;;;;;;;;x
