#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
#Color codes (EG: ßYExampleß!) must be encoded into windows 1252.;;;;;;;;;;;;x
###Title Claims###;;;;;;;;;;;;x
;;;;;;;;;;;;x
##Single title##;;;;;;;;;;;;x
CLAIM;Claim;Revendiquer;Anspruch;;Reclamar;;;;;;;x
CB_NAME_CLAIM;Claim [Title.GetBaseName];Revendiquer [Title.GetBaseName];[Title.GetBaseName] beanspruchen;;Reclama [Title.GetBaseName];;;;;;;x
WAR_NAME_CLAIM;$ORDER$$FIRST_ADJ$ Claim on $OTHER_TITLE$ War;$ORDER$Guerre de revendication $FIRST_ADJ$ sur $OTHER_TITLE$;$ORDER$$FIRST_ADJ$er Krieg um den Anspruch auf $OTHER_TITLE$;;$ORDER$ Guerra $FIRST_ADJ$ por el $OTHER_TITLE$;;;;;;;x
claim_desc;This Casus Belli can be used by ßY$CLAIMANT$ß! to press the claim on the ßY$TITLE$ß!;Ce casus belli peut √™tre utilis√© par ßY$CLAIMANT$ß! pour appuyer sa revendication sur ßY$TITLE$ß!;ßY$CLAIMANT$ß! kann diesen Kriegsgrund benutzen, um den Anspruch auf den Titel ßY$TITLE$ß! voranzutreiben;;Este Casus Belli puede ser usado por ßY$CLAIMANT$ß! para instar la reclamaci√≥n de ßY$TITLE$ß!;;;;;;;x
;;;;;;;;;;;;x
##Multiple##;;;;;;;;;;;;x
CB_NAME_CLAIM_ALL;Press all Claims;Appuyer toutes les revendications;Alle Anspr√ºche anf√ºhren;;Instar todas las reclamaciones;;;;;;;x
WAR_NAME_CLAIM_ALL;$ORDER$$FIRST_ADJ$ War for the $CLAIMS$;$ORDER$Guerre $FIRST_ADJ$ pour $CLAIMS$;$ORDER$$FIRST_ADJ$er Krieg um $CLAIMS$;;$ORDER$$FIRST_ADJ$ Guerra por $CLAIMS$;;;;;;;x
;;;;;;;;;;;;x
##Liege title##;;;;;;;;;;;;x
WAR_NAME_CLAIM_LIEGE;$ATTACKER$'s $ORDER$War for $OTHER_TITLE$;$ORDER$Guerre de $ATTACKER$ pour $OTHER_TITLE$;$ATTACKER$s $ORDER$ Krieg um $OTHER_TITLE$;;$ORDER$ Guerra de $ATTACKER$ por $OTHER_TITLE$;;;;;;;x
claim_on_liege_desc;This Casus Belli can be used by ßY$CLAIMANT$ß! to press the claim on the ßY$TITLE$ß!;Ce casus belli peut √™tre utilis√© par ßY$CLAIMANT$ß! pour appuyer sa revendication sur ßY$TITLE$ß!;ßY$CLAIMANT$ß! kann diesen Kriegsgrund benutzen, um den Anspruch auf den Titel ßY$TITLE$ß! voranzutreiben;;Este Casus Belli puede ser usado por ßY$CLAIMANT$ß! para instar la reclamaci√≥n de ßY$TITLE$ß!;;;;;;;x
;;;;;;;;;;;;x
##Vassal##;;;;;;;;;;;;x
CB_NAME_CLAIM_VASSAL;Revoke [Title.GetBaseName];R√©voquer [Title.GetBaseName];Entzieht den Titel [Title.GetBaseName];;Revocar [Title.GetBaseName];;;;;;;x
WAR_NAME_CLAIM_VASSAL;$ATTACKER$'s $ORDER$War to Revoke $OTHER_TITLE$;$ORDER$Guerre de $ATTACKER$ pour obtenir $OTHER_TITLE$;$ATTACKER$'s $ORDER$Krieg zur Aberkennung von $OTHER_TITLE$;;$ATTACKER$ $ORDER$una guerra para revocar $OTHER_TITLE$;;;;;;;x
;;;;;;;;;;;;x
##Invasion##;;;;;;;;;;;;x
#CB_NAME_INVASION;Invasion of [Title.GetBaseName];Invasion de [Title.GetBaseName];Invasion von [Title.GetBaseName];;Invasi√≥n de [Title.GetBaseName];;;;;;;x
#WAR_NAME_INVASION;$ORDER$$FIRST_ADJ$ Invasion of $OTHER_TITLE$;$ORDER$Invasion $FIRST_ADJ$ de $OTHER_TITLE$;$ORDER$$FIRST_ADJ$e Invasion von $OTHER_TITLE$;;Invasi√≥n de $OTHER_TITLE$;;;;;;;x
