#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
#Delve into forbidden lore;;;;;;;;;;;;x
delve_into_forbidden;Delve Into Forbidden Lore;;;;;;;;;;;x
delve_into_forbidden_desc;The Cult of the Dragon possesses great repositories of secret lore. As a member, you can lose yourself into the pursuit of higher knowledge.;;;;;;;;;;;x
delve_into_forbidden_power_desc;Study the hidden lore of the cult.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#Minor gift;;;;;;;;;;;;x
dragon_minor_gift;Cult's Gift;;;;;;;;;;;x
dragon_minor_gift_desc;The Cult has connections and often makes alliances with dragons, which means that many unusual magic items end of in the Cult's possession. Loyal servants may be rewarded with such items.;;;;;;;;;;;x
dragon_minor_gift_power_desc;Get a free magic item.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#Establish cell;;;;;;;;;;;;x
establish_cell;Establish Cult Cell;;;;;;;;;;;x
establish_cell_desc;The Cult of the Dragon will not shy away from criminal acts to achieve its goals. By establishing a cell in your lands, you can partake of a share of the Cult's illicit activities.;;;;;;;;;;;x
establish_cell_power_desc;Create a cultist cell in your lands, for the glory of the cult and for profit. Right-click on the province shield of one of your demesne province to use the decision.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#Choose Undeath;;;;;;;;;;;;x
choose_undeath;Choose Undeath;;;;;;;;;;;x
choose_undeath_desc;Given your society's focus on necromancy and undeath, it's no surprise that many members eventually decide to become undead themselves.;;;;;;;;;;;x
choose_undeath_power_desc;Become an undead creature.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#Invite Dracolich;;;;;;;;;;;;x
invite_dracolich;Invite Dracolich;;;;;;;;;;;x
invite_dracolich_desc;As a top member of the Cult, you can request the assistance of a dracolich that has already pledged its allegiance to the Cult.;;;;;;;;;;;x
invite_dracolich_power_desc;Gain the services of a powerful dracolich.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#start delving;;;;;;;;;;;;x
EVTDESC_CDR_200;The Cult has great knowledge, collected, preserved and kept from the world for centuries. You now have the unique chance to study that secret lore.;;;;;;;;;;;x
EVTOPTA_CDR_200;A great opportunity.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#random delving;;;;;;;;;;;;x
EVTDESC_CDR_201;After months of studying dusty tomes and frayed parchments, you might be on the verge of a great discovery. Do you have the courage to press on?;;;;;;;;;;;x
EVTOPTA_CDR_201;Of course, nothing will stop me.;;;;;;;;;;;x
EVTOPTB_CDR_201;No, enough for now.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#minor gift;;;;;;;;;;;;x
EVTDESC_CDR_300;The Cult has decided to accept your request, and a magic artifact of sizable power will soon be entrusted to you.;;;;;;;;;;;x
EVTOPTA_CDR_300;I am honored.;;;;;;;;;;;x
EVTDESC_CDR_301;The Cult has decided to reward you for your loyal service, and a magic artifact of sizable power will soon be entrusted to you.;;;;;;;;;;;x
EVTOPTA_CDR_301;I am honored.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#established cell;;;;;;;;;;;;x
EVTDESC_CDR_400;The Cult has finally established a stable cell in your province. You are entitled to a share of their profits, so it's only a matter of time before wealth starts pouring in your coffers.;;;;;;;;;;;x
EVTOPTA_CDR_400;Excellent.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#valuable obtained;;;;;;;;;;;;x
EVTDESC_CDR_401;One of the Cult of the Dragon cells in your lands has been busy, and they are now offering you a good share of their illicit gains.;;;;;;;;;;;x
EVTOPTA_CDR_401;No act is wrong when done for Cult's sake.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#cell in trouble;;;;;;;;;;;;x
EVTDESC_CDR_402;One of the Cult of the Dragon cells in your lands is in deep trouble, facing destruction, and they are asking for your help to survive.;;;;;;;;;;;x
EVTOPTA_CDR_402;Of course I'll help.;;;;;;;;;;;x
EVTOPTB_CDR_402;Unfortunately, their time is up.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#hostile cell;;;;;;;;;;;;x
EVTDESC_CDR_403;The Cult of the Dragon is deeply entrenched in one of your provinces, and they're disrupting your economy with their criminal activities.;;;;;;;;;;;x
EVTOPTA_CDR_403;Damn them!;;;;;;;;;;;x
EVTOPTB_CDR_403;We'll hire some adventurers to destroy them.;;;;;;;;;;;x
EVTOPTC_CDR_403;Intriguing. I think I'll pay them a visit.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#good working cell;;;;;;;;;;;;x
EVTDESC_CDR_404;One of the Cult of the Dragon cells in your lands has distinguished itself, consistently doing excellent work for the Cult for the last few years.;;;;;;;;;;;x
EVTOPTA_CDR_404;And it's all thanks to me.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#undead;;;;;;;;;;;;x
EVTDESC_CDR_500;After so many years of faithful service to your undead overlords, you'll finally be rewarded with eternal unlife.;;;;;;;;;;;x
EVTOPTA_CDR_500;I'll glide through the night and feed on the blood of the living.;;;;;;;;;;;x
EVTOPTB_CDR_500;A formidable spellcaster like myself deserves lichdom.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#invite dracolich;;;;;;;;;;;;x
EVTDESC_CDR_600;A great dracolich has answered to your call for help, and has taken residence in your lands.;;;;;;;;;;;x
EVTOPTA_CDR_600;A powerful ally, to be sure.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#start dracolich quest;;;;;;;;;;;;x
EVTDESC_CDR_6200;Your underlings have learned the location of a dragon lair. If only this dragon could be convinced, the cult would be able to create a new dracolich.;;;;;;;;;;;x
EVTOPTA_CDR_6200;Let's inform the Dragon Mages.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#accept or decline dracolich quest;;;;;;;;;;;;x
EVTDESC_CDR_6202;Greetings, [Root.GetSocietyRank] [Root.GetFirstName]. You have the Cult's permission to initiate negotiations with the dragon you found, if you so wish.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#event for dragon target;;;;;;;;;;;;x
EVTDESC_CDR_6203;An envoy of the Cult of the Dragon has come to visit you today. The Cult promises to give me eternal unlife through lichdom.;;;;;;;;;;;x
EVTOPTA_CDR_6203;That sounds promising.;;;;;;;;;;;x
EVTOPTB_CDR_6203;I am a dragon, I don't need undeath.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#dracolich success;;;;;;;;;;;;x
EVTDESC_CDR_6204;The dragon you contacted has accepted to be turned into a dracolich! This will improve your status in the Cult greatly.;;;;;;;;;;;x
EVTOPTA_CDR_6204;A resounding success.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#dracolich failure;;;;;;;;;;;;x
EVTDESC_CDR_6205;The dragon you contacted has refused to be turned into a dracolich, but do not lose hope! The Cult's eventual success, as prophesied, is inevitable.;;;;;;;;;;;x
EVTOPTA_CDR_6205;Eh, it was a long shot.;;;;;;;;;;;x
#;;;;;;;;;;;;x
quest_dracolich;Create a Dracolich;;;;;;;;;;;x
quest_dracolich_desc;Your underlings have learned the location of a dragon lair. Try to convince this dragon to become a Sacred One: a dracolich.;;;;;;;;;;;x
#;;;;;;;;;;;;x
dragon_minor_gift_cooldown_tooltip;Has not used the decision in the last 100 years;;;;;;;;;;;x
#;;;;;;;;;;;;x
delve_into_forbidden_cooldown_tooltip;Has not used the decision in the last 5 years;;;;;;;;;;;x
#;;;;;;;;;;;;x
invite_dracolich_cooldown_tooltip;Has not used the decision in the last 100 years;;;;;;;;;;;x
#;;;;;;;;;;;;x
forbidden_knowledge;Forbidden Knowledge;;;;;;;;;;;x
forbidden_knowledge_desc;This character has been studying rare esoteric tomes.;;;;;;;;;;;x
#;;;;;;;;;;;;x
secret_cult_cell;Secret Cult Cell;;;;;;;;;;;x
secret_cult_cell_desc;This province harbors a small but determined cell of the Cult of the Dragon.;;;;;;;;;;;x
#;;;;;;;;;;;;x
