#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
#Make sure that this file in encoded in ANSI;;;;;;;;;;;;x
#The society name;;;;;;;;;;;;x
dales_council;Dales Council;;;;;;;;;;;x
string_dales_council;dales_council;;;;;;;;;;;x
#The society description;;;;;;;;;;;;x
dales_council_desc;The Dales Council was formed after the defeat of Aencar Burlisk, the self-proclaimed King of the Dales, in 1044 DR, when his campaign to unite the dales under one rule was ended. The Council allows the governments of the various dales to meet and debate issues affecting all of their lands. Each dale sends a delegate to the council to agree upon matters such as trade routes, foreign relations, defense pacts against Zhents or other aggressors, and various squabbles between neighboring dales.;;;;;;;;;;;x
#Leader description;;;;;;;;;;;;x
dales_council_leader_desc;The members of the Council are all equal in political standing, but there is usually a respected member acting as moderator during discussions.;;;;;;;;;;;x
#Name of the ranks;;;;;;;;;;;;x
dales_council_rank_1_female;Guest;;;;;;;;;;;x
dales_council_rank_2_female;Councillor;;;;;;;;;;;x
dales_council_rank_3_female;Alderman;;;;;;;;;;;x
dales_council_rank_4_female;Chancellor;;;;;;;;;;;x
dales_council_rank_1_male;Guest;;;;;;;;;;;x
dales_council_rank_2_male;Councillor;;;;;;;;;;;x
dales_council_rank_3_male;Alderman;;;;;;;;;;;x
dales_council_rank_4_male;Chancellor;;;;;;;;;;;x
#Name of the currency;;;;;;;;;;;;x
currency_name_dales_council;Council Influence;;;;;;;;;;;x
#Rank up button name;;;;;;;;;;;;x
request_to_rank_up_within_dales_council;Request to rank up.;;;;;;;;;;;x
#For tooltip that require being a member;;;;;;;;;;;;x
IS_dales_council_TRIGGER;Is a member of the Dales Council.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#Dales Mediation;;;;;;;;;;;;x
dales_mediation;Council Mediation;;;;;;;;;;;x
dales_mediation_desc;By using a small portion of your influence, you can end any war declared on you by another member of the Dales Council.;;;;;;;;;;;x
dales_mediation_power_desc;End wars declared on you by members of the Council.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#This event is for joining;;;;;;;;;;;;x
EVTDESC_DAL_102;Welcome to the Dales Council. By working together, the good people of the Dalelands have managed to stay free and independent for centuries. By following their example, we'll ensure that peace, prosperity and freedom are preserved in these dark times.;;;;;;;;;;;x
EVTOPTA_DAL_102;A pleasure to be here.;;;;;;;;;;;x
EVTOPTB_DAL_102;I'm not sure yet.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#This event is for rank up;;;;;;;;;;;;x
EVTDESC_DAL_122;Greetings [Root.GetSocietyRank] [Root.GetFirstName],\nYou can rank up. [Root.Society.GetName].\n\nSigned,\n[From.GetSocietyRank] [From.GetFirstName];;;;;;;;;;;x
EVTOPTA_DAL_122;Great.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#Stop war event;;;;;;;;;;;;x
EVTDESC_DAL_30000;As a member of the Dales Council, I successfully petitioned the Council to stop the pointless internal conflict I was involved in.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#Dales Diplomacy;;;;;;;;;;;;x
dales_diplomacy;Council Diplomacy;;;;;;;;;;;x
dales_diplomacy_desc;The main purpose of the Dales Council is to protect the free realms of the Dalelands from outside threats, and the best way to do so is to encourage and facilitate vast networks of alliances between its members. Use this decision to stipulate a 6-years alliance with a member of the society.;;;;;;;;;;;x
dales_diplomacy_power_desc;Gain an ally among the Council's members.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#Dales Raise Ships;;;;;;;;;;;;x
dales_raise_ships;Council Raise Ships;;;;;;;;;;;x
