#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
#;;;;;;;;;;;;x
#Appease Spirits;;;;;;;;;;;;x
appease_spirits;Appease Nature Spirits;;;;;;;;;;;x
appease_spirits_desc;By using a small portion of your influence and sacrificing some wealth, you can ask the spirits of the land or the local fey for a boon.;;;;;;;;;;;x
appease_spirits_power_desc;Receive a boon from spirits of nature.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#Invite Druid;;;;;;;;;;;;x
invite_druid;Invite Druid;;;;;;;;;;;x
invite_druid_desc;A druid of the Emerald Enclave, skilled in matters of learning, joins your court.;;;;;;;;;;;x
invite_druid_power_desc;A druid of the Enclave joins you.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#Nature Favor;;;;;;;;;;;;x
nature_favor;Nature's Favor;;;;;;;;;;;x
nature_favor_desc;With the help of friendly fey creatures and spirits of nature, you can terribly disrupt enemy armies' supply in your territory, while only suffering minor drawbacks yourself. Beware of winter though!;;;;;;;;;;;x
nature_favor_power_desc;Sabotage enemy supply limit in your lands.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#Druid joins court;;;;;;;;;;;;x
EVTDESC_EME_25000;The ranks of the Emerald Enclave are always brimming with promising druids. Thanks to my position, I have gained the service of such a person.;;;;;;;;;;;x
EVTOPTA_EME_25000;Excellent.;;;;;;;;;;;x
#;;;;;;;;;;;;x
#Start Appease;;;;;;;;;;;;x
EVTDESC_EME_7000;You have decided to visit the shrine in the holy grove and make an offer to spirits of the wilds, hoping for their aid in return. What will you ask them for?;;;;;;;;;;;x
EVTOPTA_EME_7000;A long and healthy life.;Une longue et saine vie.;Ein langes und gesundes Leben.;;Una vida larga y sana;;;;;;;x
EVTOPTB_EME_7000;I wish for affection and companionship.;Je souhaite de l'affection et de la camaraderie.;Ich w∏nsche mir Zuneigung und Freundschaft.;;Deseo afecto y compa“Ãa;;;;;;;x
EVTOPTC_EME_7000;Guide my sword in battle and let me conquer my enemies!;De guider mon »p»e dans la bataille et de m'aider á conqu»rir mes ennemisÜ!;Leite mein Schwert in der Schlacht, auf dass ich meine Feinde unterwerfe!;;∞Guiar mi mano en la batalla y poder vencer a mis enemigos!;;;;;;;x
EVTOPTD_EME_7000;Prosperity and growth for my realm.;Prosp»rit» et richesses dans mes terres.;Wohlstand und Wachstum f∏r mein Reich.;;Prosperidad y crecimiento para mi reino.;;;;;;;x
