###Magic###
wiz_abjuration;Abjuration School;;;;;;;;;;;x
wiz_abjuration_desc;The school of Abjuration deals in matters often in defense. Whether it be hiding a generals tent from scrying, exorcising a great fiend, or even destroying planar portals. These Abjurers are of an orderly mind, straying towards paths of good.;;;;;;;;;;;x
wiz_transmutation;Transmutation School;;;;;;;;;;;x
wiz_transmutation_desc;The school of Transmutation is the study of the very laws of the universe. Such students often seek ways to change, alter, or bend reality to their will. Such Transmuters are often content, though a few seek so far as to challenge the Gods.;;;;;;;;;;;x
wiz_conjuration;Conjuration School;;;;;;;;;;;x
wiz_conjuration_desc;The school of Conjuration is the art of creation, of producing things tangible. Varying from great storms, beasts of unknown origin, or perhaps even teleportation. Many a great wizard has studied this school, good or bad, few have ever chose not.;;;;;;;;;;;x
wiz_divination;Divination School;;;;;;;;;;;x
wiz_divination_desc;The school of Divination is often learning to part the truth from the unknown. Whether it be consorting with planar intelligences, the reading of ones fate, or even finding a generals tent. Such Diviners are heavily sought out by those of power.;;;;;;;;;;;x
wiz_enchantment;Enchanter School;;;;;;;;;;;x
wiz_enchantment_desc;The school of Enchantment is always more than it seems. Whether it be inciting the violent to follow peace, or the enslavement of ones mind, it is quite the potent school. Many an Enchanter often straddle the line of tyrants and saints.;;;;;;;;;;;x
wiz_evocation;Evocation School;;;;;;;;;;;x
wiz_evocation_desc;The school of Evocation is one of destruction, whether it be for war matters not. Many an Evoker desires the power to destroy their foes with fire, lighting, and the chill of frost. Such Evokers greatly make up the armies of Kings, if not their own realm.;;;;;;;;;;;x
wiz_illusion;Illusion School;;;;;;;;;;;x
wiz_illusion_desc;The school of Illusion is as much a school of theater as it is study. But in truth it is in pursuit of perfection, of not only imitating life, but surpassing it. Illusionists often are the more benign tricksters, but a few are devious villains.;;;;;;;;;;;x
wiz_necromancy;Necromancy School;;;;;;;;;;;x
wiz_necromancy_desc;The school of Necromancy is a grim and morbid study into all matters macabre. Animating the dead, communing with spirits, and of course manipulating life. Though some Necromancers are not evil, the great majority do not help to convince otherwise.;;;;;;;;;;;x
wiz_wild;Wild Magic;;;;;;;;;;;x
wiz_wild_desc;Wild magic is neither a school, nor a wholly unknown concept. Your powers come from things beyond this mortal realm, such as the planes, or the very forces of creation. As such, it is chaotic, dangerous, but most of all powerful. Good luck young sorcerer.;;;;;;;;;;;x
###FishPeople###
weak_sahuagin;Weak Ruler;;;;;;;;;;;;x
weak_sahuagin_desc;Your cowardice and poor leadership cannot stand. Expect a Blood Challenge...;;;;;;;;;;;;x
angry_sahuagin;Angry Sahuagin;;;;;;;;;;;;x
angry_sahuagin_desc;We Who Eat respect only the strongest and most pious followers of Sekolah. Your recent actions have lost the Sahuagins faith in you.;;;;;;;;;;;;x
blood_festival_mod;Called a Blood Festival;;;;;;;;;;;;x
druids_defeated;Slew a druid;;;;;;;;;;;;x
held_stagfeast;Held Feast of the Stags;;;;;;;;;;;;x
known_lycan_modifier;Known Lycanthrope;;;;;;;;;;;;x
reverend_one_mod;Reverend One;;;;;;;;;;;;x
mod_baelnorn_predecessor;Descendant of Baelnorn;;;;;;;;;;;;x
dwarfhold_mod;Dwarfhold;;;;;;;;;;;;x
dwarfhold_mod_desc;This area is host to a mighty dwarfhold, a great defensible bastion of dwarvenkind.;;;;;;;;;;;;x
ruined_dwarfhold;Ruined Dwarfhold;;;;;;;;;;;;x
ruined_dwarfhold_desc;This area is host to a dwarfhold, though ruined by having fallen to the enemies of the stout folk.;;;;;;;;;;;;x
magic_disaster;Magically Devastated;;;;;;;;;;;;x
magic_disaster_desc;This area is recovering from an exceptionally powerful magical attack which has blasted the land.;;;;;;;;;;;;x
oath_of_the_ancients;Oath of the Ancients;;;;;;;;;;;;x
oath_of_conquest;Oath of Conquest;;;;;;;;;;;;x
oath_of_the_crown;Oath of the Crown;;;;;;;;;;;;x
oath_of_devotion;Oath of Devotion;;;;;;;;;;;;x
oath_of_redemption;Oath of Redemption;;;;;;;;;;;;x
oath_of_vengeance;Oath of Vengeance;;;;;;;;;;;;x
monk_diplo;Monastic Diplomacy;;;;;;;;;;;;x
monk_martial;Monastic Martial;;;;;;;;;;;;x
monk_stewardship;Monastic Stewardship;;;;;;;;;;;;x
monk_intrigue;Monastic Intrigue;;;;;;;;;;;;x
monk_learning;Monastic Learning;;;;;;;;;;;;x
shadow_alertness;Alertness;;;;;;;;;;;;x
corrupt_ruler;Corrupt Ruler;;;;;;;;;;;;x
small_psi_stress;Light Psionic Stress;;;;;;;;;;;;x
med_psi_stress;Psionic Stress;;;;;;;;;;;;x
medium_psi_stress;Psionic Stress;;;;;;;;;;;;x
big_psi_stress;Heavy Psionic Stress;;;;;;;;;;;;x
mindblade;Mindblade;;;;;;;;;;;;x
glamour;Glamour;;;;;;;;;;;;x
empty_mind;Emptied Mind;;;;;;;;;;;;x
opinion_exposed_me_lycan;Exposed me;;;;;;;;;;;;x
opinion_kept_secret_lycan;Kept my secret;;;;;;;;;;;;x
opinion_foul_lycan;Monstrous Lycanthrope;;;;;;;;;;;;x
opinion_exposed_me_vamp;Exposed me;;;;;;;;;;;;x
opinion_kept_secret_vamp;Kept my secret;;;;;;;;;;;;x
opinion_foul_vamp;Monstrous Vampire;;;;;;;;;;;;x
revealed_my_vamp_secret;Revealed my vampirism;;;;;;;;;;;x
hidden_strength;Hidden Strength;;;;;;;;;;;;x
hidden_combat_rating;Personal Combat Skill;;;;;;;;;;;;x
known_vamp_modifier;Known Vampire;;;;;;;;;;;;x
vampiric_spawn;Made me into Vampire Spawn;;;;;;;;;;;;x
vampire_blood_fed;Fed on mortal blood;;;;;;;;;;;;x
class_cd;Recent class training;;;;;;;;;;;;x
pirate_of_wildspace;Pirate of Wildspace;;;;;;;;;;;;x
abyss_impaler;Abyssal Impaler;;;;;;;;;;;;x
abyss_lustful;Abyssal Lust;;;;;;;;;;;;x
abyss_gluttonous;Abyssal Gluttony;;;;;;;;;;;;x
abyss_greedy;Abyssal Greed;;;;;;;;;;;;x
abyss_slothful;Abyssal Sloth;;;;;;;;;;;;x
abyss_wroth;Abyssal Wrath;;;;;;;;;;;;x
abyss_envious;Abyssal Envy;;;;;;;;;;;;x
abyss_proud;Abyssal Pride;;;;;;;;;;;;x
abyss_cruel;Abyssal Cruelty;;;;;;;;;;;;x
abyss_deceitful;Abyssal Deceit;;;;;;;;;;;;x
abyss_possessed;Abyssal Possession;;;;;;;;;;;;x
joyful_etiquette_mod;Etiquette Lessons;;;;;;;;;;;;x
syncretic_10k;Myriadic Syncretism;;;;;;;;;;;;x
syncretic_abyssal;Abyssal Syncretism;;;;;;;;;;;;x
syncretic_ancestral;Ancestral Syncretism;;;;;;;;;;;;x
syncretic_arcane;Arcane Syncretism;;;;;;;;;;;;x
syncretic_asathalfinare;Asathalfinare Syncretism;;;;;;;;;;;;x
syncretic_bahamut;Bahamutian Syncretism;;;;;;;;;;;;x
syncretic_beholder;Ocular Syncretism;;;;;;;;;;;;x
syncretic_blue_flame;Azure Syncretism;;;;;;;;;;;;x
syncretic_chauntea;Chauntean Syncretism;;;;;;;;;;;;x
syncretic_cyric;Cyricist Syncretism;;;;;;;;;;;;x
syncretic_draconic;Draconic Syncretism;;;;;;;;;;;;x
syncretic_dwarf;Morndinsamman Syncretism;;;;;;;;;;;;x
syncretic_earthmother;Earthen Syncretism;;;;;;;;;;;;x
syncretic_eilistraee;Eilistraeean Syncretism;;;;;;;;;;;;x
syncretic_elf;Seldarine Syncretism;;;;;;;;;;;;x
syncretic_enlil;Enlilist Syncretism;;;;;;;;;;;;x
syncretic_entropy;Entropist Syncretism;;;;;;;;;;;;x
syncretic_faceless;Faceless Syncretism;;;;;;;;;;;;x
syncretic_geomancy;Geomantic Syncretism;;;;;;;;;;;;x
syncretic_ghaunadaur;Ghaunadan Syncretism;;;;;;;;;;;;x
syncretic_giant;Jotun Syncretism;;;;;;;;;;;;x
syncretic_gnome;Gnomish Syncretism;;;;;;;;;;;;x
syncretic_goblin;Goblinoid Syncretism;;;;;;;;;;;;x
syncretic_halfling;Yondallan Syncretism;;;;;;;;;;;;x
syncretic_illithid;Ilsensinian Syncretism;;;;;;;;;;;;x
syncretic_infernal;Infernal Syncretism;;;;;;;;;;;;x
