#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
WAR_NAME_DOF_DEPOSE_INVASION;War to depose weak ruler;;;;;;;;;;;x
find_runecaster;Find a Runecaster;;;;;;;;;;;x
find_runecaster_desc;Look for a Runecaster.;;;;;;;;;;;x
EVTOPTA_Ordning_0001;May we be blessed by Annam's chosen.;;;;;;;;;;;x
EVTDESC_Ordning_0001;Amidst the jotunbrud, Runecasters wield awesome power. Legends speak of great sages opening the very rainbow gates to Ysgard, others destroying steel with but a touch. The powers of the Runecaster are great indeed, but to convince these nomadic wanderers will take much gold and honor.;;;;;;;;;;;x
EVTOPTA_Ordning_0004;I already have a plan for them.;;;;;;;;;;;x
EVTDESC_Ordning_0004;My Lord, a Runecaster has arrived at last. They have not yet demonstrated any of their mighty power, but already the tribe is asking for celebrations and feasts. Let us pray to Annam that this giant is as they say they are...;;;;;;;;;;;x
homosexual_desc;This character is exclusively attracted to those of the same gender.;;;;;;;;;;;x
bisexual;Bisexual;;;;;;;;;;;x
bisexual_desc;This character does not have a strong gender preference in sexual and romantic matters.;;;;;;;;;;;x
asexual;Asexual;;;;;;;;;;;x
asexual_desc;This character does not have strong, or possibly any, sexual or romantic interests in others, regardless of gender.;;;;;;;;;;;x
androgynous;Androgynous;;;;;;;;;;;x
androgynous_desc;This character does not conform closely to conventional ideas of their gender.;;;;;;;;;;;x
adopted;Adopted;;;;;;;;;;;x
adopted_desc;This character has been joined to a family through adoption, instead of being born to it. It is more difficult for them to prove themselves legitimate compared to a character born into a family.;;;;;;;;;;;x
former_adventurer;Former Adventurer;;;;;;;;;;;x
former_adventurer_desc;This character has been there and back again. Their life of adventure is behind them.;;;;;;;;;;;x
EVTDESCbeauty_inheritance.0;This child resembles its family - but the subtle differences will determine how others respond to [GetHerHis] appearance.;;;;;;;;;;;x
EVTOPTAbeauty_inheritance.0;One can only hope for the best.;;;;;;;;;;;x
EVTDESCstrength_inheritance.0;"As this child begins to feed and grow, you begin to see indications of [GetHerHis] future physical strength and stamina.";;;;;;;;;;;x
EVTOPTAstrength_inheritance.0;May [GetSheHe] become as fit and vigorous as the heroes of old!;;;;;;;;;;;x
EVTDESCintelligence_inheritance.0;"As this child interacts with the world, you learn whether or not [GetSheHe] takes after [GetHerHis] parents in mental ability.";;;;;;;;;;;x
EVTOPTAintelligence_inheritance.0;Pray [GetSheHe] has learned from [GetHerHis] family even while in the womb;;;;;;;;;;;x
EVTDESC_FWWar_1;News arrives of a great threat - in the Stonelands, to the north of Cormyr, a sworn foe of the Obarskyr dynasty has been freed from her ancient prison. Once an elf named Lorelei Alavara, she has sworn vengeance against the Obarskyrs, and taken the form of a Red Dragon, Nalavarauthatoryl. Now she raises an army of goblins and orcs, with invasion likely only days away.;;;;;;;;;;;x
EVTOPTA_FWWar_1;This bodes ill for the kingdom...;;;;;;;;;;;x
