#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
###Nomadic Tribal Localization###;;;;;;;;;;;;x
nomadic_tribal_government;Nomadic Tribe;;;;;;;;;;;;;x
nomadic_tribal_government_desc;The nomadic tribes of Toril lead very different lives from one another, but due to the harsh and unforgiving natures of their lot tend to turn to violence more readily compared to sedentary peoples. The tribal holdings of nomads are closer to outposts and stockpiles than settlements, but are no less important.;;;;;;;;;;;;;x
nomadic_tribal_government_FEATURES;§Y*§! Fairly weak rulers can §YPrepare Invasions§!\n§Y*§! Bigger demesne, smaller vassal limits;;;;;;;;;;;;;x
gov_nomadic_clan;Nomadic Clan;;;;;;;;;;;x
fr_nomad_conquerer_modifier;Nomad Conquerer;;;;;;;;;;;x
fr_nomad_conquerer_modifier_desc;A conquering nomad. No one is pleased about their presence save their own.;;;;;;;;;;;x
mob_troops;Mob;;;;;;;;;;;x
mob_troops_offensive;Mob Offensive;;;;;;;;;;;x
mob_troops_defensive;Mob Defensive;;;;;;;;;;;x
mob_troops_morale;Mob Morale;;;;;;;;;;;x
mob_troops_modifier;Combat Modifier boost to Mob: $PERC$;;;;;;;;;;;x
NOMAD_MOB_1;Horde Mob;;;;;;;;;;;x
convert_to_nomadic_tribe;Adopt Nomadism;;;;;;;;;;;x
convert_to_nomadic_tribe_desc;Abandon your steadings and embrace a life of marauding and warfare.;;;;;;;;;;;x
nomadtribalmaintNAME.8;A New Warlord Arises;;;;;;;;;;;x
nomadtribalmaintdesc.8;[FromFrom.GetTitledName] has decided to abandon their sedentary lifestyle and take to the wilds, seeking to emulate the great [FromFrom.Culture.GetName] warlords of eras past with [FromFrom.GetHerHis] followers.\n\n The prospect of a life of war has alienated many of their subjects, triggering a wave of emigration and losing a great deal of warriors in the process. Despite this, the promise of loot and glory has attracted adventurers, mercenaries and worse around the region to [FromFrom.GetHerHis] banner, more than making up for their losses.\n\n This momentous decision has secured [FromFrom.GetHerHis] place in history, but it remain to be seen if they will be remembered as an exemplar...or a warning against hubris.;;;;;;;;;;;;;x
nomadtribalmaintdesc.9;With the death of [FromFrom.GetTitledFirstName], [FromFrom.PrimaryTitle.GetName] has been thrown into disarray. Many call for me to continue in the [FromFrom.Culture.GetName] ways as my [FromFrom.GetRootRelation] had intended but I am not so sure.;La mort [FromFrom.Get_du_TitledFirstName] a tourment?E[Root.PrimaryTitle.Get_le_Realm]. Nombreux sont ceux ?Eme demander de maintenir la tradition [FromFrom.Culture.GetName] comme m[FromFrom.GetOnA] [FromFrom.GetRootRelation] en avait l'intention.;Mit dem Tod von [FromFrom.GetTitledFirstName] ist [FromFrom.PrimaryTitle.GetName] in Unordnung verfallen. Viele bitten uns darum, den [FromFrom.Culture.GetName]en Weg fortzuf?Eren, wie m[FromFrom.Geteineine] [FromFrom.GetRootRelation] beabsichtigt hatte, aber ich bin mir nicht sicher.;;[FromFrom.PrimaryTitle.GetName] ha caú?o en la confusión con la muerte de [FromFrom.GetTitledFirstName]. Muchos me apremian a continuar el modo de actuar [FromFrom.Culture.GetName], tal como querú} mi [FromFrom.GetRootRelation], pero no estoy tan seguro.;;;;;;;x
nomadtribalmaintdesc.9b;No. The time of [FromFrom.PrimaryTitle.GetName] ended with my [FromFrom.GetRootRelation].;Non. L'époque [Root.PrimaryTitle.Get_du_Realm] a pris fin en m?me temps que m[FromFrom.GetOnA] [FromFrom.GetRootRelation].;Nein. Die Zeit von [FromFrom.PrimaryTitle.GetName] endete mit m[FromFrom.Geteinemeiner] [FromFrom.GetRootRelation];;No. El tiempo de [FromFrom.PrimaryTitle.GetName] termin?Econ mi [FromFrom.GetRootRelation].;;;;;;;x
tb_nomadtribal;Nomadic Tribe;;;;;;;;;;;x
tb_nomadtribal_desc;These hardy nomads live and die by their horsemanship and skill at arms.;;;;;;;;;;;x
tb_hordetribal;Nomadic Horde;;;;;;;;;;;x
tb_hordetribal_desc;The essence of a Horde is its numbers and persistence.;;;;;;;;;;;x
tb_nomad_ranch_1;Livestock Herds;;;;;;;;;;;x
tb_nomad_ranch_2;Livestock Herds;;;;;;;;;;;x
tb_nomad_ranch_3;Livestock Herds;;;;;;;;;;;x
tb_nomad_ranch_4;Livestock Herds;;;;;;;;;;;x
tb_nomad_ranch_desc;Even the hardiest of nomad clans cannot survive off the land alone. Herds of livestock provide a stable source of nourishment and comfort to the uncertainty of nomadic life.;;;;;;;;;;;x
tb_horde_fort_1;Horde Stronghold;;;;;;;;;;;x
tb_horde_fort_2;Horde Stronghold;;;;;;;;;;;x
tb_horde_fort_3;Horde Stronghold;;;;;;;;;;;x
tb_horde_fort_4;Mighty Horde Stronghold;;;;;;;;;;;x
tb_horde_fort_1_desc;The primary purpose of a horde's stronghold is not defense, but as a rallying symbol to attract more warriors.;;;;;;;;;;;x
tb_horde_fort_2_desc;A horde's stronghold is commonly repurposed fortifications built by a defeated foe.;;;;;;;;;;;x
tb_horde_fort_3_desc;This stronghold has seen some refurbishment, reflecting the might of the horde that controls it.;;;;;;;;;;;x
tb_horde_fort_4_desc;This mighty stronghold is the pride of any horde.;;;;;;;;;;;x
tb_the_mob_1;Mob Manor;;;;;;;;;;;x
tb_the_mob_2;Mob Manor;;;;;;;;;;;x
tb_the_mob_3;Mob Manor;;;;;;;;;;;x
