#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
EVTDESCPDH1;In a testament to the harmony of [Root.GetName] a distinct population of Half-orcs has emerged!;;;;;;;;;;;x
EVTDESCPDH2;In a testament to the harmony of [Root.GetName] a distinct population of Gray Half-orcs has emerged!;;;;;;;;;;;x
EVTDESCPDH3;In a testament to the harmony of [Root.GetName] a distinct population of Crinti has emerged!;;;;;;;;;;;x
EVTDESCPDH4;In a testament to the harmony of [Root.GetName] a distinct population of Sun Half-elves has emerged!;;;;;;;;;;;x
EVTDESCPDH5;In a testament to the harmony of [Root.GetName] a distinct population of Moon Half-elves has emerged!;;;;;;;;;;;x
EVTDESCPDH6;In a testament to the harmony of [Root.GetName] a distinct population of Wood Half-elves has emerged!;;;;;;;;;;;x
EVTDESCPDH7;In a testament to the harmony of [Root.GetName] a distinct population of Green Half-elves has emerged!;;;;;;;;;;;x
EVTDESCPDH8;In a testament to the harmony of [Root.GetName] a distinct population of Half-ogres has emerged!;;;;;;;;;;;x
EVTDESCPDH9;In a testament to the harmony of [Root.GetName] a distinct population of Ogrillons has emerged!;;;;;;;;;;;x
EVTDESCPDH10;In a testament to the harmony of [Root.GetName] a distinct population of Half-dwarves has emerged!;;;;;;;;;;;x
EVTDESCPDH11;In a testament to the harmony of [Root.GetName] a distinct population of Half-gnolls has emerged!;;;;;;;;;;;x
EVTDESCPDH12;In a testament to the harmony of [Root.GetName] a distinct population of Half-giants has emerged!;;;;;;;;;;;x
EVTDESCPDH13;In a testament to the harmony of [Root.GetName] a distinct population of Ondonti Half-orcs has emerged!;;;;;;;;;;;x
EVTDESCPDH14;In a testament to the harmony of [Root.GetName] a distinct population of Half-orogs has emerged!;;;;;;;;;;;x
EVTDESCPDH15;In a testament to the harmony of [Root.GetName] a distinct population of Dark Half-elves has emerged!;;;;;;;;;;;x
EVTDESCPDH16;In a testament to the harmony of [Root.GetName] a distinct population of Tieflings has emerged!;;;;;;;;;;;x
