#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
allow_pillaging;Allow pillaging;;;;;;;;;;;x
allow_pillaging_desc;Allow members of the realm to freely pillage settlements.;;;;;;;;;;;x
forbid_pillaging;Forbid pillaging;;;;;;;;;;;x
forbid_pillaging_desc;Forbid members of the realm from pillaging settlements.;;;;;;;;;;;x
gnome_big;Gnome (Significant);;;;;;;;;;;x
gnome_small;Gnome (Minority);;;;;;;;;;;x
svirfneblin_big;Svirfneblin (Significant);;;;;;;;;;;x
svirfneblin_small;Svirfneblin (Minority);;;;;;;;;;;x
norsedwarf_big;Arctic Dwarf (Significant);;;;;;;;;;;x
norsedwarf_small;Arctic Dwarf (Minority);;;;;;;;;;;x
dwarf_big;Shield Dwarf (Significant);;;;;;;;;;;x
dwarf_small;Shield Dwarf (Minority);;;;;;;;;;;x
duergar_big;Duergar (Significant);;;;;;;;;;;x
duergar_small;Duergar (Minority);;;;;;;;;;;x
derro_big;Derro (Significant);;;;;;;;;;;x
derro_small;Derro (Minority);;;;;;;;;;;x
korpokkur_big;Korpokkur (Significant);;;;;;;;;;;x
korpokkur_small;Korpokkur (Minority);;;;;;;;;;;x
golddwarf_big;Gold Dwarf (Significant);;;;;;;;;;;x
golddwarf_small;Gold Dwarf (Minority);;;;;;;;;;;x
wilddwarf_big;Wild Dwarf (Significant);;;;;;;;;;;x
wilddwarf_small;Wild Dwarf (Minority);;;;;;;;;;;x
drow_big;Udadrow Drow (Significant);;;;;;;;;;;x
drow_small;Udadrow Drow (Minority);;;;;;;;;;;x
lorendrow_big;Lorendrow Drow (Significant);;;;;;;;;;;x
lorendrow_small;Lorendrow Drow (Minority);;;;;;;;;;;x
crinti_big;Crinti (Significant);;;;;;;;;;;x
crinti_small;Crinti (Minority);;;;;;;;;;;x
greenelf_big;Green Elf (Significant);;;;;;;;;;;x
greenelf_small;Green Elf (Minority);;;;;;;;;;;x
moonelf_big;Moon Elf (Significant);;;;;;;;;;;x
moonelf_small;Moon Elf (Minority);;;;;;;;;;;x
sunelf_big;Sun Elf (Significant);;;;;;;;;;;x
sunelf_small;Sun Elf (Minority);;;;;;;;;;;x
feyri_big;Fey'ri (Significant);;;;;;;;;;;x
feyri_small;Fey'ri (Minority);;;;;;;;;;;x
woodelf_big;Wood Elf (Significant);;;;;;;;;;;x
woodelf_small;Wood Elf (Minority);;;;;;;;;;;x
darkelf_big;Dark Elf (Significant);;;;;;;;;;;x
darkelf_small;Dark Elf (Minority);;;;;;;;;;;x
eladrin_big;Eladrin (Significant);;;;;;;;;;;x
eladrin_small;Eladrin (Minority);;;;;;;;;;;x
maviddi_big;Maviddi (Significant);;;;;;;;;;;x
maviddi_small;Maviddi (Minority);;;;;;;;;;;x
chultan_big;Chultan (Significant);;;;;;;;;;;x
chultan_small;Chultan (Minority);;;;;;;;;;;x
thinguth_big;Thinguth (Significant);;;;;;;;;;;x
thinguth_small;Thinguth (Minority);;;;;;;;;;;x
akotan_big;Akotan (Significant);;;;;;;;;;;x
akotan_small;Akotan (Minority);;;;;;;;;;;x
seng_big;Seng (Significant);;;;;;;;;;;x
seng_small;Seng (Minority);;;;;;;;;;;x
kuong_big;Kuong (Significant);;;;;;;;;;;x
kuong_small;Kuong (Minority);;;;;;;;;;;x
purang_big;Purang (Significant);;;;;;;;;;;x
purang_small;Purang (Minority);;;;;;;;;;;x
seaelf_big;Sea Elf (Significant);;;;;;;;;;;x
seaelf_small;Sea Elf (Minority);;;;;;;;;;;x
snowelf_big;Snow Elf (Significant);;;;;;;;;;;x
snowelf_small;Snow Elf (Minority);;;;;;;;;;;x
avariel_big;Avariel (Significant);;;;;;;;;;;x
avariel_small;Avariel (Minority);;;;;;;;;;;x
lightfoot_big;Lightfoot Halfling (Significant);;;;;;;;;;;x
lightfoot_small;Lightfoot Halfling (Minority);;;;;;;;;;;x
strongheart_big;Strongheart Halfling (Significant);;;;;;;;;;;x
strongheart_small;Strongheart Halfling (Minority);;;;;;;;;;;x
ghostwise_big;Ghostwise Halfling (Significant);;;;;;;;;;;x
ghostwise_small;Ghostwise Halfling (Minority);;;;;;;;;;;x
shu_big;Shu (Significant);;;;;;;;;;;x
shu_small;Shu (Minority);;;;;;;;;;;x
mountainorc_big;Mountain Orc (Significant);;;;;;;;;;;x
mountainorc_small;Mountain Orc (Minority);;;;;;;;;;;x
grayorc_big;Gray Orc (Significant);;;;;;;;;;;x
