#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
WAR_HELP_OFFERS.hire_them;Hire them!;;;;;;;;;;;x
WAR_HELP_OFFERS.no_need;We do not need them.;;;;;;;;;;;x
WAR_HELP_OFFERS.3.desc;A foreign warband of hobgoblins has crossed into your territory, but surprisingly they haven't yet attacked your people. Your advisors believe the warband could be convinced to join your war, for the right price.;;;;;;;;;;;x
WAR_HELP_OFFERS.4.desc;As war rages, some in your court have recommended arming a force of slaves. They won't be the best fighters, but it would be a quick way to amass fresh bodies for the slaughter.;;;;;;;;;;;x
WAR_HELP_OFFERS.5.desc;A cleric of Ilneval has arrived, offering their services. The War Maker smiles upon our horde, and offers his support.;;;;;;;;;;;x
WAR_HELP_OFFERS.5.a;Marshal more troops for the fight.;;;;;;;;;;;x
WAR_HELP_OFFERS.5.b;Unleash the fury of our warriors!;;;;;;;;;;;x
WAR_HELP_OFFERS.6.desc;A retired adventurer and true believer in your cause has approached your court to offer their services. With all their years of experience they would be a capable military commander.;;;;;;;;;;;x
WAR_HELP_OFFERS.6.a;[adventurer_volunteer.GetFullName] will be an inspiration to our troops!;;;;;;;;;;;x
blessed_by_ilneval;Blessed by Ilneval;;;;;;;;;;;x
;;;;;;;;;;;;x
###Magic Apprentice###;;;;;;;;;;;;x
EVTDESC_FMU_0002;Your apprentice has shown the basics of magical training, learning enough not to kill themselves, hopefully. But there's many professions in the magical world, and setting them down this path will likely lose them for decades, if not centuries.;;;;;;;;;;;x
EVTOPTA_FMU_0002;No! Immortality and power is mine alone!;;;;;;;;;;;x
EVTOPTB_FMU_0002;From lonely tree, to mountain tops, we defend.;;;;;;;;;;;x
EVTOPTC_FMU_0002;Knowlegdge is power, strength of will to wield it.;;;;;;;;;;;x
EVTOPTD_FMU_0002;In faith, we conquer all.;;;;;;;;;;;x
EVTOPTE_FMU_0002;There are many powerful beings lurking beyond the Material plane...;;;;;;;;;;;x
;;;;;;;;;;;;x
###Robber Baron###;;;;;;;;;;;;x
EVTDESC_FRE_0001;My lord, it would seem your robber knights have elected amongst themselves a Baron, and now this warrior has come to your court seeking employment under your banner. What shall we do with this ruffian?;;;;;;;;;;;x
EVTOPTA_FRE_0001;I have just the job in mind...;;;;;;;;;;;x
EVTOPTB_FRE_0001;A jumped up bandit? Call for my guards.;;;;;;;;;;;x
;;;;;;;;;;;;x
###Reigned too long###;;;;;;;;;;;;x
EVTDESC_FCE_0001;I have reigned for long enough that my rulership is starting to be taken for granted. Some of my vassals have come to chafe at the lack of advancement opportunities in the realm and will likely make trouble if they remain in power.;;;;;;;;;;;x
EVTOPTA_FCE_0001;Worrying to have such conspirators amongst the vassals.;;;;;;;;;;;x
EVTOPTB_FCE_0001;My most loyal subject, perish these thoughts of sedition and discourse...;;;;;;;;;;;x
EVTOPTC_FCE_0001;Have you forgotten why I have ruled this long?;;;;;;;;;;;x
EVTOPTD_FCE_0001;Vile snake, you question my authority?;;;;;;;;;;;x
EVTOPTE_FCE_0001;You know what, I'm tired, and you're right. Farewell, I'm leaving.;;;;;;;;;;;x
placeholdername_44;My scheming vassals, certain that they will never get to taste real power under my rule, are definitely plotting my demise. For the sake of my long reign they must be stamped out, root and branch.;;;;;;;;;;;;;x
;;;;;;;;;;;;x
