rollofyears_desc.1;It is the Year of [GetYearName].;;;;;;;;;;;x
DR1;Sunrise;;;;;;;;;;;x
DR2;the Smiling Hag;;;;;;;;;;;x
DR3;the Faded Flower;;;;;;;;;;;x
DR4;the Slaked Blade;;;;;;;;;;;x
DR5;the Clutched Emerald;;;;;;;;;;;x
DR6;the Firestars;;;;;;;;;;;x
DR7;the Vampire's Sun;;;;;;;;;;;x
DR8;Spellspheres;;;;;;;;;;;x
DR9;the Falling Wall;;;;;;;;;;;x
DR10;Dreams;;;;;;;;;;;x
DR11;the Mellifluent Sphinx;;;;;;;;;;;x
DR12;Wistful Looks;;;;;;;;;;;x
DR13;the Sweet Songs;;;;;;;;;;;x
DR14;the Unknown Beloved;;;;;;;;;;;x
DR15;Glittering Glory;;;;;;;;;;;x
DR16;Distant Thunder;;;;;;;;;;;x
DR17;Crashing Glee;;;;;;;;;;;x
DR18;the Lasting Wonders;;;;;;;;;;;x
DR19;the Blessed Beast;;;;;;;;;;;x
DR20;the Fallen Fury;;;;;;;;;;;x
DR21;Lamenting;;;;;;;;;;;x
DR22;the Empty Fist;;;;;;;;;;;x
DR23;Falling Arrows;;;;;;;;;;;x
DR24;the Evasive Hare;;;;;;;;;;;x
DR25;Many Runes;;;;;;;;;;;x
DR26;Opening Doors;;;;;;;;;;;x
DR27;Shadowed Blades;;;;;;;;;;;x
DR28;the Barren Fields;;;;;;;;;;;x
DR29;the Carved Cliffs;;;;;;;;;;;x
DR30;the Crushed Monument;;;;;;;;;;;x
DR31;the Garrulous Gargoyle;;;;;;;;;;;x
DR32;Errant Arrows;;;;;;;;;;;x
DR33;Slowing Sands;;;;;;;;;;;x
DR34;Purloined Power;;;;;;;;;;;x
DR35;Scaled Lightning;;;;;;;;;;;x
DR36;Consuming Ice;;;;;;;;;;;x
DR37;Dark Venom;;;;;;;;;;;x
DR38;Verdant Pain;;;;;;;;;;;x
DR39;Proud Flame;;;;;;;;;;;x
DR40;the Gaunt Wolf;;;;;;;;;;;x
DR41;the Branded Lily;;;;;;;;;;;x
DR42;the Charging Cavalry;;;;;;;;;;;x
DR43;Frostbrands;;;;;;;;;;;x
DR44;the Vow Manifest;;;;;;;;;;;x
DR45;the Torpid Arms;;;;;;;;;;;x
DR46;the Hidden Fortress;;;;;;;;;;;x
DR47;the Crystal Orb;;;;;;;;;;;x
DR48;the Bloodied Pikes;;;;;;;;;;;x
DR49;the Deadly Joust;;;;;;;;;;;x
DR50;the Barbed Wind;;;;;;;;;;;x
DR51;the Red Pearls;;;;;;;;;;;x
DR52;the Thundering Horde;;;;;;;;;;;x
DR53;the Desert Kingdoms;;;;;;;;;;;x
DR54;the Forlon Prince;;;;;;;;;;;x
DR55;the Caustic Blood;;;;;;;;;;;x
DR56;the Laughing Nightmare;;;;;;;;;;;x
DR57;Lamplit Nights;;;;;;;;;;;x
DR58;the Dazzling Dolphins;;;;;;;;;;;x
DR59;the Tangled Threads;;;;;;;;;;;x
DR60;the Pirate's Lost Eye;;;;;;;;;;;x
DR61;the Branded mage;;;;;;;;;;;x
DR62;the Lonely Daughters;;;;;;;;;;;x
DR63;the Winsome Trio;;;;;;;;;;;x
DR64;the Boisterous Orc;;;;;;;;;;;x
DR65;the Foaming Wave;;;;;;;;;;;x
DR66;the Spellbound Heir;;;;;;;;;;;x
DR67;the Redolent Innkeepr;;;;;;;;;;;x
DR68;the Echoing Chasm;;;;;;;;;;;x
DR69;the Lit Pathway;;;;;;;;;;;x
DR70;the Mournful Dance;;;;;;;;;;;x
DR71;the Entwined Sculpture;;;;;;;;;;;x
DR72;the Climber's Rest;;;;;;;;;;;x
DR73;Wise Counsel;;;;;;;;;;;x
DR74;the Fearful Mercenary;;;;;;;;;;;x
