patron_tyr;[Root.TyrLocAdj];;;;;;;;;;;x
patron_tyr_desc;[Root.TyrLoc] is the deity of law and justice and part of the group of deities known as the Triad. He appeared as an one-handed warrior and, after the Time of Troubles, blind as well. [Root.TyrLoc] was strong-spirited and noble and saw himself as a fatherly figure trying to create an utopian society on Toril. To outsiders, however, he often seems like a stern and harsh punisher.\n\n§RRival Deities§!: Bane, Iyachtu Xvim, [Root.BhaalLoc], Mask, Talona, [Root.TalosLoc], Fzoul Chembryl, Bazim-Gorag\n§RRival Religions§!: Cyricist, Infernal, Uthgardt, Faithless, Entropist, Abyssal\n\n§MDecisions:§! Resplendence of Renewed Youth;;;;;;;;;;;x
TyrGHP;Tyr;;;;;;;;;;;x
TyrGHPAdj;Tyrran;;;;;;;;;;;x
TyrCal;Anachtyr;;;;;;;;;;;x
TyrCalAdj;Anachtyrran;;;;;;;;;;;x
patron_selune;[Root.SeluneLocAdj];;;;;;;;;;;x
patron_selune_desc;[Root.SeluneLoc] is one of the oldest deities on Toril and is the goddess of the moon, stars, navigation, wanderers and non-evil lycanthropes. She is the eternal enemy of her sister Shar and the phases of the moon reflect this conflict. The highest principle amongst [Root.SeluneLocAdj]s is that of tolerance, followed by equality, acceptance and understanding.\n\n§RRival Deities§!: Shar, Mask, Umberlee, Moander, [Root.TalosLoc], [Root.GaragosLoc], Bazim-Gorag, Kossuth, Istishia, [Root.AkadiLoc], [Root.GrumbarLoc], Lolth\n§RRival Religions§!: Faceless, Nogari, Jaziri, Kossuthan, Geomantic, Lolthite, Infernal, Faithless, Abyssal, Entropist, Thasmudyanic\n\n§MDecisions:§! Sky Burial;;;;;;;;;;;x
SeluneGHP;Selûne;;;;;;;;;;;x
SeluneGHPAdj;Selûnite;;;;;;;;;;;x
SeluneBedine;Elah;;;;;;;;;;;x
SeluneBedineAdj;Elahnite;;;;;;;;;;;x
SeluneDurpar;Lucha;;;;;;;;;;;x
SeluneDurparAdj;Luchanite;;;;;;;;;;;x
SeluneZakh;Selan;;;;;;;;;;;x
SeluneZakhAdj;Selanite;;;;;;;;;;;x
patron_azuth;Azuthan;;;;;;;;;;;x
patron_azuth_desc;Azuth is a deity of magic as a craft, and its perpetuation. The Lord of Spells was once a mortal who ascended into divinity, though there is little record on his life before becoming a god.\n\n§RRival Religions§!: Cyricist, Abyssal, Faithless, Entropist, Azure\n\n§MDecisions:§! Hold a Magical Symposium;;;;;;;;;;;x
AzuthFR;Azuth;;;;;;;;;;;x
patron_bane;Banite;;;;;;;;;;;x
patron_bane_desc;Bane is the evil and malicious god of fear, hatred and tyrany. He rarely appears directly, instead utilizing his worshippers and agents to fulfill his goal: utter control of Faerûn. Bane's faith is highly hierarchical and intolerant of insubordination.\n\n§RRival Deities§!: [Root.TyrLoc], Torm, [Root.MystraLoc], [Root.TempusLoc], Helm, Lathander, [Root.OghmaLoc], [Root.IlmaterLoc], [Root.ChaunteaLoc], Eldath, Liira, Deneir, Tymora, [Root.AmaunatorLoc], Gargauth, Savras, Siamorphe, [Root.TiamatLoc], Hanali Celanil, Arvoreen, Yondalla\n§RRival Religions§!: Cyricist, Chauntean, Infernal, Abyssal, Faithless, Entropist\n\n§MDecisions:§! Undeath After Death;;;;;;;;;;;x
BaneFR;Bane;;;;;;;;;;;x
patron_chauntea;[Root.ChaunteaLocAdj];;;;;;;;;;;x
patron_chauntea_desc;[Root.ChaunteaLoc] is one of the oldest deities in the Realms, with some claiming her to be the avatar of Abeir-Toril itself. She is the goddess of life and agriculture. Her followers are greatly involved in the working of the land, and are greatly respected by the peasantry.\n\n§RRival Deities§!: [Root.AurilLoc], [Root.MalarLoc], [Root.TalosLoc], Umberlee, Bane, Fzoul Chembryl, Iyachtu Xvim, Talona, Moander, [Root.BhaalLoc], [Root.MyrkulLoc], Kossuth, Bazim-Gorag\n§RRival Religions§!:Kossuthan, Infernal, Abyssal, Faithless, Entropist\n\n§MSettlement Decisions:§! Favor of the Goddess;;;;;;;;;;;x
ChaunteaGHP;Chauntea;;;;;;;;;;;x
ChaunteaGHPAdj;Chauntean;;;;;;;;;;;x
ChaunteaRash;Bhalla;;;;;;;;;;;x
ChaunteaRashAdj;Bhallan;;;;;;;;;;;x
ChaunteaNeth;Jannath;;;;;;;;;;;x
ChaunteaNethAdj;Jannathan;;;;;;;;;;;x
ChaunteaUlu;Pahluruk;;;;;;;;;;;x
ChaunteaUluAdj;Pahlurukan;;;;;;;;;;;x
patron_eilistraee;Eilistraeean;;;;;;;;;;;x
patron_eilistraee_desc;Eilistraee, the Dark Maiden, is a drow goddess of beauty, song, dance, freedom, moonlight, swordwork and hunting. She is a staunch enemy of her mother, Lolth, and an occasional enemy of her brother Vhaeraun. Her main concerns are freeing drow from the tyranny of her mother and teaching them to live in harmony with surface peoples.\n\n§RRival Deities§!: [Root.TalosLoc], [Root.MalarLoc], Lolth\n§RRival Religions§!: Lolthite, Vhaeraunan, Kiaransaleen, Infernal, Abyssal, Ocular, Ilsensinian, [Root.GhaunadaurLocAdj] Ladugueran, Faithless, Entropist;;;;;;;;;;;x
EilistraeeFR;Eilistraee;;;;;;;;;;;x
patron_gond;[Root.GondLocAdj];;;;;;;;;;;x
