#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
#Make sure that this file in encoded in ANSI
heralds;Heralds of Faerûn;;;;;;;;;;;x
heralds_desc;The Heralds of Faerûn are a quasi-independent group of historians and heraldists that take on the responsibility of recording the coats of arms, flags, standards, shields, badges, mottoes, symbols, and sigils of the nobility of Faerûn. Over the years, they also became the foremost authority on courtly courtesy, inheritance, precedence, genealogy, correct armature, and general history. Their impartiality and neutrality earned them the respect of nearly every nation, kingdom, city-state, mercenary company, clan, and tribe in civilized Faerûn.;;;;;;;;;;;x
#
heralds_leader_desc;Throughout the history of the Heralds, the office of Unicorn was considered the highest rank and had veto power.;;;;;;;;;;;x
#
heralds_rank_1_female;Court Herald;;;;;;;;;;;x
heralds_rank_2_female;Regional Herald;;;;;;;;;;;x
heralds_rank_3_female;Herald Pursuivant;;;;;;;;;;;x
heralds_rank_4_female;High Herald;;;;;;;;;;;x
heralds_rank_1_male;Court Herald;;;;;;;;;;;x
heralds_rank_2_male;Regional Herald;;;;;;;;;;;x
heralds_rank_3_male;Herald Pursuivant;;;;;;;;;;;x
heralds_rank_4_male;High Herald;;;;;;;;;;;x
#
currency_name_heralds;Respect;;;;;;;;;;;x
#
request_to_rank_up_within_heralds;Request to rank up.;;;;;;;;;;;x
#
#This event is for joining;;;;;;;;;;;;x
EVTDESC_HERA_102;As an Herald, you'll be expected to catalogue and preserve heraldic devices, lore and etiquette. You'll collect the names, titles, genealogies, and historical claims of faerunian nobility, for the sake preserving of history and help in the arbitration of disputes.;;;;;;;;;;;x
EVTOPTA_HERA_102;A crucial task, no doubt.;;;;;;;;;;;x
EVTOPTB_HERA_102;I'm not sure yet.;;;;;;;;;;;x
#
heralds_tt_rank1;Court Heralds serve and represent their sovereign while trying to uphold the ideals of the Heralds.;;;;;;;;;;;x
#
heralds_tt_rank2;Regional Heralds are scattered across Faerûn, usually based in cities, and each is responsible for their city and likely the surrounding countryside as well.;;;;;;;;;;;x
#
heralds_tt_rank3;Herald Pursuivants serve as personal assistants to, or itinerant representatives of, the High Heralds, traveling wherever they are needed to assert authority, deliver messages, or conduct secret or sensitive Herald business.;;;;;;;;;;;x
#
heralds_tt_rank4;High Heralds debate among themselves and vote on official matters. Each High Herald has an "office" that has a unique appellation they use instead of their real name when performing Herald duties.;;;;;;;;;;;x
#
invite_to_party_power_desc;Invite one or more characters to a private feast.;;;;;;;;;;;x
#
#Delve into heraldry
delve_into_heraldry;Delve Into Heraldry;;;;;;;;;;;x
delve_into_heraldry_desc;As a member of the Heralds, you can study the coats of arms, flags, standards, shields, badges, mottoes, symbols, and sigils of the nobility of Faerûn.;;;;;;;;;;;x
delve_into_heraldry_power_desc;Study the Heralds' recorded lore on the nobility of Faerûn.;;;;;;;;;;;x
#Expert Writer Passive Power
expert_writer;Expert Writer;;;;;;;;;;;x
expert_writer_power_desc;All Heralds are at least decent writers, and often employ professional scribes and researchers. When you use the Compose a Book decision, you'll finish the book quicker then normal, and lack of inspiration won't affect you as long.;;;;;;;;;;;x
#Masterful Fabrication Passive Power
faster_fabrication;Masterful Fabrication;;;;;;;;;;;x
faster_fabrication_power_desc;Heralds are not supposed to pursue power, but their profound knowledge of history and genealogies makes it easy for them to craft very convincing documents, should the need arise.;;;;;;;;;;;x
#
#start delving
EVTDESC_HERA_200;The Heralds have massive amounts of historic lore, collected all over Faerun, and carefully preserved in majestic libraries. You now have the unique chance to study that lore.;;;;;;;;;;;x
EVTOPTA_HERA_200;A great opportunity.;;;;;;;;;;;x
#
#random delving
EVTDESC_HERA_201;You've been studying old history books and genealogies lost to time for months. Your Herald colleagues have been a great help in your research, but you're feeling a bit tired. Is it time to take a break from your studies?;;;;;;;;;;;x
EVTOPTA_HERA_201;No, I want to press on.;;;;;;;;;;;x
EVTOPTB_HERA_201;Yes, I need a break.;;;;;;;;;;;x
#
heraldic_knowledge;Heraldic Knowledge;;;;;;;;;;;x
heraldic_knowledge_desc;This character has been studying the Heralds' lore.;;;;;;;;;;;x
#
#Write about a ruler
write_about_ruler;Write About a Ruler;;;;;;;;;;;x
write_about_ruler_desc;As a member of the Heralds, your word on the noble families of Faerun carries some weight. You can praise, defame or simply publish your research on a ruler of your choice.;;;;;;;;;;;x
write_about_ruler_power_desc;Enables right clicking the portraits of other rulers in order to praise, defame or simply publish your research on them.;;;;;;;;;;;x
#
EVTDESC_HERA_300;You've decided to invest time and effort writing about [writing_target.GetTitledFirstName]. Will you be impartial and only write about objective facts, or will you try to sway public opinion one way or the other?;;;;;;;;;;;x
EVTOPTA_HERA_300;[writing_target.GetTitledFirstName] deserves some praise.;;;;;;;;;;;x
EVTOPTB_HERA_300;I'm going to be utterly vicious.;;;;;;;;;;;x
EVTOPTC_HERA_300;I'll be impartial in my writings.;;;;;;;;;;;x
EVTTOOLTIP_HERA.301;successful praise.;;;;;;;;;;;x
EVTTOOLTIP_HERA.302;failed praise.;;;;;;;;;;;x
EVTTOOLTIP_HERA.303;successful defamation.;;;;;;;;;;;x
EVTTOOLTIP_HERA.304;failed defamation.;;;;;;;;;;;x
EVTTOOLTIP_HERA.305;accurate research.;;;;;;;;;;;x
EVTTOOLTIP_HERA.306;inaccurate research.;;;;;;;;;;;x
#
#Good praise
EVTDESC_HERA_301;Your writings on [writing_target.GetTitledFirstName] have definitely reached their goal: [writing_target.GetTitledFirstName] is now regarded as a wise and respected ruler, and is fully aware that you are to be thanked for that.;;;;;;;;;;;x
EVTOPTA_HERA_301;You're welcome.;;;;;;;;;;;x
#Failed praise
EVTDESC_HERA_302;Unfortunately, your writings on [writing_target.GetTitledFirstName] have been widely considered to be nothing more than disingenuous flattery. Both your reputation and your target's have suffered as a result. [writing_target.GetTitledFirstName] is not amused.;;;;;;;;;;;x
EVTOPTA_HERA_302;That's not good...;;;;;;;;;;;x
#successful defamation
EVTDESC_HERA_303;Your writings on [writing_target.GetTitledFirstName] have definitely reached their goal: [writing_target.GetTitledFirstName] is now looked upon as a troubled and incompetent ruler, and is fully aware that you are to be blamed for that..;;;;;;;;;;;x
EVTOPTA_HERA_303;Haha, take that!.;;;;;;;;;;;x
#failed defamation
EVTDESC_HERA_304;Unfortunately, your writings on [writing_target.GetTitledFirstName] have been widely considered to be nothing more than overblown vitriol. [writing_target.GetTitledFirstName] is now regarded as a stern and pragmatic ruler, while your own reputation has suffered.;;;;;;;;;;;x
EVTOPTA_HERA_304;No! Damn it!;;;;;;;;;;;x
#good research
EVTDESC_HERA_305;Your writings on [writing_target.GetTitledFirstName] have been widely considered to be measured, informative and well-researched. [writing_target.GetTitledFirstName] is pleased, and your own reputation has greatly improved.;;;;;;;;;;;x
