#
# Death domain gods
#

cl_amaunator;Amaunator;;;;;;;;;;;;;x
cl_bhaal;Bhaal;;;;;;;;;;;;;x
cl_greatmother;Great Mother;;;;;;;;;;;;;x
cl_grolantor;Grolantor;;;;;;;;;;;;;x
cl_jergal;Jergal;;;;;;;;;;;;;x
cl_kelemvor;Kelemvor;;;;;;;;;;;;;x
cl_laduguer;Laduguer;;;;;;;;;;;;;x
cl_laogzed;Laogzed;;;;;;;;;;;;;x
cl_loviatar;Loviatar;;;;;;;;;;;;;x
cl_memnor;Memnor;;;;;;;;;;;;;x
cl_myrkul;Myrkul;;;;;;;;;;;;;x
cl_null;Null;;;;;;;;;;;;;x
cl_ravenqueen;Raven Queen;;;;;;;;;;;;;x
cl_shar;Shar;;;;;;;;;;;;;x
cl_talona;Talona;;;;;;;;;;;;;x
cl_urogalan;Urugalan;;;;;;;;;;;;;x
cl_vecna;Vecna;;;;;;;;;;;;;x
cl_velsharoon;Velsharoon;;;;;;;;;;;;;x
cl_yurtrus;Yurtrus;;;;;;;;;;;;;x


#
# Nature domain gods
#

cl_auril;Auril;;;;;;;;;;;;;x
cr_deepsashelas;Deep Sashelas;;;;;;;;;;;;;x
cl_marthammor;Marthammor Duin;;;;;;;;;;;;;x
cl_eadro;Eadro;;;;;;;;;;;;;x
cr_eilistraee;Eilistraee;;;;;;;;;;;;;x
cl_eldrath;Eldath;;;;;;;;;;;;;x
cl_malar;Malar;;;;;;;;;;;;;x
cl_osiris;Osiris;;;;;;;;;;;;;x
cl_sheela;Sheela Peryroyl;;;;;;;;;;;;;x
cl_silvanus;Sylvanus;;;;;;;;;;;;;x
cl_skerrit;Skerrit;;;;;;;;;;;;;x
cl_tarsellis;Tarsellis Meunniduin;;;;;;;;;;;;;x
cl_gwaeron;Gwaeron Windstrom;;;;;;;;;;;;;x
