#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
is_member_of_any_monastic_order_tt;Is member of a monastic order;;;;;;;x
############
# SUN SOUL #
############
monastic_order_sun_soul;Order of the Sun Soul;;;;;;;;;;;x
monastic_order_sun_soul_desc;The Sun Soul monks follow a monastic tradition that they believe has its roots in the ancient empire of Netheril. In their philosophy, living things harbor a fragment of the sun's mystic essence within them. Just as the body has a shadow, so too does the spirit have a light. To get in touch with their internal light, Sun Soul monks follow a strict code of ascetic conduct called the Precepts of Incandescence: to seek physical perfection, to seek spiritual virtue, to shine light into darkness.;;;;;;;;;;;x
#
monastic_order_sun_soul_leader_desc;Each Abbot and Abbess are the head of their own monastery.;;;;;;;;;;;x
#
monastic_order_sun_soul_rank_1_female;Novice;;;;;;;;;;;x
monastic_order_sun_soul_rank_2_female;Sister;;;;;;;;;;;x
monastic_order_sun_soul_rank_3_female;Prioress;;;;;;;;;;;x
monastic_order_sun_soul_rank_4_female;Abbess;;;;;;;;;;;x
monastic_order_sun_soul_rank_1_male;Novice;;;;;;;;;;;x
monastic_order_sun_soul_rank_2_male;Brother;;;;;;;;;;;x
monastic_order_sun_soul_rank_3_male;Prior;;;;;;;;;;;x
monastic_order_sun_soul_rank_4_male;Abbot;;;;;;;;;;;x
#
currency_name_monastic_order_sun_soul;Inner Power;;;;;;;;;;;x
#
monastic_order_sun_soul_tt_rank1;Novices are the newest members of the order. They most likely have much to learn.;;;;;;;;;;;x
#
monastic_order_sun_soul_tt_rank2;Brothers and Sisters are the regular members of the order.;;;;;;;;;;;x
#
monastic_order_sun_soul_tt_rank3;Priors and Prioresses are a monastic superior, lower in rank than an Abbot.;;;;;;;;;;;x
#
monastic_order_sun_soul_tt_rank4;Each Abbot and Abbess are the head of their own monastery.;;;;;;;;;;;x
#
monastic_orders_soul_purity;Monastic Discipline;;;;;;;;;;;x
monastic_orders_soul_purity_power_desc;By completing missions and rising through the ranks of the order, you'll gradually gain traits that are associated to the order's ethos.;;;;;;;;;;;x
#
monastic_orders_perfect_self;Perfect Self;;;;;;;;;;;x
monastic_orders_perfect_self_desc;By training along the masters of your monastic order, you'll gradually push yourself towards peak performance of body and mind. Characters with levels in the monk class might reach better results.;;;;;;;;;;;x
monastic_orders_perfect_self_power_desc;Enables a decision in the §YIntrigue§! menu, allowing you to train along the masters of your monastic order.;;;;;;;;;;;x
#
EVTDESC_MNM_4900;Perfection manifests in many different ways. You learned that you should strive to keep your body and belongings clean and beautiful.;;;;;;;;;;;x
EVTDESC_MNM_4901;The masters of the order have had enough with your lack of grooming and personal hygiene. They are making sure you take care of yourself, or else!;;;;;;;;;;;x
EVTDESC_MNM_4902;No body is perfect without a honed mind at the helm. Countless hours of meditation in extreme conditions are bestowing great mental clarity upon you.;;;;;;;;;;;x
EVTDESC_MNM_4903;Using your brain is such a strenuous activity for you, that you often end up acting without thinking. The masters of the order are having none of that, and are forcing you to learn some mental discipline.;;;;;;;;;;;x
#
vassalize_sun_soul;Vassalize the Sun Soul;;;;;;;;;;;x
