#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
war_mammoths;War Mammoths;;;;;;;;;;;;;x
war_mammoths_offensive;War Mammoths Offensive;;;;;;;;;;;;;x
war_mammoths_defensive;War Mammoths Defensive;;;;;;;;;;;;;x
war_mammoths_morale;War Mammoths Morale;;;;;;;;;;;;;x
war_mammoths_modifier;Combat Modifier boost to War Mammoth troops: $PERC$;;;;;;;;;;;;;x
beast_troops;Bestial Allies;;;;;;;;;;;;;x
beast_troops_offensive;Bestial Allied Offensive;;;;;;;;;;;;;x
beast_troops_defensive;Bestial Allied Defensive;;;;;;;;;;;;;x
beast_troops_morale;Bestial Allies Morale;;;;;;;;;;;;;x
beast_troops_modifier;Combat Modifier boost to Bestial Allies: $PERC$;;;;;;;;;;;;;x
