#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
cls_wizard_title;Level up as a Wizard;;;;;;;;;;;x
cls_wizard_desc;Study magical theory and practice to enhance your own magical prowess;;;;;;;;;;;x
cls_bard_title;Level up as a Bard;;;;;;;;;;;x
cls_bard_desc;Practice the expressive arts to improve your skills as an arcane performer;;;;;;;;;;;x
cls_warlock_title;Level up as a Warlock;;;;;;;;;;;x
cls_warlock_desc;Improve your connection with your patron and the power they offer you;;;;;;;;;;;x
cls_sorcerer_title;Level up as a Sorcerer;;;;;;;;;;;x
cls_sorcerer_desc;Train your willpower and develop your innate magical ability pertaining to your bloodline;;;;;;;;;;;x
cls_paladin_title;Level up as a Paladin;;;;;;;;;;;x
cls_paladin_desc;Train your body and hammer in your oath onto your soul;;;;;;;;;;;x
cls_cleric_title;Level up as a Cleric;;;;;;;;;;;x
cls_cleric_desc;Develop your understanding of your faith and the power it lends you;;;;;;;;;;;x
cls_druid_title;Level up as a Druid;;;;;;;;;;;x
cls_druid_desc;Improve your relationship with nature and the power it grants you;;;;;;;;;;;x
cls_fighter_title;Level up as a Fighter;;;;;;;;;;;x
cls_fighter_desc;Train your body and develop powerful fighting techniques;;;;;;;;;;;x
cls_barbarian_title;Level up as a Barbarian;;;;;;;;;;;x
cls_barbarian_desc;Feed your rage and fight more fiercly than ever before;;;;;;;;;;;x
cls_ranger_title;Level up as a Ranger;;;;;;;;;;;x
cls_ranger_desc;Explore the land and gain strength from understanding it;;;;;;;;;;;x
cls_monk_title;Level up as a Monk;;;;;;;;;;;x
cls_monk_desc;Train in the martial arts and perfect your body, mind, and soul;;;;;;;;;;;x
cls_assassin_title;Level up as a Assassin;;;;;;;;;;;x
cls_assassin_desc;Learn how to more effectively kill;;;;;;;;;;;x
cls_rogue_title;Level up as a Rogue;;;;;;;;;;;x
cls_rogue_desc;Develop your skills in lying, stealing, and sneaking;;;;;;;;;;;x
cls_shadow_title;Level up as a Shadow;;;;;;;;;;;x
cls_shadow_desc;Learn how to more effectively hide;;;;;;;;;;;x
