patrons_fae_dof;Choose a patron deity;;;;;;;;;;;;;x
patrons_fae_dof_desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_DOF.1.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_DOF.1.a;[Root.TalosLoc], god of storms and destruction.;;;;;;;;;;;;;x
PATRONS_FAE_DOF.1.b;Auril, goddess of cold and winter.;;;;;;;;;;;;;x
PATRONS_FAE_DOF.1.c;[Root.MalarLoc], god of hunting and evil lycanthropes.;;;;;;;;;;;;;x
PATRONS_FAE_DOF.1.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_DOF.2.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_DOF.2.a;Umberlee, goddess of sea and waves.;;;;;;;;;;;;;x
PATRONS_FAE_DOF.2.b;[Root.TempusLoc], god of battles and war.;;;;;;;;;;;;;x
PATRONS_FAE_DOF.2.c;[Root.GaragosLoc], god of violence and slaughter.;;;;;;;;;;;;;x
PATRONS_FAE_DOF.2.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_DOF.3.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_DOF.3.a;Velsharoon, god of necromancy and undeath.;;;;;;;;;;;;;x
PATRONS_FAE_DOF.3.b;There are others...;;;;;;;;;;;;;x
