patrons_fae_dragon;Choose a patron deity;;;;;;;;;;;;;x
patrons_fae_dragon_desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_DRAGON.1.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_DRAGON.1.a;Asgorath, god and primordial who created dragons;;;;;;;;;;;;;x
PATRONS_FAE_DRAGON.1.b;Zorquan, god of "dragonness".;;;;;;;;;;;;;x
PATRONS_FAE_DRAGON.1.c;Astilabor, goddess of acquisitiveness and wealth.;;;;;;;;;;;;;x
PATRONS_FAE_DRAGON.1.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_DRAGON.2.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_DRAGON.2.a;Bahamut, god of honour and valour.;;;;;;;;;;;;;x
PATRONS_FAE_DRAGON.2.b;Tiamat, goddess of vengeance and domination.;;;;;;;;;;;;;x
PATRONS_FAE_DRAGON.2.c;Sardior, god of neutrality and psionics.;;;;;;;;;;;;;x
PATRONS_FAE_DRAGON.2.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_DRAGON.3.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_DRAGON.3.a;Hlal, goddess of humour and inventiveness.;;;;;;;;;;;;;x
PATRONS_FAE_DRAGON.3.b;Lendys, god of justice.;;;;;;;;;;;;;x
PATRONS_FAE_DRAGON.3.c;Tamara, goddess of mercy and healing.;;;;;;;;;;;;;x
PATRONS_FAE_DRAGON.3.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_DRAGON.4.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_DRAGON.4.a;Garyx, god of fire and destruction.;;;;;;;;;;;;;x
PATRONS_FAE_DRAGON.4.b;Kereska, goddess of magic.;;;;;;;;;;;;;x
PATRONS_FAE_DRAGON.4.c;Null, god of death.;;;;;;;;;;;;;x
PATRONS_FAE_DRAGON.4.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_DRAGON.5.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_DRAGON.5.a;Task, god of greed.;;;;;;;;;;;;;x
PATRONS_FAE_DRAGON.5.b;There are others...;;;;;;;;;;;;;x
