patrons_fae_drow;Choose a patron deity;;;;;;;;;;;;;x
patrons_fae_drow_desc;Although the people of the Underdark honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_DROW.1.desc;Although the people of the Underdark honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_DROW.1.a;Eilistraee, goddes of dance, freedom and hunting.;;;;;;;;;;;;;x
PATRONS_FAE_DROW.1.b;Vhaeraun, god of thieves, arrogance and shadows.;;;;;;;;;;;;;x
PATRONS_FAE_DROW.1.c;Ghaunandaur, god of oozes and rebels.;;;;;;;;;;;;;x
PATRONS_FAE_DROW.1.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_DROW.2.desc;Although the people of the Underdark honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_DROW.2.a;Kiaransalee, goddes of necromancy and vengeance.;;;;;;;;;;;;;x
PATRONS_FAE_DROW.2.b;Selvetarm, god of warriors and slaughter.;;;;;;;;;;;;;x
PATRONS_FAE_DROW.2.c;Zinzerena, goddess of assassins and lies.;;;;;;;;;;;;;x
PATRONS_FAE_DROW.2.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_DROW.3.desc;Although the people of the Underdark honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_DROW.3.a;Malyk, god of wild magic.;;;;;;;;;;;;;x
PATRONS_FAE_DROW.3.b;There are others...;;;;;;;;;;;;;x
