patrons_fae_dwarf;Choose a patron deity;;;;;;;;;;;;;x
patrons_fae_dwarf_desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_DWARF.1.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_DWARF.1.a;Moradin, god of dwarves, crafts and creation.;;;;;;;;;;;;;x
PATRONS_FAE_DWARF.1.b;Berronar Truesilver, goddess of the hearth and home.;;;;;;;;;;;;;x
PATRONS_FAE_DWARF.1.c;Dumathoin, god of mining, gems and shield dwarves.;;;;;;;;;;;;;x
PATRONS_FAE_DWARF.1.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_DWARF.2.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_DWARF.2.a;Clangeddin Silverbeard, god of valor and honor.;;;;;;;;;;;;;x
PATRONS_FAE_DWARF.2.b;Gorm Gulthyn, god of defense and vigilance.;;;;;;;;;;;;;x
PATRONS_FAE_DWARF.2.c;Haela Brightaxe, goddes of luck and battle.;;;;;;;;;;;;;x
PATRONS_FAE_DWARF.2.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_DWARF.3.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_DWARF.3.a;Dugmaren Brightmantle, god of scholarship and invention.;;;;;;;;;;;;;x
PATRONS_FAE_DWARF.3.b;Marthammor Duin, god of wanderers.;;;;;;;;;;;;;x
PATRONS_FAE_DWARF.3.c;Vergadain, god of trade and negotiation.;;;;;;;;;;;;;x
PATRONS_FAE_DWARF.3.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_DWARF.4.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_DWARF.4.a;Sharindlar, goddes of fertility and healing.;;;;;;;;;;;;;x
PATRONS_FAE_DWARF.4.b;Abbathor, god of greed.;;;;;;;;;;;;;x
PATRONS_FAE_DWARF.4.c;There are others...;;;;;;;;;;;;;x
