patrons_fae_ehp;Choose a patron deity;;;;;;;;;;;;;x
patrons_fae_ehp_desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.1.desc;Maybe I should choose a deity whose nature and special areas of concern are fitting to my position and governance.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.1.a;One of the gods of rulership and domination.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.1.b;One of the gods of the natural world of Toril.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.1.c;One of the gods of violence and combat.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.2.desc;Maybe I should choose a deity who sponsors an activity which is close to my heart.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.2.a;One of the gods of magic and sorcery.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.2.b;One of the gods of knowledge and invention.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.2.c;One of the gods of society and its activities.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.2.d;A god with a different sort of portfolio...;;;;;;;;;;;;;x
PATRONS_FAE_EHP.3.desc;Maybe I should choose a deity who will guide me through the unexpected and difficult parts of life.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.3.a;One of the gods of darkness and concealment.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.3.b;One of the gods of death and the dead.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.3.c;A god with a different sort of portfolio...;;;;;;;;;;;;;x
PATRONS_FAE_EHP.4.desc;Choosing a god of rulership will show that I am meant to be in charge.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.4.a;Lord Bane, god of tyranny, fear and hatred.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.4.b;Hoar, god of retribution and poetic justice.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.4.c;Loviatar, goddess of pain and torture.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.4.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_EHP.5.desc;A lesser-known god of rulership might reflect my ambitions better.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.5.a;Siamorphe, goddess of nobles and royalty.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.5.b;Tiamat, goddess of chromatic dragons and greed.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.5.c;Gargauth, the exiled archdevil.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.5.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_EHP.6.desc;A lesser-known god of rulership might reflect my ambitions better.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.5.a;Iyacthu Xvim the Baneson, god of tyranny and hatred.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.5.b;Amaunator, god of law and bureaucracy.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.6.c;Perhaps a different kind of deity after all...;;;;;;;;;;;;;x
PATRONS_FAE_EHP.7.desc;Choosing a god of nature will show my concern for the lands I govern.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.7.a;Kossuth, primordial of fire.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.7.b;Silvanus, god of the wilderness.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.7.c;Umberlee, goddess of the wrathful sea.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.7.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_EHP.8.desc;Maybe a more specialised nature deity would suit me.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.8.a;Akadi, primordial of air.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.8.b;Grumbar, primordial of earth.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.8.c;Istishia, primordial of water.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.8.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_EHP.9.desc;Maybe a more specialised nature deity would suit me.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.9.a;Talona, goddess of disease and epidemics.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.9.b;Geb, god of mines and miners.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.9.c;Sebek, god of crocodiles and rivers.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.9.d;Perhaps a different kind of deity after all...;;;;;;;;;;;;;x
PATRONS_FAE_EHP.10.desc;Choosing a god of conflict will show the strength with which I mean to rule.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.10.a;Tempus, Lord of Battles, chief god of war.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.10.b;Red Knight, mistress of strategy.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.10.c;Garagos, god of slaughter.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.10.d;Perhaps a different kind of deity after all...;;;;;;;;;;;;;x
PATRONS_FAE_EHP.11.desc;Dedicating myself to a god of magic will show my respect for the True Art.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.11.a;[Root.MystraLoc], personification of the Weave, goddess of all magic.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.11.b;Azuth, god of wizards and spellcraft.;;;;;;;;;;;;;x
PATRONS_FAE_EHP.11.c;Leira, goddess of illusion and mystery.;;;;;;;;;;;;;x
