patrons_fae_elven;Choose a patron deity;;;;;;;;;;;;;x
patrons_fae_elven_desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_ELF.1.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_ELF.1.a;Corellon Larethian, god of elves, magic and warfare.;;;;;;;;;;;;;x
PATRONS_FAE_ELF.1.b;Sehanine Moonbow, goddess of the moon and death.;;;;;;;;;;;;;x
PATRONS_FAE_ELF.1.c;Hanali Celanil, goddes of love and beauty.;;;;;;;;;;;;;x
PATRONS_FAE_ELF.1.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_ELF.2.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_ELF.2.a;Labelas Enoreth, god of time and history.;;;;;;;;;;;;;x
PATRONS_FAE_ELF.2.b;Rillifane Rallathil, god of nature and woodlands.;;;;;;;;;;;;;x
PATRONS_FAE_ELF.2.c;Fenmarel Mestarine, god of outcasts and isolation.;;;;;;;;;;;;;x
PATRONS_FAE_ELF.2.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_ELF.3.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_ELF.3.a;Aerdrie Faenya, goddess of wind and weather.;;;;;;;;;;;;;x
PATRONS_FAE_ELF.3.b;Shevarash, god of vengeance and loss.;;;;;;;;;;;;;x
PATRONS_FAE_ELF.3.c;Solonor Thelandira, god of hunting and archery.;;;;;;;;;;;;;x
PATRONS_FAE_ELF.3.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_ELF.4.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_ELF.4.a;[Root.MielikkiLoc], goddess of forest creatures and rangers.;;;;;;;;;;;;;x
PATRONS_FAE_ELF.4.b;[Root.LurueLoc], goddess of unicorns and pegasi.;;;;;;;;;;;;;x
PATRONS_FAE_ELF.4.c;There are others...;;;;;;;;;;;;;x
