patrons_fae_gnome;Choose a patron deity;;;;;;;;;;;;;x
patrons_fae_gnome_desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_GNOME.1.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_GNOME.1.a;Garl Glittergold, god of gnomes, luck and humour.;;;;;;;;;;;;;x
PATRONS_FAE_GNOME.1.b;Segojan Earthcaller, god of death and earth.;;;;;;;;;;;;;x
PATRONS_FAE_GNOME.1.c;Flandal Steelskin, god of smithing and metalworking.;;;;;;;;;;;;;x
PATRONS_FAE_GNOME.1.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_GNOME.2.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_GNOME.2.a;Baervan Wildwanderer, god of nature and travel.;;;;;;;;;;;;;x
PATRONS_FAE_GNOME.2.b;Baravar Cloakshadow, god of illusion and deception.;;;;;;;;;;;;;x
PATRONS_FAE_GNOME.2.c;Gaerdal Ironhand, god of vigilance and defense.;;;;;;;;;;;;;x
PATRONS_FAE_GNOME.2.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_GNOME.3.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_GNOME.3.a;Nebelun, god of invention and construction.;;;;;;;;;;;;;x
PATRONS_FAE_GNOME.3.b;Urdlen, god of bloodlust and hatred.;;;;;;;;;;;;;x
PATRONS_FAE_GNOME.3.c;There are others...;;;;;;;;;;;;;x
