patrons_fae_halfling;Choose a patron deity;;;;;;;;;;;;;x
patrons_fae_halfling_desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_HALF.1.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_HALF.1.a;Yondalla, goddess of protection and halflings.;;;;;;;;;;;;;x
PATRONS_FAE_HALF.1.b;Sheela Peryryol, goddess of agriculture and love.;;;;;;;;;;;;;x
PATRONS_FAE_HALF.1.c;Urogalan, god of death and earth.;;;;;;;;;;;;;x
PATRONS_FAE_HALF.1.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_HALF.2.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_HALF.2.a;Arvoreen, god of defense and vigilance.;;;;;;;;;;;;;x
PATRONS_FAE_HALF.2.b;Brandobaris, god of curiosity and thievery.;;;;;;;;;;;;;x
PATRONS_FAE_HALF.2.b;Cyrrollalee, goddess of friendship and hospitality.;;;;;;;;;;;;;x
PATRONS_FAE_HALF.2.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_HALF.3.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_HALF.3.a;Tymora, goddess of luck and fortune.;;;;;;;;;;;;;x
PATRONS_FAE_HALF.3.b;There are others...;;;;;;;;;;;;;x
