patrons_fae_mul;Choose a patron deity;;;;;;;;;;;;;x
patrons_fae_mul_desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_MUL.1.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_MUL.1.a;[Root.HorusReLoc], god of the sun and rulership.;;;;;;;;;;;;;x
PATRONS_FAE_MUL.1.b;[Root.IsisLoc], goddess of agriculture and love.;;;;;;;;;;;;;x
PATRONS_FAE_MUL.1.c;[Root.OsirisLoc], god of death and justice.;;;;;;;;;;;;;x
PATRONS_FAE_MUL.1.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_MUL.2.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_MUL.2.a;[Root.AnhurLoc], god of war and conflict.;;;;;;;;;;;;;x
PATRONS_FAE_MUL.2.b;[Root.SharessLoc], goddess of hedonism and cats.;;;;;;;;;;;;;x
PATRONS_FAE_MUL.2.c;[Root.VergadainLoc], god luck and cleverness.;;;;;;;;;;;;;x
PATRONS_FAE_MUL.2.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_MUL.3.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_MUL.3.a;[Root.GebLoc], god of earth and minerals.;;;;;;;;;;;;;x
PATRONS_FAE_MUL.3.b;[Root.HathorLoc], goddess of fertility and motherhood.;;;;;;;;;;;;;x
PATRONS_FAE_MUL.3.c;[Root.NephthysLoc], goddes of commerce and wealth.;;;;;;;;;;;;;x
PATRONS_FAE_MUL.3.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_MUL.4.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_MUL.4.a;[Root.ThothLoc], god of knowledge and magic.;;;;;;;;;;;;;x
PATRONS_FAE_MUL.4.b;[Root.SetLoc], god of drought and destruction.;;;;;;;;;;;;;x
PATRONS_FAE_MUL.4.c;[Root.SebekLoc], god of rivers and crocodiles.;;;;;;;;;;;;;x
PATRONS_FAE_MUL.4.d;There are others...;;;;;;;;;;;;;x
