patrons_fae_neth;Choose a patron deity;;;;;;;;;;;;;x
patrons_fae_neth_desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_NETH.1.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_NETH.1.a;Mystryl, goddess of magic, knowledge and the Weaver;;;;;;;;;;;;;x
PATRONS_FAE_NETH.1.b;Amaunator, god of law and the sun.;;;;;;;;;;;;;x
PATRONS_FAE_NETH.1.c;Shar, goddess of darkness and the night.;;;;;;;;;;;;;x
PATRONS_FAE_NETH.1.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_NETH.2.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_NETH.2.a;Jannath, goddess of agriculture and life.;;;;;;;;;;;;;x
PATRONS_FAE_NETH.2.b;[Root.SeluneLoc], goddess of the moon, love and navigation.;;;;;;;;;;;;;x
PATRONS_FAE_NETH.2.c;Jergal, god of death, murder and strife.;;;;;;;;;;;;;x
PATRONS_FAE_NETH.2.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_NETH.3.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_NETH.3.a;Kozah, god of storms and destruction.;;;;;;;;;;;;;x
PATRONS_FAE_NETH.3.b;Tyche, goddess of luck, chance and accidents.;;;;;;;;;;;;;x
PATRONS_FAE_NETH.3.c;Targus, god of war and violence.;;;;;;;;;;;;;x
PATRONS_FAE_NETH.3.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_NETH.4.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_NETH.4.a;Moander, god of rot and decay.;;;;;;;;;;;;;x
PATRONS_FAE_NETH.4.b;There are others...;;;;;;;;;;;;;x
