patrons_fae_tuigan;Choose a patron deity;;;;;;;;;;;;;x
patrons_fae_tuigan_desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_TUI.1.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_TUI.1.a;[Root.AkadiLoc], primordial of air.;;;;;;;;;;;;;x
PATRONS_FAE_TUI.1.b;[Root.GrumbarLoc], primordial of earth.;;;;;;;;;;;;;x
PATRONS_FAE_TUI.1.c;[Root.MalarLoc], god of hunting and evil lycanthropes.;;;;;;;;;;;;;x
PATRONS_FAE_TUI.1.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_TUI.2.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_TUI.2.a;Eldath, goddess of peace and lakes.;;;;;;;;;;;;;x
PATRONS_FAE_TUI.2.b;[Root.SeluneLoc], goddess of the moon and good lycanthropes.;;;;;;;;;;;;;x
PATRONS_FAE_TUI.2.c;There are others...;;;;;;;;;;;;;x
