patrons_fae_ulutiu;Choose a patron deity;;;;;;;;;;;;;x
patrons_fae_ulutiu_desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_ULU.1.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_GNOME.1.a;Ulutiu, god of glaciers and artic dwellers.;;;;;;;;;;;;;x
PATRONS_FAE_GNOME.1.b;[Root.ChaunteaLoc], goddess of life and farming.;;;;;;;;;;;;;x
PATRONS_FAE_GNOME.1.c;[Root.IlmaterLoc], god of endurance and suffering.;;;;;;;;;;;;;x
PATRONS_FAE_GNOME.1.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_GNOME.2.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_GNOME.2.a;[Root.MalarLoc], god of hunting and lycanthropes.;;;;;;;;;;;;;x
PATRONS_FAE_GNOME.2.b;[Root.AurilLoc], goddess of ice and winter.;;;;;;;;;;;;;x
PATRONS_FAE_GNOME.2.c;There are others...;;;;;;;;;;;;;x
