patrons_fae_unth;Choose a patron deity;;;;;;;;;;;;;x
patrons_fae_unth_desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_UNTH.1.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_UNTH.1.a;Gilgeam, god of strength and Unther.;;;;;;;;;;;;;x
PATRONS_FAE_UNTH.1.b;Tiamat, goddess of evil dragons and greed.;;;;;;;;;;;;;x
PATRONS_FAE_UNTH.1.c;Bahamut, god of good dragons and wisdom.;;;;;;;;;;;;;x
PATRONS_FAE_UNTH.1.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_UNTH.2.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_UNTH.2.a;[Root.HoarLoc], god of vengeance and retribution.;;;;;;;;;;;;;x
PATRONS_FAE_UNTH.2.b;[Root.AnhurLoc], god of duty and vigilance.;;;;;;;;;;;;;x
PATRONS_FAE_UNTH.2.b;[Root.IsisLoc], goddess of love and war.;;;;;;;;;;;;;x
PATRONS_FAE_UNTH.2.c;There are others...;;;;;;;;;;;;;x
