patrons_fae_yuir;Choose a patron deity;;;;;;;;;;;;;x
patrons_fae_yuir_desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_YUIR.1.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_GNOME.1.a;Elikarashae, goddess of hunting and survival.;;;;;;;;;;;;;x
PATRONS_FAE_GNOME.1.b;Relkath, god of forests and chaos.;;;;;;;;;;;;;x
PATRONS_FAE_GNOME.1.c;Simbul, goddess of fate.;;;;;;;;;;;;;x
PATRONS_FAE_GNOME.1.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_GNOME.2.desc;Although the people of Faerûn honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_GNOME.2.a;Zandilar, goddess of love, joy and tragedy.;;;;;;;;;;;;;x
PATRONS_FAE_GNOME.2.b;There are others...;;;;;;;;;;;;;x
