patrons_fae_zakhara;Choose a patron deity;;;;;;;;;;;;;x
patrons_fae_zakhara_desc;Although the people of Zakhara honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_ZAKH.1.desc;Although the people of Zakhara honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_ZAKH.1.a;Hajama, god of bravery;;;;;;;;;;;;;x
PATRONS_FAE_ZAKH.1.b;Hakiyah, goddess of honesty and truth.;;;;;;;;;;;;;x
PATRONS_FAE_ZAKH.1.c;Haku, god of freedom.;;;;;;;;;;;;;x
PATRONS_FAE_ZAKH.1.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_ZAKH.1.f;Kor, god of wisdom.;;;;;;;;;;;;;x
PATRONS_FAE_ZAKH.1.g;Najm, god of adventure.;;;;;;;;;;;;;x
PATRONS_FAE_ZAKH.2.desc;Although the people of Zakhara honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_ZAKH.2.a;Jisan, goddess of fertility and productivity.;;;;;;;;;;;;;x
PATRONS_FAE_ZAKH.2.b;Kor, god of wisdom.;;;;;;;;;;;;;x
PATRONS_FAE_ZAKH.2.c;Najm, god of adventure.;;;;;;;;;;;;;x
PATRONS_FAE_ZAKH.2.d;There are others...;;;;;;;;;;;;;x
PATRONS_FAE_ZAKH.2.e;Jauhar, goddes of wealth.;;;;;;;;;;;;;x
PATRONS_FAE_ZAKH.3.desc;Although the people of Zakhara honour many gods, you may choose to devote yourself to one of them in particular.;;;;;;;;;;;;;x
PATRONS_FAE_ZAKH.3.a;Selan, goddess of beauty.;;;;;;;;;;;;;x
PATRONS_FAE_ZAKH.3.b;Zann, god of knowledge and intellect.;;;;;;;;;;;;;x
PATRONS_FAE_ZAKH.3.c;There are others...;;;;;;;;;;;;;x
