#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
alert_casus_belli_will_expire_instant;§YTemporary Casus belli against:§!;§YCasus belli temporaire contre : §!;§YTemporärer Kriegsgrund gegen:§!;§YCasus belli§!;§YCasus belli temporal contra§!;;;;;;;x
alert_casus_belli_will_expire_delayed;$LIST$.;$LIST$.;$LIST$.;$LIST$.;$LIST$.;;;;;;;x
alert_build_province_improvement_instant;§YYou can build county improvements!§!;§YVous pouvez procéder à des améliorations comtales !§!;§YIhr könnt Provinzverbesserungen bauen!§!;§YMo¿esz budowaæ ulepszenia w prowincji!§!;§YPodéis construir mejoras de la provincia§!;;;;;;;x
alert_build_province_improvement_delayed;$LIST$;$LIST$;$LIST$;$LIST$;$LIST$;;;;;;;x
alert_troops_in_foreign_territory_instant;§YYou have troops in foreign territory.§!;§YVous avez des troupes à l'étranger.§!;§YIhr habt Truppen auf fremdem Territorium.§!;§YMasz oddzia³y na terytorium obcego pañstwa.§!;§YTenéis tropas en territorio extranjero.§!;;;;;;;x
alert_troops_in_foreign_territory_delayed;In $LIST$.;En $LIST$.;In $LIST$.;W $LIST$.;En $LIST$.;;;;;;;x
alert_revoltrisk_in_provinces_instant;§YRevolts Possible§!;§YRévoltes possibles§!;§YRevolten möglich§!;§YMo¿liwoœæ buntu§!;§YPosibles rebeliones§!;;;;;;;x
alert_revoltrisk_in_provinces_delayed;The following counties run a risk of having a revolt:\n$LIST$;Les comtés suivants courent un risque de révolte.\n$LIST$.;In folgenden Provinzen gibt es die Gefahr einer Rebellion:\n$LIST$ ;Nastêpuj¹ce prowincje s¹ zagro¿one buntem.\n$LIST$;Las siguientes provincias corren el riego de sufrir una rebelión.\n$LIST$;;;;;;;x
alert_noheir_delayed;If your ruler dies now the game will end!;Si votre personnage mourait maintenant, la partie prendrait fin !;Wenn Euer Herrscher jetzt stirbt, endet das Spiel!;;¡Si tu gobernante muere ahora terminará la partida!;;;;;;;x
alert_court_not_filled_instant;§YOpen Council Positions§!;§YPostes vacants au Conseil§!;§YOffene Ratspositionen§!;;§YPuestos en el consejo§!;;;;;;;x
alert_court_not_filled_delayed;The following spots need to be filled:\n$LIST$\n§GClick to go to Court View§!;Les postes suivants doivent être occupés : \n$LIST$\n§GCliquez pour accéder à la vue Cour.§!;Folgende Posten müssen besetzt werden:\n$LIST$\n§GKlickt zum Aufruf der Hofansicht§!;;Deben cubrirse las siguientes posiciones:\n$LIST$\n§GClic para ir a vista de corte§!;;;;;;;x
alert_lose_title_on_succ_instant;§YTitle Loss on Succession§!;§YPerte de titre lors de la succession§!;§YTitelverlust bei Nachfolge§!;;§YPérdida de títulos en la sucesión§!;;;;;;;x
alert_lose_title_on_succ_delayed;The following titles will be lost on succession:\n$LIST$;Les titres suivants seront perdus lors de la succession : \n$LIST$;Folgende Titel gehen bei Nachfolge verloren:\n$LIST$;;Se perderán los siguientes títulos en la sucesión:\n$LIST$;;;;;;;x
alert_should_nominate_heir_instant;§YSuccessor Nomination§!;§YNomination d'un successeur§!;§YNachfolgernominierung§!;;§YDesignación de sucesores§!;;;;;;;x
alert_should_nominate_heir_delayed;You should nominate successors for these titles:\n$LIST$;Vous devriez nommer des successeurs pour les titres suivants : \n$LIST$;Ihr solltet für diese Titel Nachfolger nominieren:\n$LIST$;;Deberías nombrar sucesores para estos títulos:\n$LIST$;;;;;;;x
alert_you_can_create_titles_instant;§Y$NUM$ Title(s) can be Created§!;§YTitres pouvant être créés ($NUM$)§!;§YTitel können erstellt werden: $NUM$§!;;§YPueden crearse $NUM$ título(s)§!;;;;;;;x
alert_you_can_create_titles_delayed;The following titles can be created:\n$LIST$;Les titres suivants peuvent être créés : \n$LIST$;Folgende Titel können geschaffen werden:\n$LIST$;;Pueden crearse los siguientes títulos:\n$LIST$;;;;;;;x
alert_you_can_usurp_titles_instant;§Y$NUM$ Title(s) can be Usurped§!;§YTitres pouvant être usurpés ($NUM$)§!;§YTitel können übernommen werden: $NUM$§!;;§YPueden usurparse $NUM$ título(s)§!;;;;;;;x
alert_you_can_usurp_titles_delayed;The following titles can be usurped:\n$LIST$;Les titres suivants peuvent être usurpés : \n$LIST$;Folgende Titel können übernommen werden:\n$LIST$;;Pueden usurparse los siguientes títulos:\n$LIST$;;;;;;;x
alert_ruler_should_marry_instant;§YRuler Unmarried§!;§YDirigeant non marié§!;§YHerrscher ist unverheiratet§!;;§YGobernante soltero§!;;;;;;;x
alert_ruler_should_marry_delayed;You should get married\n§GClick to go to Character View§!;Vous devriez vous marier.\n§GCliquez pour accéder à la vue Personnage.§!;Ihr solltet heiraten\n§GKlickt zum Aufruf der Charakteransicht§!;;Deberías casarte\n§GClic para ir a vista de personajes§!;;;;;;;x
alert_heir_should_marry_instant;§YUnmarried Heir§!;§YHéritier non marié§!;§YUnverheirateter Erbe§!;;§YHeredero soltero§!;;;;;;;x
alert_heir_should_marry_delayed;$HEIR$ should get married\n§GClick to go to Character View§!;$HEIR$ devrait se marier.\n§GCliquez pour accéder à la vue Personnage.§!;$HEIR$ sollte heiraten\n§GKlickt zum Aufruf der Charakteransicht§!;;$HEIR$ debería casarse\n§GClic para ir a vista de personajes§!;;;;;;;x
alert_should_appoint_guardian_instant;§Y$NUM$ Children Lack a Guardian§!;§YEnfants sans tuteur ($NUM$)§!;§Y$NUM$ Kindern fehlt ein Vormund§!;;§YHay $NUM$ niños sin guardián§!;;;;;;;x
alert_should_appoint_guardian_delayed;The following children need a guardian:\n$LIST$;Les enfants suivants ont besoin d'un tuteur : \n$LIST$;Folgende Kinder benötigen einen Vormund:\n$LIST$;;Los siguientes niños necesitan un guardián:\n$LIST$;;;;;;;x
alert_adult_sons_notitle_instant;§YUnlanded Sons§!;§YFils sans terres§!;§YLandlose Söhne§!;;§YHijos sin tierra§!;;;;;;;x
alert_adult_sons_notitle_delayed;The following adult sons do not hold any land:\n$LIST$;Les fils adultes suivants n'ont pas de terres : \n$LIST$;Folgende erwachsene Söhne haben keinerlei Landbesitz:\n$LIST$;;Los siguientes hijos adultos no poseen ninguna tierra:\n$LIST$;;;;;;;x
alert_betrothed_should_marry_instant;§YBetrothed can Marry§!;§YLes fiancés peuvent se marier§!;§YVerlobte können heiraten§!;;§YLos prometidos pueden casarse§!;;;;;;;x
alert_betrothed_should_marry_delayed;The following betrothed characters can get married:\n$LIST$;Les fiancés suivants peuvent se marier : \n$LIST$;Folgende verlobte Charaktere können heiraten:\n$LIST$;;Los siguientes personajes prometidos pueden casarse:\n$LIST$;;;;;;;x
alert_can_imprison_instant;§YRighteous Imprisonment§!;§YEmprisonnement justifié§!;§YRechtmäßige Einkerkerung§!;;§YEncarcelamiento justo§!;;;;;;;x
alert_titles_may_pass_from_realm_instant;§YVassal Inheritance Warning§!;§YAvertissement sur la succession de certains vassaux§!;§YVasallen-Nachfolgewarnung§!;;§YAviso de herencia de vasallos§!;;;;;;;x
alert_titles_may_pass_from_realm_delayed;There are vassals with worrisome lines of succession.\nOn death, their titles might pass from your Realm:\n$LIST$;Les lignes de succession de certains vassaux sont préoccupantes.\nÀ leur mort, leurs titres risquent de quitter votre pays : \n$LIST$;Die Nachfolgesituation mancher Vasallen ist beunruhigend.\nNach ihrem Tod könnten ihre Titel aus Eurem Reich verschwinden:\n$LIST$;;Hay vasallos con inquietantes líneas de sucesión.\nA su muerte, sus títulos podrían salir de tu reino:\n$LIST$;;;;;;;x
alert_can_call_vassals_to_arms_instant;§YWe can call in vassals of our former liege§!;§YNous pouvons faire appel à des vassaux de notre ancien seigneur lige.§!;§YVasallen unseres ehemaligen Lehnsherrn können uns unterstützen§!;;§YPodemos convocar a los vasallos de nuestro antiguo señor§!;;;;;;;x
alert_can_call_vassals_to_arms_delayed;The following vassals can join our war against our former liege:\n$LIST$;Les vassaux suivants peuvent se joindre à notre guerre contre notre ancien seigneur lige : \n$LIST$;Folgende Vasallen können unserem Krieg gegen unseren ehemaligen Lehnsherrn beitreten:\n$LIST$;;Los siguientes vasallos pueden unirse a nuestra guerra contra nuestro antiguo señor:\n$LIST$;;;;;;;x
alert_available_decision_instant;§YNew Important Decisions are Available§!;§YDe nouvelles décisions importantes sont disponibles§!;§YNeue wichtige Entscheidungen verfügbar§!;;§YHay disponibles nuevas decisiones importantes§!;;;;;;;x
alert_available_decision_delayed;The following important Decisions are available:\n$LIST$;Les décisions importantes suivantes sont disponibles : \n$LIST$;Folgende wichtige Entscheidungen sind verfügbar:\n$LIST$;;Están disponibles las siguientes decisiones importantes:\n$LIST$;;;;;;;x
alert_available_plot_instant;§YNew Plots are Available§!;§YDe nouveaux complots sont disponibles.§!;§YNeue Verschwörungen verfügbar§!;;§YHay nuevos complots disponibles§!;;;;;;;x
alert_available_plot_delayed;The following Plots have become available:\n$LIST$;Les complots suivants sont désormais disponibles : \n$LIST$;Folgende Verschwörungen sind jetzt verfügbar:\n$LIST$;;Están disponibles los siguientes complots:\n$LIST$;;;;;;;x
ca_keep_1;Keep;Donjon;Bergfried;;Torreón;;;;;;;x
ca_keep_2;Keep;Donjon;Bergfried;;Torreón;;;;;;;x
ca_keep_3;Keep;Donjon;Bergfried;;Torreón;;;;;;;x
ca_keep_4;Keep;Donjon;Bergfried;;Torreón;;;;;;;x
ca_keep_5;Keep;Donjon;Bergfried;;Torreón;;;;;;;x
ca_keep_6;Keep;Donjon;Bergfried;;Torreón;;;;;;;x
ca_militia_barracks_1;Militia Training Ground;Camp de miliciens;Miliz-Übungsplatz;;Campo de entrenamiento de la milicia;;;;;;;x
ca_militia_barracks_2;Militia Training Ground;Camp de miliciens;Miliz-Übungsplatz;;Campo de entrenamiento de la milicia;;;;;;;x
ca_militia_barracks_3;Militia Training Ground;Camp de miliciens;Miliz-Übungsplatz;;Campo de entrenamiento de la milicia;;;;;;;x
ca_militia_barracks_4;Militia Training Ground;Camp de miliciens;Miliz-Übungsplatz;;Campo de entrenamiento de la milicia;;;;;;;x
ca_training_grounds_1;Training Grounds;Terrains d'entraînement;Übungsplätze;;Campo de entrenamiento;;;;;;;x
ca_training_grounds_2;Training Grounds;Terrains d'entraînement;Übungsplätze;;Campo de entrenamiento;;;;;;;x
ca_training_grounds_3;Training Grounds;Terrains d'entraînement;Übungsplätze;;Campo de entrenamiento;;;;;;;x
ca_warrior_cult;Warrior Cult;Culte du guerrier;Kriegerkult;;Culto guerrero;;;;;;;x
ca_culture_saxon_english_1;Longbow Range;Archerie d'arc long;Langbogen-Schießplatz;;Arquería de arco largo;;;;;;;x
ca_culture_saxon_english_2;Longbow Range;Archerie d'arc long;Langbogen-Schießplatz;;Arquería de arco largo;;;;;;;x
ca_culture_saxon_english_3;Longbow Range;Archerie d'arc long;Langbogen-Schießplatz;;Arquería de arco largo;;;;;;;x
ca_culture_saxon_english_4;Longbow Range;Archerie d'arc long;Langbogen-Schießplatz;;Arquería de arco largo;;;;;;;x
ca_culture_group_baltic_1;Warrior Gathering Ground;Lieu de rassemblement guerrier;Krieger-Sammelplatz;;Zona de reunión de guerreros;;;;;;;x
ca_culture_group_baltic_2;Warrior Gathering Ground;Lieu de rassemblement guerrier;Krieger-Sammelplatz;;Zona de reunión de guerreros;;;;;;;x
ca_culture_group_baltic_3;Warrior Gathering Ground;Lieu de rassemblement guerrier;Krieger-Sammelplatz;;Zona de reunión de guerreros;;;;;;;x
ca_culture_group_baltic_4;Warrior Gathering Ground;Lieu de rassemblement guerrier;Krieger-Sammelplatz;;Zona de reunión de guerreros;;;;;;;x
ca_culture_frank_norman_german_1;Jousting Lists;Lice de joutes;Turnierlisten;;Listas de justas;;;;;;;x
ca_culture_frank_norman_german_2;Jousting Lists;Lice de joutes;Turnierlisten;;Listas de justas;;;;;;;x
ca_culture_frank_norman_german_3;Jousting Lists;Lice de joutes;Turnierlisten;;Listas de justas;;;;;;;x
ca_culture_frank_norman_german_4;Jousting Lists;Lice de joutes;Turnierlisten;;Listas de justas;;;;;;;x
ca_culture_group_iberian_1;Caballero Training Ground;Camp de caballeros;Caballero-Übungsplatz;;Zona de entrenamiento de caballeros;;;;;;;x
ca_culture_group_iberian_2;Caballero Training Ground;Camp de caballeros;Caballero-Übungsplatz;;Zona de entrenamiento de caballeros;;;;;;;x
ca_culture_group_iberian_3;Caballero Training Ground;Camp de caballeros;Caballero-Übungsplatz;;Zona de entrenamiento de caballeros;;;;;;;x
ca_culture_group_iberian_4;Caballero Training Ground;Camp de caballeros;Caballero-Übungsplatz;;Zona de entrenamiento de caballeros;;;;;;;x
ca_culture_italian_1;Pike Training Ground;Camp de picchieri;Pikenier-Übungsplatz;;Zona de entrenamiento con lanza;;;;;;;x
ca_culture_italian_2;Pike Training Ground;Camp de picchieri;Pikenier-Übungsplatz;;Zona de entrenamiento con lanza;;;;;;;x
ca_culture_italian_3;Pike Training Ground;Camp de picchieri;Pikenier-Übungsplatz;;Zona de entrenamiento con lanza;;;;;;;x
ca_culture_italian_4;Pike Training Ground;Camp de picchieri;Pikenier-Übungsplatz;;Zona de entrenamiento con lanza;;;;;;;x
ca_culture_russian_1;Druzhina Training Ground;Garde des druzhinas;Druschina-Übungsplatz;;Zona de entrenamiento de tropas selectas;;;;;;;x
ca_culture_russian_2;Druzhina Training Ground;Garde des druzhinas;Druschina-Übungsplatz;;Zona de entrenamiento de tropas selectas;;;;;;;x
ca_culture_russian_3;Druzhina Training Ground;Garde des druzhinas;Druschina-Übungsplatz;;Zona de entrenamiento de tropas selectas;;;;;;;x
ca_culture_russian_4;Druzhina Training Ground;Garde des druzhinas;Druschina-Übungsplatz;;Zona de entrenamiento de tropas selectas;;;;;;;x
city_barracks;Militia Barracks;Quartiers de la milice;Milizkaserne;;Cuartel de la milicia;;;;;;;x
city_barracks_2;Enlarged Militia Barracks;Quartiers de la milice;Vergrößerte Milizkaserne;;Cuartel de la milicia ampliado;;;;;;;x
city_stable;Militia Stable;Écurie de la milice;Milizstall;;Establo de la milicia;;;;;;;x
ct_marketplace_1;Town Market;Place de marché;Stadtmarkt;;Mercado de la villa;;;;;;;x
ct_marketplace_2;City Guild Hall;Guilde des marchands;Zunfthaus;;Ayuntamiento de la villa;;;;;;;x
ct_marketplace_3;Toll Booth;Barrière de péage;Zollhaus;;Casa de peaje;;;;;;;x
ct_marketplace_4;Court;Tribunal;Hof;;Tribunal;;;;;;;x
ct_marketplace_5;Assay Office;Hôtel des monnaies;Kontrollamt;;Casa de tasación;;;;;;;x
ct_marketplace_6;Fair;Foire;Messe;;Feria;;;;;;;x
tp_monastery_4;Cathedral;Cathédrale;Kathedrale;;Catedral;;;;;;;x
tp_monastery_5;Cathedral;Cathédrale;Kathedrale;;Catedral;;;;;;;x
tp_monastery_6;Cathedral;Cathédrale;Kathedrale;;Catedral;;;;;;;x
DIPLOFLAVOR_INSULT_0;Tales of your misdeeds are told from Moonshae to Shou Lung.;Vos méfaits sont connus depuis l'Moonshae jusqu'à Shou Lung.;von Euren Missetaten erzählt man sich von Moonshae bis Shou Lung!;;Se cuentan historias de tus fechorías desde Moonshae hasta Shou Lung.;;;;;;;x
DIPLOFLAVOR_INSULT_1;Your low character is the subject of Greek plays.;Votre bassesse est telle qu'elle a inspiré des pièces de théâtre grecques ! ;Euer niederer Charakter ist Mittelpunkt griechischer Theaterstücke!;;Tu escaso carácter es el tema de las obras de teatro griegas.;;;;;;;x
DIPLOFLAVOR_INSULT_2;May your humors rot in your living body.;Puissent vos humeurs pourrir en vous ! ;mögen Euch die Säfte bei lebendigem Leib austrocknen!;;Que tus fluidos se pudran en tu cuerpo en vida.;;;;;;;x
DIPLOFLAVOR_INSULT_3;May your years be short and miserable.;Que votre vie soit brève et misérable ! ;mögen Eure Jahre kurz und elend sein!;;Que tus años sean escasos y miserables.;;;;;;;x
DIPLOFLAVOR_INSULT_4;May wisdom ever elude you.;Puissiez-vous ne jamais connaître la sagesse ! ;möge Euch Weisheit stets fremd bleiben!;;Que la sabiduría siempre te eluda.;;;;;;;x
DIPLOFLAVOR_INSULT_muslim_0;Damn your seventh grandfather.;Maudits soient vos aïeuls jusqu'au septième degré ! ;verflucht sei Euer siebter Großvater!;;Maldigo a tu séptimo abuelo.;;;;;;;x
DIPLOFLAVOR_INSULT_muslim_1;May you be sewn up alive in the belly of a dead camel.;Soyez cousu vivant dans le ventre d'un chameau mort ! ;mögt Ihr lebendig im Bauch eines toten Kamels eingenäht werden!;;Que te cosan vivo al vientre de un camello muerto.;;;;;;;x
DIPLOFLAVOR_INSULT_muslim_2;May Allah destroy your house.;Qu'Allah détruise votre Maison ! ;möge Allah Euer Haus vernichten!;;Que Alá destruya tu casa.;;;;;;;x
DIPLOFLAVOR_INSULT_muslim_3;You child of a mangy dog.;Espèce d'enfant de chien galeux ! ;Ihr Bastard eines räudigen Hundes!;;Hijo de un perro sarnoso.;;;;;;;x
DIPLOFLAVOR_FLATTERY_0;Blessings upon you and your House.;Soyez bénis, vous et votre Maison ! ;Ihr und Euer Haus mögen gesegnet sein!;;Bendiciones para ti y tu casa.;;;;;;;x
DIPLOFLAVOR_FLATTERY_1;Your wisdom and mercy are legendary.;Votre sagesse et votre clémence sont légendaires.;Eure Weisheit und Gnade sind legendär! ;;Tu sabiduría y piedad son legendarias.;;;;;;;x
