#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
bio_alustriel;Biography of Alustriel;;;;;;;;;;;x
bio_alustriel_desc;Alustriel was a powerful mage, being one of the Chosen of Mystra and one of the Seven Sisters. She was known for her love and devotion to her people, something especially unusual for many people who hold political power. Therefore, she was extremely popular in Silverymoon, and most of her subjects would do anything in their power to prevent any harm from happening to her. She was considered a wise and fair ruler, but did hesitate to be ruthless when needed.;;;;;;;;;;;x
bio_bruenor;Biography of Bruenor;;;;;;;;;;;x
bio_bruenor_desc;Bruenor was a powerful shield dwarf with flaming red hair, famous for reclaiming Mithril Hall for Clan Battlehammer. He was considered a bit odd for a dwarf for the company he kept — his 2 adopted human children, Wulfgar and Catti-brie, and the drow ranger Drizzt and the halfling thief Regis.;;;;;;;;;;;x
bio_drizzt;Biography of Drizzt;;;;;;;;;;;x
bio_drizzt_desc;Born and raised in the cruel drow city of Menzoberranzan, Drizzt escaped and became a wanderer on the surface world. He became possibly the most famous adventurer in the Realms, his heroic exploits too many to count.;;;;;;;;;;;x
bio_bhaal;Biography of Bhaal;;;;;;;;;;;x
bio_bhaal_desc;Once a human adventurer who bested primordials and gods, Bhaal became god of murder. Despite his rise to godhood, a dark shadow lay over his future, prompting him to lay far-reaching plans.;;;;;;;;;;;x
bhaalspawn;Bhaalspawn;;;;;;;;;;;x
bhaalspawn_desc;Progeny of the God of Murder, there is a darkness and will-to-power in the souls of these powerful individuals. Some overcome their dark natures and fight for good, but most of them end up succumbing and bringing misery to the lands of their birth.;;;;;;;;;;;x
bio_sarevok;Biography of Sarevok;;;;;;;;;;;x
bio_sarevok_desc;A powerful Bhaalspawn who gave in to his dark nature. Sarevok sought to kill all his siblings and absorb their power, in addition to spreading murder and death all across the Sword Coast before his planned ascension to godhood.;;;;;;;;;;;x
bio_sarya;Biography of Sarya;;;;;;;;;;;x
bio_sarya_desc;Countess Sarya Dlardrageth was a half sun elf, half-fiend sorceress, leader of the daemonfey and a princess of House Dlardrageth. Imprisoned along with her kin for centuries, she sought freedom and the restoration of the ancient power of her House.;;;;;;;;;;;x
bio_coral_princess;Biography of the Coral Princess;;;;;;;;;;;x
bio_coral_princess_desc;The Coral Princess was a rare albino yikarian, who showed comparative liberalism in being willing to trade with outsiders rather than enslave them on sight.;;;;;;;;;;;x
bio_khelben;Biography of Khelben;;;;;;;;;;;x
bio_khelben_desc;Born nameless due to rejection by his elven relatives, Khelben had many names over the years as he rose to become Mystra's Chosen and one of Faerûn's most famed archmages. He had a particular interest in the Sword Coast, and returned to live there often.;;;;;;;;;;;x
bio_khelben2;Biography of Khelben Ravencloak;;;;;;;;;;;x
bio_khelben2_desc;Khelben 'Ravencloak' Arunsun was an enigmatic planeswalker and wizard, the grandson of the famous Khelben Blackstaff, whom he closely resembled.;;;;;;;;;;;x
bio_laeral;Biography of Laeral;;;;;;;;;;;x
bio_laeral_desc;Laeral was a powerful mage, one of the Seven Sisters and a Chosen of Mystra. She was something of an enigma to the people of Waterdeep, having moved to Blackstaff Tower as Khelben's consort after he freed her from a terrible curse.;;;;;;;;;;;x
bio_pereghost;Biography of the Pereghost;;;;;;;;;;;x
bio_pereghost_desc;The Pereghost was one of the great mysteries of the Zhentarim's fortress of Darkhold. The warrior appeared out of nowhere in 1356 DR, offering his services to the Black Network. He gave no name other than "The Pereghost" and refused to speak of his history. Within three years he was given command of the keep's entire army.;;;;;;;;;;;x
bio_piergeiron;Biography of Piergeiron;;;;;;;;;;;x
