#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
natural_lycanthrope;Natural Lycanthrope;;;;;;;;;;;x
natural_lycanthrope_desc;Lycanthropy can be spread through lineage and those gifted are called natural lycanthropes. The lycanthrope can pass on their condition to their children or create afflicted lycanthropes through bites or scratches.\n\n§MDecisions:§! Reveal your lycanthrope nature, Establish a safe haven for lycanthropes\n§MTargetted Decisions:§! Infect with Lycanthropy;;;;;;;;;;;x
afflicted_lycanthrope;Afflicted Lycanthrope;;;;;;;;;;;x
afflicted_lycanthrope_desc;Lycanthropy can be as a disease and those cursed are called afflicted lycanthropes. The afflicted can not pass lycanthropy through their children, only through bites or scratches.\n\n§MDecisions:§! Reveal your lycanthrope nature, Establish a safe haven for lycanthropes\n§MTargetted Decisions:§! Infect with Lycanthropy;;;;;;;;;;;x
werewolf;[Root.LyWolf];;;;;;;;;;;x
werewolf_desc;[Root.LyWolfDesc];;;;;;;;;;;x
LyWerewolf;Werewolf;;;;;;;;;;;x
LyWerewolfDesc;A werewolf is a savage predator. Most werewolves flee from civilized lands and form packs with other werewolves, wolves, and dire wolves.;;;;;;;;;;;x
LyWorghest;Worghest;;;;;;;;;;;x
LyWorghestDesc;A worghest is a lycanthropic goblin. Most of them are descended from the shapeshifting fiends known as barghests.;;;;;;;;;;;x
LyWererat;wererat;;;;;;;;;;;x
wererat;Wererat;;;;;;;;;;;x
wererat_desc;Wererats are cunning lycanthropes with sly, avaricious personalities. They are common in urban areas.;;;;;;;;;;;x
LyWeretiger;weretiger;;;;;;;;;;;x
weretiger;Weretiger;;;;;;;;;;;x
weretiger_desc;Weretigers are ferocious hunters and warriors with a haughty and fastidious nature. They prefer to live on the fringes of humanoid civilization.;;;;;;;;;;;x
werecrocodile;[Root.LyCroc];;;;;;;;;;;x
werecrocodile_desc;[Root.LyCrocDesc];;;;;;;;;;;x
LyCrocodile;Werecrocodile;;;;;;;;;;;x
LyCrocodileDesc;Werecrocodiles are patient predators created by the deity [Root.SebekLoc]. They feel an affinity for swamps and other wetlands.;;;;;;;;;;;x
LySegarran;Segarran;;;;;;;;;;;x
LySegarranDesc;Segarrans are patient predators created by the goddess Ragarra. They feel an affinity for swamps and other wetlands.;;;;;;;;;;;x
LyAranea;aranea;;;;;;;;;;;x
werespider;Aranea;;;;;;;;;;;x
werespider_desc;Aranea, sometimes also called werespiders, are humanoids who have an inherited condition which allows them to transform into giant spiders. They are not true lycanthropes, and their condition is only passed congenitally, rather than by bites or scratches.;;;;;;;;;;;x
vampire_desc;[Root.VampDesc];;;;;;;;;;;x
VampDef;Vampire;;;;;;;;;;;x
VampGhul;Great Ghul;;;;;;;;;;;x
VampBeh;Bloodkiss Beholder;;;;;;;;;;;x
VampDefDesc;A vampire is a former humanoid turned undead creature. They resemble their former, living selves with paler skin, haunting red eyes, and a feral cast to their features. They are drawn to the blood of the living.;;;;;;;;;;;x
VampGhulDesc;Great Ghuls are the genie equivalent of vampires, and are automatically considered to be the lowest in the hierarchy of those outsiders. They are notable for having donkey hooves instead of feet, and in addition to the thirst for blood shared by all vampires, they also crave necrotic flesh.;;;;;;;;;;;x
VampBehDesc;Bloodkiss Beholders are a kind of vampiric undead beholder whose eyestalks mutate into mouths with which it drains the blood of its victims.;;;;;;;;;;;x
VampSDef;Vampire Spawn;;;;;;;;;;;x
VampSGhul;Ghul-kin;;;;;;;;;;;x
VampSBeh;Death Kiss;;;;;;;;;;;x
dhampyr;Dhampyr;;;;;;;;;;;x
dhampyr_desc;A dhampyr is a living creature who has somehow inherited vampiric blood from a parent or ancestor. They often have some weakened vampiric abilities, while lacking many vampiric weaknesses.;;;;;;;;;;;x
vampire_spawn;[Root.VampSName];;;;;;;;;;;x
vampire_spawn_desc;[Root.VampSDesc];;;;;;;;;;;x
VampSDefDesc;Vampire spawn are created when a vampire infects another creature with vampirism without draining them of almost all blood. They are weaker versions of true vampires and cannot change form or summon creatures of the night, nor spread vampirism. Despite this, they share all vampiric weaknesses.;;;;;;;;;;;x
VampSGhulDesc;Ghul-kin are undead vampires related to Great Ghuls and often created by them. Unlike their progenitors, they possess shapeshifting powers, though imperfect, that they use to hide their undead nature. Like other lesser vampiric creatures, they are incapable of spreading their condition.;;;;;;;;;;;x
VampSBehDesc;Death Kisses are lesser vampiric beholders whose eyestalks have become blood-draining mouths. Uniquely, Death Kiss are infused with electrical magic and often shock their victims as they drain them. Like other lesser vampiric creatures, they are incapable of spreading their condition.;;;;;;;;;;;x
half_dragon;Half-Dragon;;;;;;;;;;;x
half_dragon_desc;A half-dragon is typically a cross between a dragon and another unrelated creature. They have the same scale color, immunities, and breath weapon as their dragon parent. Half-dragons are also immune to sleep and paralysis effects.;;;;;;;;;;;x
half_fiend;Half-Fiend;;;;;;;;;;;x
half_fiend_desc;A half-fiend is typically a cross between a fiend from the lower planes and another unrelated creature. They may have some attributes of their fiendish parent, but often their heritage manifests in other, less predictable ways.;;;;;;;;;;;x
undead;Undead;;;;;;;;;;;x
undead_desc;The undead are dead creatures whose spirits still animate their rotting physical forms. Their ranks include many dangerous foes of the living, such as liches and death knights.;;;;;;;;;;;x
longevity;Long-lived;;;;;;;;;;;x
longevity_desc;This character ages slowly, and seems set for an unusually long life.;;;;;;;;;;;x
construct;Construct;;;;;;;;;;;x
construct_desc;This character is a synthetic construct, created rather than born. Although they appear identical to a natural creature, their origins are artificial.;;;;;;;;;;;x
absent;Absent;;;;;;;;;;;x
absent_desc;This character shouldn't be here.;;;;;;;;;;;x
planetouched;Planetouched;;;;;;;;;;;x
planetouched_desc;There are many planetouched people in the Forgotten Realms, whose ancestry runs back to creatures from other dimensions - genies, demons, devil and angels.;;;;;;;;;;;x
feytouched;Feytouched;;;;;;;;;;;x
feytouched_desc;Feytouched beings are the descendants of unions between fey and non-fey creatures. They often possess certain traits reminiscent of their fey progenitor.;;;;;;;;;;;x
half_troll;Half-Troll;;;;;;;;;;;x
half_troll_desc;This individual has troll ancestry, giving them both increased strength and health, but also the stigma of their monstrous progenitor.;;;;;;;;;;;x
origin_aberrant_mind;Aberrant Mind Sorcerous Origin;;;;;;;;;;;x
