#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;x
nick_the_inquisitor;the Inquisitor;l'Inquisit[This.GetEurRice];[This.Getderdie] Inquisitor[This.GetinFemale];;el Inquisidor;;;;;;;x
nick_the_purifier;the Purifier;l'Épurat[This.GetEurRice];der Läuterer;;el Purificador;;;;;;;x
String_man_at_arm;man at arm;homme d'armes;Bewaffneter;;hombre de armas;;;;;;;x
String_spahi;spahi;spahi;Spahi;;cipayo;;;;;;;x
MNM.6668.d;You have not exactly been discreet as of late  frequent and often times blatant use of [Root.Society.GetName]'s powers without any concern for secrecy has caused the [Root.Religion.GetPriestTitle]s to openly accuse you of apostasy!;Vous n'avez pas été discr[Root.GetEtEte] dernièrement  l'utilisation fréquente et souvent flagrante des pouvoirs [Root.Get_du_Society] a comme conséquence que les [Root.Religion.GetPriestTitle]s vous accusent ouvertement d'apostasie !;Ihr wart in letzter Zeit nicht gerade diskret. Euer häufiger und oft unverhohlener Gebrauch der Mächte des [Root.Society.GetName]-Zirkels ohne jegliche Geheimhaltung hat der/die [Root.Religion.GetPriestTitle] dazu gebracht, Euch öffentlich der Abtrünnigkeit zu bezichtigen!;;Últimamente no has mostrado mucha discreción. ¡Tu uso descarado de los poderes de [Root.Society.GetName] sin ningún cuidado ha provocado que los [Root.Religion.GetPriestTitle] te acusen abiertamente de apostasía!;;;;;;;x
opinion_accused_apostate;Known Criminal;;;;;;;;;;;x
accused_apostate;Known Criminal;;;;;;;;;;;x
accused_apostate_desc;This character has been outed as a criminal, whether or not the judgement has any truth to it is another matter entirely...;;;;;;;;;;;x
accuse_rival_tooltip;Take this opportunity to get back at your rival and accuse [rival_target.GetHerHim] of criminality. §Y[rival_target.GetBestName]§! might not be guilty  but your liege will be none the wiser either way...;;;;;;;;;;;x
apostate_found_tooltip;You bring §Y[accused_apostate.GetBestName]§! to the court of §Y[Root.Liege.GetTitle] [Root.Liege.GetFirstName]§!, [Root.Liege.GetSheHe] will decide the fate of the criminal!;;;;;;;;;;;x
MNM.70110.d.highly_suspected_society_member;After taking statement from multiple witnessess and closely examining [accused_apostate.GetHerHis] every move, you have gathered enough damning evidence to accuse [accused_apostate.GetBestName]! [accused_apostate.GetSheHe] has obviously sworn allegiance to the [accused_apostate.Society.GetName]! Your subordinates are poised and ready to bring [accused_apostate.GetHerHim] to you in chains.;;;;;;;;;;;x
