#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_aaetha;A'aetha;A'aetha;A'aetha;;A'aetha;;;;;;;;;x
b_aaetha_adj;A'aethan;;a'aether;;;;;;;;;;;x
b_aagul;Aagul;Aagul;Aagul;;Aagul;;;;;;;;;x
b_aagul_adj;Aagulian;;aaguler;;;;;;;;;;;x
b_aalde;Aalde;Aalde;Aalde;;Aalde;;;;;;;;;x
b_aalde_adj;Aaldean;;aalder;;;;;;;;;;;x
b_aamlo;Aamlo;Aamlo;Aamlo;;Aamlo;;;;;;;;;x
b_aamlo_adj;Aamlian;;aamler;;;;;;;;;;;x
b_aarnsgard;Aarnsgard;Aarnsgard;Aarnsgard;;Aarnsgard;;;;;;;;;x
b_aarnsgard_adj;Aarnsgardian;;aarnsgarder;;;;;;;;;;;x
b_ababadira;Ababadira;Ababadira;Ababadira;;Ababadira;;;;;;;;;x
b_ababadira_adj;Ababadiran;;ababadirer;;;;;;;;;;;x
b_abaghajin;Abaghajin;Abaghajin;Abaghajin;;Abaghajin;;;;;;;;;x
b_abaghajin_adj;Abaghajinian;;abaghajiner;;;;;;;;;;;x
b_abahanel;Abahanel;Abahanel;Abahanel;;Abahanel;;;;;;;;;x
b_abahanel_adj;Abahanelian;;abahaneler;;;;;;;;;;;x
b_abalada;Abalada;Abalada;Abalada;;Abalada;;;;;;;;;x
b_abalada_adj;Abaladan;;abalader;;;;;;;;;;;x
b_abalaras;Abalaras;Abalaras;Abalaras;;Abalaras;;;;;;;;;x
b_abalaras_adj;Abalarasian;;abalaraser;;;;;;;;;;;x
b_abaltrer;Abaltrer;Abaltrer;Abaltrer;;Abaltrer;;;;;;;;;x
b_abaltrer_adj;Abaltrerian;;abaltrerer;;;;;;;;;;;x
b_abam;Abam;Abam;Abam;;Abam;;;;;;;;;x
b_abam_adj;Abamian;;abamer;;;;;;;;;;;x
b_abaminarr;Abaminarr;Abaminarr;Abaminarr;;Abaminarr;;;;;;;;;x
b_abaminarr_adj;Abaminarrian;;abaminarrer;;;;;;;;;;;x
b_aban;Aban;Aban;Aban;;Aban;;;;;;;;;x
b_aban_adj;Abanian;;abaner;;;;;;;;;;;x
b_aband;Aband;Aband;Aband;;Aband;;;;;;;;;x
b_aband_adj;Abandian;;abander;;;;;;;;;;;x
b_abandalem;Abandalem;Abandalem;Abandalem;;Abandalem;;;;;;;;;x
b_abandalem_adj;Abandalemian;;abandalemer;;;;;;;;;;;x
b_abang;Abang;Abang;Abang;;Abang;;;;;;;;;x
b_abang_adj;Abangian;;abanger;;;;;;;;;;;x
b_abar;Abar;Abar;Abar;;Abar;;;;;;;;;x
b_abar_adj;Abarian;;abarer;;;;;;;;;;;x
b_abararou;Abararou;Abararou;Abararou;;Abararou;;;;;;;;;x
b_abararou_adj;Abararian;;abararer;;;;;;;;;;;x
b_abarats_folly;Abarat's Folly;Abarat's Folly;Abarat's Folly;;Abarat's Folly;;;;;;;;;x
b_abarats_folly_adj;Abarat's Follian;;Abarat's Foller;;;;;;;;;;;x
b_abaria;Abaria;Abaria;Abaria;;Abaria;;;;;;;;;x
b_abaria_adj;Abarian;;abarer;;;;;;;;;;;x
b_abasan;Abasan;Abasan;Abasan;;Abasan;;;;;;;;;x
b_abasan_adj;Abasanian;;abasaner;;;;;;;;;;;x
b_abb;Abb;Abb;Abb;;Abb;;;;;;;;;x
b_abb_adj;Abbian;;abber;;;;;;;;;;;x
b_abbarisa;Abbarisa;Abbarisa;Abbarisa;;Abbarisa;;;;;;;;;x
b_abbarisa_adj;Abbarisan;;abbariser;;;;;;;;;;;x
b_abbor;Abbor;Abbor;Abbor;;Abbor;;;;;;;;;x
b_abbor_adj;Abborian;;abborer;;;;;;;;;;;x
b_abderrarat;Abderrarat;Abderrarat;Abderrarat;;Abderrarat;;;;;;;;;x
b_abderrarat_adj;Abderraratian;;abderrarater;;;;;;;;;;;x
b_abditaar;Abditaar;Abditaar;Abditaar;;Abditaar;;;;;;;;;x
b_abditaar_adj;Abditaarian;;abditaarer;;;;;;;;;;;x
b_abelynar;Abelynar;Abelynar;Abelynar;;Abelynar;;;;;;;;;x
b_abelynar_adj;Abelynarian;;abelynarer;;;;;;;;;;;x
b_aberdgr;Aberdgr;Aberdgr;Aberdgr;;Aberdgr;;;;;;;;;x
b_aberdgr_adj;Aberdgrian;;aberdgrer;;;;;;;;;;;x
b_aberdiph;Aberdiph;Aberdiph;Aberdiph;;Aberdiph;;;;;;;;;x
b_aberdiph_adj;Aberdiphian;;aberdipher;;;;;;;;;;;x
b_abere_tal;Abere-Tal;Abere-Tal;Abere-Tal;;Abere-Tal;;;;;;;;;x
b_abere_tal_adj;Abere-Talian;;abere-taler;;;;;;;;;;;x
b_abesera;Abesera;Abesera;Abesera;;Abesera;;;;;;;;;x
b_abesera_adj;Abeseran;;abeserer;;;;;;;;;;;x
b_abetgaseh;Abetgaseh;Abetgaseh;Abetgaseh;;Abetgaseh;;;;;;;;;x
b_abetgaseh_adj;Abetgasehian;;abetgaseher;;;;;;;;;;;x
b_abingdon;Abingdon;Abingdon;Abingdon;;Abingdon;;;;;;;;;x
b_abingdon_adj;Abingdonian;;abingdoner;;;;;;;;;;;x
b_abioh;Abioh;Abioh;Abioh;;Abioh;;;;;;;;;x
b_abioh_adj;Abiohian;;abioher;;;;;;;;;;;x
b_abla;Abla;Abla;Abla;;Abla;;;;;;;;;x
b_abla_adj;Ablan;;abler;;;;;;;;;;;x
b_ablegam;Ablegam;Ablegam;Ablegam;;Ablegam;;;;;;;;;x
b_ablegam_adj;Ablegamian;;ablegamer;;;;;;;;;;;x
b_abllerd;Abllerd;Abllerd;Abllerd;;Abllerd;;;;;;;;;x
b_abllerd_adj;Abllerdian;;abllerder;;;;;;;;;;;x
b_abobara;Abobara;Abobara;Abobara;;Abobara;;;;;;;;;x
b_abobara_adj;Abobaran;;abobarer;;;;;;;;;;;x
b_abolara;Abolara;Abolara;Abolara;;Abolara;;;;;;;;;x
b_abolara_adj;Abolaran;;abolarer;;;;;;;;;;;x
b_abradas;Abradas;Abradas;Abradas;;Abradas;;;;;;;;;x
b_abradas_adj;Abradasian;;abradaser;;;;;;;;;;;x
b_abrafanha;Abrafanha;Abrafanha;Abrafanha;;Abrafanha;;;;;;;;;x
b_abrafanha_adj;Abrafanhan;;abrafanher;;;;;;;;;;;x
b_abraluz;Abraluz;Abraluz;Abraluz;;Abraluz;;;;;;;;;x
b_abraluz_adj;Abraluzian;;abraluzer;;;;;;;;;;;x
b_abran;Abran;Abran;Abran;;Abran;;;;;;;;;x
b_abran_adj;Abranian;;abraner;;;;;;;;;;;x
b_abrar;Abrar;Abrar;Abrar;;Abrar;;;;;;;;;x
b_abrar_adj;Abrarian;;abrarer;;;;;;;;;;;x
b_abraxal;Abraxal;Abraxal;Abraxal;;Abraxal;;;;;;;;;x
b_abraxal_adj;Abraxalian;;abraxaler;;;;;;;;;;;x
b_abreon;Abreon;Abreon;Abreon;;Abreon;;;;;;;;;x
b_abreon_adj;Abreonian;;abreoner;;;;;;;;;;;x
b_abreraseh;Abreraseh;Abreraseh;Abreraseh;;Abreraseh;;;;;;;;;x
b_abreraseh_adj;Abrerasehian;;abreraseher;;;;;;;;;;;x
b_abrou;Abrou;Abrou;Abrou;;Abrou;;;;;;;;;x
b_abrou_adj;Abrian;;abrer;;;;;;;;;;;x
b_abruthy;Abruthy;Abruthy;Abruthy;;Abruthy;;;;;;;;;x
b_abruthy_adj;Abruthian;;abruther;;;;;;;;;;;x
b_absalom;Absalom;Absalom;Absalom;;Absalom;;;;;;;;;x
b_absalom_adj;Absalomian;;absalomer;;;;;;;;;;;x
b_abuderes;Abuderes;Abuderes;Abuderes;;Abuderes;;;;;;;;;x
b_abuderes_adj;Abuderesian;;abudereser;;;;;;;;;;;x
b_abyalmn;Abyalmn;Abyalmn;Abyalmn;;Abyalmn;;;;;;;;;x
b_abyalmn_adj;Abyalmnian;;abyalmner;;;;;;;;;;;x
b_abydu;Abydu;Abydu;Abydu;;Abydu;;;;;;;;;x
b_abydu_adj;Abydian;;abyder;;;;;;;;;;;x
b_academy;Academy;Academy;Academy;;Academy;;;;;;;;;x
b_academy_adj;Academian;;academer;;;;;;;;;;;x
b_acha;Acha;Acha;Acha;;Acha;;;;;;;;;x
b_acha_adj;Achan;;acher;;;;;;;;;;;x
b_achal;Achal;Achal;Achal;;Achal;;;;;;;;;x
b_achal_adj;Achalian;;achaler;;;;;;;;;;;x
b_achalaz;Achalaz;Achalaz;Achalaz;;Achalaz;;;;;;;;;x
b_achalaz_adj;Achalazian;;achalazer;;;;;;;;;;;x
b_acham;Acham;Acham;Acham;;Acham;;;;;;;;;x
b_acham_adj;Achamian;;achamer;;;;;;;;;;;x
b_achars_rest;Achar's Rest;Achar's Rest;Achar's Rest;;Achar's Rest;;;;;;;;;x
b_achars_rest_adj;Achar's Restian;;Achar's Rester;;;;;;;;;;;x
b_achathila;Achathila;Achathila;Achathila;;Achathila;;;;;;;;;x
b_achathila_adj;Achathilan;;achathiler;;;;;;;;;;;x
b_achelar;Achelar;Achelar;Achelar;;Achelar;;;;;;;;;x
b_achelar_adj;Achelarian;;achelarer;;;;;;;;;;;x
b_achengrav;Achengrav;Achengrav;Achengrav;;Achengrav;;;;;;;;;x
b_achengrav_adj;Achengravian;;achengraver;;;;;;;;;;;x
b_acheral;Acheral;Acheral;Acheral;;Acheral;;;;;;;;;x
b_acheral_adj;Acheralian;;acheraler;;;;;;;;;;;x
b_acheras;Acheras;Acheras;Acheras;;Acheras;;;;;;;;;x
b_acheras_adj;Acherasian;;acheraser;;;;;;;;;;;x
b_achernath;Achernath;Achernath;Achernath;;Achernath;;;;;;;;;x
b_achernath_adj;Achernathian;;achernather;;;;;;;;;;;x
b_achhimp;Achhimp;Achhimp;Achhimp;;Achhimp;;;;;;;;;x
b_achhimp_adj;Achhimpian;;achhimper;;;;;;;;;;;x
b_achila;Achila;Achila;Achila;;Achila;;;;;;;;;x
b_achila_adj;Achilan;;achiler;;;;;;;;;;;x
b_achimphaer;Achimphaer;Achimphaer;Achimphaer;;Achimphaer;;;;;;;;;x
b_achimphaer_adj;Achimphaerian;;achimphaerer;;;;;;;;;;;x
b_achinindi;Achinindi;Achinindi;Achinindi;;Achinindi;;;;;;;;;x
b_achinindi_adj;Achinindian;;achininder;;;;;;;;;;;x
b_achith;Achith;Achith;Achith;;Achith;;;;;;;;;x
b_achith_adj;Achithian;;achither;;;;;;;;;;;x
b_achnasheen;Achnasheen;Achnasheen;Achnasheen;;Achnasheen;;;;;;;;;x
b_achnasheen_adj;Achnasheenian;;achnasheener;;;;;;;;;;;x
b_achnizu;Achnizu;Achnizu;Achnizu;;Achnizu;;;;;;;;;x
b_achnizu_adj;Achnizian;;achnizer;;;;;;;;;;;x
b_ackandar;Ackandar;Ackandar;Ackandar;;Ackandar;;;;;;;;;x
b_ackandar_adj;Ackandarian;;ackandarer;;;;;;;;;;;x
b_acks;Acks;Acks;Acks;;Acks;;;;;;;;;x
b_acks_adj;Acksian;;ackser;;;;;;;;;;;x
b_acomb;Acomb;Acomb;Acomb;;Acomb;;;;;;;;;x
b_acomb_adj;Acombian;;acomber;;;;;;;;;;;x
b_acoyals_cove;Acoyal's Cove;Acoyal's Cove;Acoyal's Cove;;Acoyal's Cove;;;;;;;;;x
b_acoyals_cove_adj;Acoyal's Covean;;Acoyal's Cover;;;;;;;;;;;x
b_acrine;Acrine;Acrine;Acrine;;Acrine;;;;;;;;;x
b_acrine_adj;Acrinean;;acriner;;;;;;;;;;;x
b_adabaeth;Adabaeth;Adabaeth;Adabaeth;;Adabaeth;;;;;;;;;x
b_adabaeth_adj;Adabaethian;;adabaether;;;;;;;;;;;x
b_adae;Adae;Adae;Adae;;Adae;;;;;;;;;x
b_adae_adj;Adaean;;ader;;;;;;;;;;;x
b_adaens;Adaens;Adaens;Adaens;;Adaens;;;;;;;;;x
b_adaens_adj;Adaensian;;adaenser;;;;;;;;;;;x
b_adagai;Adagai;Adagai;Adagai;;Adagai;;;;;;;;;x
b_adagai_adj;Adagian;;adager;;;;;;;;;;;x
b_adamar_horath;Adamar Horath;Adamar Horath;Adamar Horath;;Adamar Horath;;;;;;;;;x
b_adamar_horath_adj;Adamar Horathian;;Adamar Horather;;;;;;;;;;;x
b_adand;Adand;Adand;Adand;;Adand;;;;;;;;;x
b_adand_adj;Adandian;;adander;;;;;;;;;;;x
b_adapra;Adapra;Adapra;Adapra;;Adapra;;;;;;;;;x
b_adapra_adj;Adapran;;adaprer;;;;;;;;;;;x
b_adarstead;Adarstead;Adarstead;Adarstead;;Adarstead;;;;;;;;;x
b_adarstead_adj;Adarsteadian;;adarsteader;;;;;;;;;;;x
b_adas;Adas;Adas;Adas;;Adas;;;;;;;;;x
b_adas_adj;Adasian;;adaser;;;;;;;;;;;x
b_adasull;Adasull;Adasull;Adasull;;Adasull;;;;;;;;;x
b_adasull_adj;Adasullian;;adasuller;;;;;;;;;;;x
b_adbar;Adbar;Adbar;Adbar;;Adbar;;;;;;;;;x
b_adbar_adj;Adbarian;;adbarer;;;;;;;;;;;x
b_adbug;Adbug;Adbug;Adbug;;Adbug;;;;;;;;;x
b_adbug_adj;Adbugian;;adbuger;;;;;;;;;;;x
b_addas_babar;Addas Babar;Addas Babar;Addas Babar;;Addas Babar;;;;;;;;;x
b_addas_babar_adj;Addas Babarian;;Addas Babarer;;;;;;;;;;;x
b_addavath;Addavath;Addavath;Addavath;;Addavath;;;;;;;;;x
b_addavath_adj;Addavathian;;addavather;;;;;;;;;;;x
b_adder_point;Adder Point;Adder Point;Adder Point;;Adder Point;;;;;;;;;x
b_adder_point_adj;Adder Pointian;;Adder Pointer;;;;;;;;;;;x
b_addersfield;Addersfield;Addersfield;Addersfield;;Addersfield;;;;;;;;;x
b_addersfield_adj;Addersfieldian;;addersfielder;;;;;;;;;;;x
b_addfeld;Addfeld;Addfeld;Addfeld;;Addfeld;;;;;;;;;x
b_addfeld_adj;Addfeldian;;addfelder;;;;;;;;;;;x
b_addos;Addos;Addos;Addos;;Addos;;;;;;;;;x
b_addos_adj;Addosian;;addoser;;;;;;;;;;;x
b_adeh;Adeh;Adeh;Adeh;;Adeh;;;;;;;;;x
b_adeh_adj;Adehian;;adeher;;;;;;;;;;;x
b_aden;Aden;Aden;Aden;;Aden;;;;;;;;;x
b_aden_adj;Adenian;;adener;;;;;;;;;;;x
b_adendat;Adendat;Adendat;Adendat;;Adendat;;;;;;;;;x
b_adendat_adj;Adendatian;;adendater;;;;;;;;;;;x
b_adeng;Adeng;Adeng;Adeng;;Adeng;;;;;;;;;x
b_adeng_adj;Adengian;;adenger;;;;;;;;;;;x
b_adeoyen;Adeoyen;Adeoyen;Adeoyen;;Adeoyen;;;;;;;;;x
b_adeoyen_adj;Adeoyenian;;adeoyener;;;;;;;;;;;x
b_aderar;Aderar;Aderar;Aderar;;Aderar;;;;;;;;;x
b_aderar_adj;Aderarian;;aderarer;;;;;;;;;;;x
b_aderians;Aderians;Aderians;Aderians;;Aderians;;;;;;;;;x
b_aderians_adj;Aderiansian;;aderianser;;;;;;;;;;;x
b_ades;Ades;Ades;Ades;;Ades;;;;;;;;;x
b_ades_adj;Adesian;;adeser;;;;;;;;;;;x
b_adhal;Adhal;Adhal;Adhal;;Adhal;;;;;;;;;x
b_adhal_adj;Adhalian;;adhaler;;;;;;;;;;;x
b_adhi;Adhi;Adhi;Adhi;;Adhi;;;;;;;;;x
b_adhi_adj;Adhian;;adher;;;;;;;;;;;x
b_adildalr;Adildalr;Adildalr;Adildalr;;Adildalr;;;;;;;;;x
b_adildalr_adj;Adildalrian;;adildalrer;;;;;;;;;;;x
b_adioo;Adioo;Adioo;Adioo;;Adioo;;;;;;;;;x
b_adioo_adj;Adian;;ader;;;;;;;;;;;x
b_admash;Admash;Admash;Admash;;Admash;;;;;;;;;x
b_admash_adj;Admashian;;admasher;;;;;;;;;;;x
b_adrinden;Adrinden;Adrinden;Adrinden;;Adrinden;;;;;;;;;x
b_adrinden_adj;Adrindenian;;adrindener;;;;;;;;;;;x
b_aduh;Aduh;Aduh;Aduh;;Aduh;;;;;;;;;x
b_aduh_adj;Aduhian;;aduher;;;;;;;;;;;x
b_aeladae;Aeladae;Aeladae;Aeladae;;Aeladae;;;;;;;;;x
b_aeladae_adj;Aeladaean;;aelader;;;;;;;;;;;x
b_aeldun;Aeldun;Aeldun;Aeldun;;Aeldun;;;;;;;;;x
b_aeldun_adj;Aeldunian;;aelduner;;;;;;;;;;;x
b_aelleah;Aelleah;Aelleah;Aelleah;;Aelleah;;;;;;;;;x
b_aelleah_adj;Aelleahian;;aelleaher;;;;;;;;;;;x
b_aelleah_tower;Aelleah Tower;Aelleah Tower;Aelleah Tower;;Aelleah Tower;;;;;;;;;x
b_aelleah_tower_adj;Aelleah Towerian;;Aelleah Towerer;;;;;;;;;;;x
b_aelor;Aelor;Aelor;Aelor;;Aelor;;;;;;;;;x
b_aelor_adj;Aelorian;;aelorer;;;;;;;;;;;x
b_aelore;Aelore;Aelore;Aelore;;Aelore;;;;;;;;;x
b_aelore_adj;Aelorean;;aelorer;;;;;;;;;;;x
b_aems;Aems;Aems;Aems;;Aems;;;;;;;;;x
b_aems_adj;Aemsian;;aemser;;;;;;;;;;;x
b_aemsyrss;Aemsyrss;Aemsyrss;Aemsyrss;;Aemsyrss;;;;;;;;;x
b_aemsyrss_adj;Aemsyrssian;;aemsyrsser;;;;;;;;;;;x
b_aenus;Aenus;Aenus;Aenus;;Aenus;;;;;;;;;x
b_aenus_adj;Aenusian;;aenuser;;;;;;;;;;;x
b_aeralonyn;Aeralonyn;Aeralonyn;Aeralonyn;;Aeralonyn;;;;;;;;;x
b_aeralonyn_adj;Aeralonynian;;aeralonyner;;;;;;;;;;;x
b_aerilon;Aerilon;Aerilon;Aerilon;;Aerilon;;;;;;;;;x
b_aerilon_adj;Aerilonian;;aeriloner;;;;;;;;;;;x
b_aerithaes_rest;Aerithae's Rest;Aerithae's Rest;Aerithae's Rest;;Aerithae's Rest;;;;;;;;;x
b_aerithaes_rest_adj;Aerithae's Restian;;Aerithae's Rester;;;;;;;;;;;x
b_aeyreinon;Aeyreinon;Aeyreinon;Aeyreinon;;Aeyreinon;;;;;;;;;x
b_aeyreinon_adj;Aeyreinonian;;aeyreinoner;;;;;;;;;;;x
b_afaro;Afaro;Afaro;Afaro;;Afaro;;;;;;;;;x
b_afaro_adj;Afarian;;afarer;;;;;;;;;;;x
b_afen_allanar;Afen Allanar;Afen Allanar;Afen Allanar;;Afen Allanar;;;;;;;;;x
b_afen_allanar_adj;Afen Allanarian;;Afen Allanarer;;;;;;;;;;;x
b_afena_ancalen;Afena Ancalen;Afena Ancalen;Afena Ancalen;;Afena Ancalen;;;;;;;;;x
b_afena_ancalen_adj;Afena Ancalenian;;Afena Ancalener;;;;;;;;;;;x
b_afiang;Afiang;Afiang;Afiang;;Afiang;;;;;;;;;x
b_afiang_adj;Afiangian;;afianger;;;;;;;;;;;x
b_afraza;Afraza;Afraza;Afraza;;Afraza;;;;;;;;;x
b_afraza_adj;Afrazan;;afrazer;;;;;;;;;;;x
b_afrrust;Afrrust;Afrrust;Afrrust;;Afrrust;;;;;;;;;x
b_afrrust_adj;Afrrustian;;afrruster;;;;;;;;;;;x
b_agalin;Agalin;Agalin;Agalin;;Agalin;;;;;;;;;x
b_agalin_adj;Agalinian;;agaliner;;;;;;;;;;;x
b_agam;Agam;Agam;Agam;;Agam;;;;;;;;;x
b_agam_adj;Agamian;;agamer;;;;;;;;;;;x
b_aganali;Aganali;Aganali;Aganali;;Aganali;;;;;;;;;x
b_aganali_adj;Aganalian;;aganaler;;;;;;;;;;;x
b_aganda;Aganda;Aganda;Aganda;;Aganda;;;;;;;;;x
b_aganda_adj;Agandan;;agander;;;;;;;;;;;x
b_agankmu;Agankmu;Agankmu;Agankmu;;Agankmu;;;;;;;;;x
b_agankmu_adj;Agankmian;;agankmer;;;;;;;;;;;x
b_agaphoth;Agaphoth;Agaphoth;Agaphoth;;Agaphoth;;;;;;;;;x
b_agaphoth_adj;Agaphothian;;agaphother;;;;;;;;;;;x
b_agapu;Agapu;Agapu;Agapu;;Agapu;;;;;;;;;x
b_agapu_adj;Agapian;;agaper;;;;;;;;;;;x
b_agar;Agar;Agar;Agar;;Agar;;;;;;;;;x
b_agar_adj;Agarian;;agarer;;;;;;;;;;;x
b_agarphail;Agarphail;Agarphail;Agarphail;;Agarphail;;;;;;;;;x
b_agarphail_adj;Agarphailian;;agarphailer;;;;;;;;;;;x
b_agashima;Agashima;Agashima;Agashima;;Agashima;;;;;;;;;x
b_agashima_adj;Agashiman;;agashimer;;;;;;;;;;;x
b_agatho;Agatho;Agatho;Agatho;;Agatho;;;;;;;;;x
b_agatho_adj;Agathian;;agather;;;;;;;;;;;x
b_agatilansara;Agatilansara;Agatilansara;Agatilansara;;Agatilansara;;;;;;;;;x
b_agatilansara_adj;Agatilansaran;;agatilansarer;;;;;;;;;;;x
b_agedemas;Agedemas;Agedemas;Agedemas;;Agedemas;;;;;;;;;x
b_agedemas_adj;Agedemasian;;agedemaser;;;;;;;;;;;x
b_agen;Agen;Agen;Agen;;Agen;;;;;;;;;x
b_agen_adj;Agenian;;agener;;;;;;;;;;;x
b_aggaron;Aggaron;Aggaron;Aggaron;;Aggaron;;;;;;;;;x
b_aggaron_adj;Aggaronian;;aggaroner;;;;;;;;;;;x
b_aggen;Aggen;Aggen;Aggen;;Aggen;;;;;;;;;x
b_aggen_adj;Aggenian;;aggener;;;;;;;;;;;x
b_aghala;Aghala;Aghala;Aghala;;Aghala;;;;;;;;;x
b_aghala_adj;Aghalan;;aghaler;;;;;;;;;;;x
b_agharsich;Agharsich;Agharsich;Agharsich;;Agharsich;;;;;;;;;x
b_agharsich_adj;Agharsichian;;agharsicher;;;;;;;;;;;x
b_agheladrl;Agheladrl;Agheladrl;Agheladrl;;Agheladrl;;;;;;;;;x
