#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_a_ling_shan;A-Ling Shan;A-Ling Shan;A-Ling Shan;;A-Ling Shan;;;;;;;;;x
d_a_ling_shan_adj;A-Ling Shanian;;A-Ling Shaner;;;;;;;;;;;x
d_adaerglast;Adaerglast;Adaerglast;Adaerglast;;Adaerglast;;;;;;;;;x
d_adaerglast_adj;Adaerglastian;;adaerglaster;;;;;;;;;;;x
d_adbar;Adbar;Adbar;Adbar;;Adbar;;;;;;;;;x
d_adbar_adj;Adbarian;;adbarer;;;;;;;;;;;x
d_agis;Agis;Agis;Agis;;Agis;;;;;;;;;x
d_agis_adj;Agisian;;agiser;;;;;;;;;;;x
d_aglarond;Aglarond;Aglarond;Aglarond;;Aglarond;;;;;;;;;x
d_aglarond_adj;Aglarondian;;aglaronder;;;;;;;;;;;x
d_al_zalim;Al-Zalim;Al-Zalim;Al-Zalim;;Al-Zalim;;;;;;;;;x
d_al_zalim_adj;Al-Zalimian;;al-zalimer;;;;;;;;;;;x
d_alaghon;Alaghôn;Alaghôn;Alaghôn;;Alaghôn;;;;;;;;;x
d_alaghon_adj;Alaghônian;;alaghôner;;;;;;;;;;;x
d_alamber_grasp;Alamber Grasp;Alamber Grasp;Alamber Grasp;;Alamber Grasp;;;;;;;;;x
d_alamber_grasp_adj;Alamber Graspian;;Alamber Grasper;;;;;;;;;;;x
d_alamir;Alamir;Alamir;Alamir;;Alamir;;;;;;;;;x
d_alamir_adj;Alamirian;;alamirer;;;;;;;;;;;x
d_alpuk;Alpuk;Alpuk;Alpuk;;Alpuk;;;;;;;;;x
d_alpuk_adj;Alpukian;;alpuker;;;;;;;;;;;x
d_altumbel;Altumbel;Altumbel;Altumbel;;Altumbel;;;;;;;;;x
d_altumbel_adj;Altumbelian;;altumbeler;;;;;;;;;;;x
d_ammarindar;Ammarindar;Ammarindar;Ammarindar;;Ammarindar;;;;;;;;;x
d_ammarindar_adj;Ammarindarian;;ammarindarer;;;;;;;;;;;x
d_ammathtar;Ammathtar;Ammathtar;Ammathtar;;Ammathtar;;;;;;;;;x
d_ammathtar_adj;Ammathtarian;;ammathtarer;;;;;;;;;;;x
d_anauria;Anauria;Anauria;Anauria;;Anauria;;;;;;;;;x
d_anauria_adj;Anaurian;;anaurer;;;;;;;;;;;x
d_angalpuk;Angalpuk;Angalpuk;Angalpuk;;Angalpuk;;;;;;;;;x
d_angalpuk_adj;Angalpukian;;angalpuker;;;;;;;;;;;x
d_ankaram;Ankaram;Ankaram;Ankaram;;Ankaram;;;;;;;;;x
d_ankaram_adj;Ankaramian;;ankaramer;;;;;;;;;;;x
d_arakin;Arakin;Arakin;Arakin;;Arakin;;;;;;;;;x
d_arakin_adj;Arakinian;;arakiner;;;;;;;;;;;x
d_araumtycos;Araumtycos;Araumtycos;Araumtycos;;Araumtycos;;;;;;;;;x
d_araumtycos_adj;Araumtycosian;;araumtycoser;;;;;;;;;;;x
d_ardulith_vale;Ardulith Vale;Ardulith Vale;Ardulith Vale;;Ardulith Vale;;;;;;;;;x
d_ardulith_vale_adj;Ardulith Valean;;Ardulith Valer;;;;;;;;;;;x
d_arnaden;Arnaden;Arnaden;Arnaden;;Arnaden;;;;;;;;;x
d_arnaden_adj;Arnadenian;;arnadener;;;;;;;;;;;x
d_arundi;Arundi;Arundi;Arundi;;Arundi;;;;;;;;;x
d_arundi_adj;Arundian;;arunder;;;;;;;;;;;x
d_asanibis;Asanibis;Asanibis;Asanibis;;Asanibis;;;;;;;;;x
d_asanibis_adj;Asanibisian;;asanibiser;;;;;;;;;;;x
d_ashanath;Ashanath;Ashanath;Ashanath;;Ashanath;;;;;;;;;x
d_ashanath_adj;Ashanathian;;ashanather;;;;;;;;;;;x
d_backlands;Backlands;Backlands;Backlands;;Backlands;;;;;;;;;x
d_backlands_adj;Backlandsian;;backlandser;;;;;;;;;;;x
d_bakar;Bakar;Bakar;Bakar;;Bakar;;;;;;;;;x
d_bakar_adj;Bakarian;;bakarer;;;;;;;;;;;x
d_baldurs_gate;Baldur's Gate;Baldur's Gate;Baldur's Gate;;Baldur's Gate;;;;;;;;;x
d_baldurs_gate_adj;Baldurs Gatean;;Baldur's Gater;;;;;;;;;;;x
d_bandit_wastes;Bandit Wastes;Bandit Wastes;Bandit Wastes;;Bandit Wastes;;;;;;;;;x
d_bandit_wastes_adj;Bandit Wastesian;;Bandit Wasteser;;;;;;;;;;;x
d_barakuir;Barakuir;Barakuir;Barakuir;;Barakuir;;;;;;;;;x
d_barakuir_adj;Barakuirian;;barakuirer;;;;;;;;;;;x
d_barbarian_marches;Barbarian Marches;Barbarian Marches;Barbarian Marches;;Barbarian Marches;;;;;;;;;x
d_barbarian_marches_adj;Barbarian Marchesian;;Barbarian Marcheser;;;;;;;;;;;x
d_bay_of_kings;Bay of Kings;Bay of Kings;Bay of Kings;;Bay of Kings;;;;;;;;;x
d_bay_of_kings_adj;Bay of Kingsian;;Bay of Kingser;;;;;;;;;;;x
d_blackwilds;Blackwilds;Blackwilds;Blackwilds;;Blackwilds;;;;;;;;;x
d_blackwilds_adj;Blackwildsian;;blackwildser;;;;;;;;;;;x
d_blingdenstone;Blingdenstone;Blingdenstone;Blingdenstone;;Blingdenstone;;;;;;;;;x
d_blingdenstone_adj;Blingdenstonean;;blingdenstoner;;;;;;;;;;;x
d_border_forest;Border Forest;Border Forest;Border Forest;;Border Forest;;;;;;;;;x
d_border_forest_adj;Border Forestian;;Border Forester;;;;;;;;;;;x
