#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
e_ama;Ama;Ama;Ama;;Ama;;;;;;;;;x
e_ama_adj;Aman;;amer;;;;;;;;;;;x
e_amn;Amn;Amn;Amn;;Amn;;;;;;;;;x
e_amn_adj;Amnian;;amner;;;;;;;;;;;x
e_anauroch;Anauroch;Anauroch;Anauroch;;Anauroch;;;;;;;;;x
e_anauroch_adj;Anaurochian;;anaurocher;;;;;;;;;;;x
e_calim_empire;Calim Empire;Calim Empire;Calim Empire;;Calim Empire;;;;;;;;;x
e_calim_empire_adj;Calim Empirean;;Calim Empirer;;;;;;;;;;;x
e_chondath;Chondath;Chondath;Chondath;;Chondath;;;;;;;;;x
e_chondath_adj;Chondathian;;chondather;;;;;;;;;;;x
e_chult;Chult;Chult;Chult;;Chult;;;;;;;;;x
e_chult_adj;Chultian;;chulter;;;;;;;;;;;x
e_cold_lands;Cold Lands;Cold Lands;Cold Lands;;Cold Lands;;;;;;;;;x
e_cold_lands_adj;Cold Landsian;;Cold Landser;;;;;;;;;;;x
e_cormanthor;Cormanthor;Cormanthor;Cormanthor;;Cormanthor;;;;;;;;;x
e_cormanthor_adj;Cormanthorian;;cormanthorer;;;;;;;;;;;x
e_easting_reach;Easting Reach;Easting Reach;Easting Reach;;Easting Reach;;;;;;;;;x
e_easting_reach_adj;Easting Reachian;;Easting Reacher;;;;;;;;;;;x
e_evermeet;Evermeet;Evermeet;Evermeet;;Evermeet;;;;;;;;;x
e_evermeet_adj;Evermeetian;;evermeeter;;;;;;;;;;;x
e_fallen_stars;Fallen Stars;Fallen Stars;Fallen Stars;;Fallen Stars;;;;;;;;;x
e_fallen_stars_adj;Fallen Starsian;;Fallen Starser;;;;;;;;;;;x
e_golden_lands;Golden Lands;Golden Lands;Golden Lands;;Golden Lands;;;;;;;;;x
e_golden_lands_adj;Golden Landsian;;Golden Landser;;;;;;;;;;;x
e_halruaa;Halruaa;Halruaa;Halruaa;;Halruaa;;;;;;;;;x
e_halruaa_adj;Halruaan;;halrer;;;;;;;;;;;x
e_katakoro;Katakoro;Katakoro;Katakoro;;Katakoro;;;;;;;;;x
e_katakoro_adj;Katakorian;;katakorer;;;;;;;;;;;x
e_lapaliiya;Lapaliiya;Lapaliiya;Lapaliiya;;Lapaliiya;;;;;;;;;x
e_lapaliiya_adj;Lapaliiyan;;lapaler;;;;;;;;;;;x
e_mulhorand;Mulhorand;Mulhorand;Mulhorand;;Mulhorand;;;;;;;;;x
e_mulhorand_adj;Mulhorandian;;mulhorander;;;;;;;;;;;x
e_north_zakhara;North Zakhara;North Zakhara;North Zakhara;;North Zakhara;;;;;;;;;x
e_north_zakhara_adj;North Zakharan;;North Zakharer;;;;;;;;;;;x
e_northern_realms;Northern Realms;Northern Realms;Northern Realms;;Northern Realms;;;;;;;;;x
e_northern_realms_adj;Northern Realmsian;;Northern Realmser;;;;;;;;;;;x
e_raumathar;Raumathar;Raumathar;Raumathar;;Raumathar;;;;;;;;;x
e_raumathar_adj;Raumatharian;;raumatharer;;;;;;;;;;;x
e_shaar;Shaar;Shaar;Shaar;;Shaar;;;;;;;;;x
e_shaar_adj;Shaarian;;shaarer;;;;;;;;;;;x
e_shanatar;Shanatar;Shanatar;Shanatar;;Shanatar;;;;;;;;;x
e_shanatar_adj;Shanatarian;;shanatarer;;;;;;;;;;;x
e_shao_shan;Shao Shan;Shao Shan;Shao Shan;;Shao Shan;;;;;;;;;x
e_shao_shan_adj;Shao Shanian;;Shao Shaner;;;;;;;;;;;x
e_shining_south;Shining South;Shining South;Shining South;;Shining South;;;;;;;;;x
e_shining_south_adj;Shining Southian;;Shining Souther;;;;;;;;;;;x
e_sword_coast;Sword Coast;Sword Coast;Sword Coast;;Sword Coast;;;;;;;;;x
e_sword_coast_adj;Sword Coastian;;Sword Coaster;;;;;;;;;;;x
e_tethyr;Tethyr;Tethyr;Tethyr;;Tethyr;;;;;;;;;x
e_tethyr_adj;Tethyrian;;tethyrer;;;;;;;;;;;x
e_the_darklands;The Darklands;The Darklands;The Darklands;;The Darklands;;;;;;;;;x
e_the_darklands_adj;The Darklandsian;;The Darklandser;;;;;;;;;;;x
e_the_northdark;The Northdark;The Northdark;The Northdark;;The Northdark;;;;;;;;;x
e_the_northdark_adj;The Northdarkian;;The Northdarker;;;;;;;;;;;x
e_trackless_sea;Trackless Sea;Trackless Sea;Trackless Sea;;Trackless Sea;;;;;;;;;x
e_trackless_sea_adj;Trackless Sean;;Trackless Ser;;;;;;;;;;;x
e_unther;Unther;Unther;Unther;;Unther;;;;;;;;;x
e_unther_adj;Untherian;;untherer;;;;;;;;;;;x
e_western_heartlands;Western Heartlands;Western Heartlands;Western Heartlands;;Western Heartlands;;;;;;;;;x
e_western_heartlands_adj;Western Heartlandsian;;Western Heartlandser;;;;;;;;;;;x
e_western_shou_lung;Western Shou Lung;Western Shou Lung;Western Shou Lung;;Western Shou Lung;;;;;;;;;x
e_western_shou_lung_adj;Western Shou Lungian;;Western Shou Lunger;;;;;;;;;;;x
e_yaimunnahar;Yaïmunnahar;Yaïmunnahar;Yaïmunnahar;;Yaïmunnahar;;;;;;;;;x
e_yaimunnahar_adj;Yaïmunnaharian;;yaïmunnaharer;;;;;;;;;;;x
e_yikarian_empire;Yikarian Empire;Yikarian Empire;Yikarian Empire;;Yikarian Empire;;;;;;;;;x
e_yikarian_empire_adj;Yikarian Empirean;;Yikarian Empirer;;;;;;;;;;;x
