#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
k_aglarond;Aglarond;Aglarond;Aglarond;;Aglarond;;;;;;;;;x
k_aglarond_adj;Aglarondian;;aglaronder;;;;;;;;;;;x
k_altumbel;Altumbel;Altumbel;Altumbel;;Altumbel;;;;;;;;;x
k_altumbel_adj;Altumbelian;;altumbeler;;;;;;;;;;;x
k_ama;Ama;Ama;Ama;;Ama;;;;;;;;;x
k_ama_adj;Aman;;amer;;;;;;;;;;;x
k_amn;Amn;Amn;Amn;;Amn;;;;;;;;;x
k_amn_adj;Amnian;;amner;;;;;;;;;;;x
k_anauria;Anauria;Anauria;Anauria;;Anauria;;;;;;;;;x
k_anauria_adj;Anaurian;;anaurer;;;;;;;;;;;x
k_arakin;Arakin;Arakin;Arakin;;Arakin;;;;;;;;;x
k_arakin_adj;Arakinian;;arakiner;;;;;;;;;;;x
k_arnaden;Arnaden;Arnaden;Arnaden;;Arnaden;;;;;;;;;x
k_arnaden_adj;Arnadenian;;arnadener;;;;;;;;;;;x
k_baldurs_gate;Baldur's Gate;Baldur's Gate;Baldur's Gate;;Baldur's Gate;;;;;;;;;x
k_baldurs_gate_adj;Baldurs Gatean;;Baldur's Gater;;;;;;;;;;;x
k_border_kingdoms;Border Kingdoms;Border Kingdoms;Border Kingdoms;;Border Kingdoms;;;;;;;;;x
k_border_kingdoms_adj;Border Kingdomsian;;Border Kingdomser;;;;;;;;;;;x
k_calimshan;Calimshan;Calimshan;Calimshan;;Calimshan;;;;;;;;;x
k_calimshan_adj;Calimshanian;;calimshaner;;;;;;;;;;;x
k_ched_nasad;Ched Nasad;Ched Nasad;Ched Nasad;;Ched Nasad;;;;;;;;;x
k_ched_nasad_adj;Ched Nasadian;;Ched Nasader;;;;;;;;;;;x
k_chessenta;Chessenta;Chessenta;Chessenta;;Chessenta;;;;;;;;;x
k_chessenta_adj;Chessentan;;chessenter;;;;;;;;;;;x
