#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
magocratic_feudal_government;Magocracy;;;;;;;;;;x
magocratic_feudal_government_desc;In a magocracy, aptitude with the great Art of magic is seen as the primary qualification for rulership.;;;;;;;;;;x
magic_elective;Wizardly Elective;;;;;;;;;;x
succ_magic_elective;Wizardly Elective;;;;;;;;;;x
succ_magic_elective_desc;Arcane spellcasters are the majority of the electors, and those with great arcane talents are favoured for election.;;;;;;;;;;x
tooltip_feudal_elector_vote_knows_no_art;[From.GetFirstName] knows not the great Art;;;;;;;;;;x
tooltip_feudal_elector_vote_bard;[From.GetFirstName] is a bard;;;;;;;;;;x
tooltip_feudal_elector_vote_great_bard;[From.GetFirstName] is a truly great bard;;;;;;;;;;x
tooltip_feudal_elector_vote_sorcerer;[From.GetFirstName] is a sorcerer;;;;;;;;;;x
tooltip_feudal_elector_vote_great_sorcerer;[From.GetFirstName] is a highly accomplished sorcerer;;;;;;;;;;x
tooltip_feudal_elector_vote_warlock;[From.GetFirstName] is a warlock;;;;;;;;;;x
tooltip_feudal_elector_vote_great_warlock;[From.GetFirstName] is a masterful warlock;;;;;;;;;;x
tooltip_feudal_elector_vote_wizard;[From.GetFirstName] is a wizard;;;;;;;;;;x
tooltip_feudal_elector_vote_great_wizard;[From.GetFirstName] is a most learned wizard;;;;;;;;;;x
tooltip_feudal_elector_vote_legendary;[From.GetFirstName]'s deeds are the stuff of legend;;;;;;;;;;x
tooltip_feudal_elector_vote_bard_match;A bard like me;;;;;;;;;;x
tooltip_feudal_elector_vote_sorcerer_match;A sorcerer like me;;;;;;;;;;x
tooltip_feudal_elector_vote_warlock_match;A warlock like me;;;;;;;;;;x
tooltip_feudal_elector_vote_wizard_match;A wizard like me;;;;;;;;;;x
tooltip_feudal_elector_vote_immortal_magic;[From.GetFirstName] will surely outlive me;;;;;;;;;;x
tooltip_feudal_elector_vote_immortal_magic_immortal;[From.GetFirstName] is admirably long-lived;;;;;;;;;;x
tooltip_feudal_elector_vote_tattooed_thayan;A man with tattoos is an unfit ruler;;;;;;;;;;x
tooltip_feudal_elector_pro_vote_ruler_possessed;Chosen by a ruler possessed by a powerful spirit;;;;;;;;;;x
tooltip_feudal_elector_pro_vote_ruler_tyrant;Chosen by an admirably ruthless tyrant;;;;;;;;;;x
tooltip_feudal_vote_strength_magocracy_learning;[From.GetFirstName] is very learned;;;;;;;;;;x
tooltip_feudal_elector_vote_possessed_warlock;[From.GetFirstName] is possessed by a powerful spirit;;;;;;;;;;x
tooltip_feudal_elector_vote_evil_positive;I like [From.GetFirstName]'s attitude;;;;;;;;;;x
tooltip_feudal_elector_vote_deceitful_positive;[From.GetFirstName] is not bound by truthfulness;;;;;;;;;;x
tooltip_feudal_elector_vote_cruel_positive;[From.GetFirstName] is delightfully cruel;;;;;;;;;;x
tooltip_feudal_vote_zulkir_for_regent;[From.GetFirstName] is a powerful zulkir;;;;;;;;;;x
tooltip_feudal_vote_zulkir_only_once;[From.GetFirstName] is already a zulkir;;;;;;;;;;x
