#Misc reusable stuff
TB_OPT_MORE;More;;;;;;;;;;;;;x
TB_OPT_BACK;Back;;;;;;;;;;;;;x
#Abyss Cult stuff
LORDS_OF_THE_ABYSS;[CustAbyssLords];;;;;;;;;;;;;x
baphomet;Baphomet;;;;;;;;;;;;;x
dagon;Dagon;;;;;;;;;;;;;x
demogorgon;Demogorgon;;;;;;;;;;;;;x
eltab;Eltab;;;;;;;;;;;;;x
fraz_urbluu;Fraz-Urb'luu;;;;;;;;;;;;;x
grankhul;Grankhul;;;;;;;;;;;;;x
grazzt;Graz'zt;;;;;;;;;;;;;x
jubilex;Jubilex;;;;;;;;;;;;;x
kostchtchie;Kostchtchie;;;;;;;;;;;;;x
malcanthet;Malcanthet;;;;;;;;;;;;;x
oublivae;Oublivae;;;;;;;;;;;;;x
orcus;Orcus;;;;;;;;;;;;;x
pazuzu;Pazuzu;;;;;;;;;;;;;x
sess_inek;Sess'innek;;;;;;;;;;;;;x
skiggaret;Skiggaret;;;;;;;;;;;;;x
sseth;Sseth;;;;;;;;;;;;;x
yeenoghu;Yeenoghu;;;;;;;;;;;;;x
zuggtmoy;Zuggtmoy;;;;;;;;;;;;;x
the_abyss;the Abyss;;;;;;;;;;;;;x
grankhul_and_skiggaret;Grankhul and Skiggaret;;;;;;;;;;;;;x
patron_baphomet;Cultist of Baphomet;;;;;;;;;;;;;x
patron_dagon;Cultist of Dagon;;;;;;;;;;;;;x
patron_demogorgon; Cultist of Demogorgon;;;;;;;;;;;;;x
patron_eltab;Cultist of Eltab;;;;;;;;;;;;;x
patron_fraz_urb_luu;Cultist of Fraz-Urb'luu;;;;;;;;;;;;;x
patron_grankhul_and_skiggaret;Cultist of Grankhul and Skiggaret;;;;;;;;;;;;;x
patron_graz_zt;Cultist of Graz'zt;;;;;;;;;;;;;x
patron_jubilex;Cultist of Jubilex;;;;;;;;;;;;;x
patron_kostchtchie;Cultist of Kostchtchie;;;;;;;;;;;;;x
patron_malcanthet;Cultist of Malcanthet;;;;;;;;;;;;;x
patron_oublivae;Cultist of Oublivae;;;;;;;;;;;;;x
patron_orcus;Cultist of Orcus;;;;;;;;;;;;;x
patron_pazuzu;Cultist of Pazuzu;;;;;;;;;;;;;x
patron_sess_innek;Cultist of Sess'innek;;;;;;;;;;;;;x
patron_sseth;Cultist of Sseth;;;;;;;;;;;;;x
patron_yeenoghu;Cultist of Yeenoghu;;;;;;;;;;;;;x
patron_zuggtmoy;Cultist of Zuggtmoy;;;;;;;;;;;;;x
archdevils;Archdevils;;;;;;;;;;;;;x
abyssal_patrons;Choose an Abyssal Patron;;;;;;;;;;;;;x
abyssal_patrons_desc;There are many Demon Lords ruling the Abyss, some of which are even willing to reward mortals in return for worship and obedience.;;;;;;;;;;;;;x
ABYSSPATR.1;The Lords of the Abyss are many, but all demand exclusive worship. Who whill you serve?;;;;;;;;;;;;;x
ABYSSPATR.1a;A Demon Lord that favours my own race.;;;;;;;;;;;;;x
ABYSSPATR.1b;One of the greatest in the Abyss.;;;;;;;;;;;;;x
ABYSSPATR.1c;The most devious of all demons.;;;;;;;;;;;;;x
ABYSSPATR.2a;The Lords of violence and fury.;;;;;;;;;;;;;x
ABYSSPATR.2b;The most esoteric of Demon Lords.;;;;;;;;;;;;;x
ABYSSPATR.3a;Baphomet, the Prince of Beasts;;;;;;;;;;;;;x
ABYSSPATR.3b;Grankhul and Skiggaret, Bugbear Gods;;;;;;;;;;;;;x
ABYSSPATR.3c;Sess'innek, the Lord of Dominion;;;;;;;;;;;;;x
ABYSSPATR.3d;Sseth, God of Traps and Poison;;;;;;;;;;;;;x
ABYSSPATR.3e;Yeenoghu, the Beast of Butchery;;;;;;;;;;;;;x
ABYSSPATR.4a;Demogorgon, the Prince of Demons;;;;;;;;;;;;;x
ABYSSPATR.4b;Orcus, the Blood Lord;;;;;;;;;;;;;x
ABYSSPATR.4c;Pazuzu, the Dark Angel of the Four Winds;;;;;;;;;;;;;x
ABYSSPATR.5a;Graz'zt, the Dark Prince;;;;;;;;;;;;;x
ABYSSPATR.5b;Malcanthet, Queen of Succubi;;;;;;;;;;;;;x
ABYSSPATR.5c;Fraz-Urb'luu, the Prince of Deception;;;;;;;;;;;;;x
ABYSSPATR.6a;Kostchtchie, the Prince of Wrath;;;;;;;;;;;;;x
ABYSSPATR.6b;Eltab, the Hidden;;;;;;;;;;;;;x
ABYSSPATR.6b;Oublivae, Queen of Desolation;;;;;;;;;;;;;x
ABYSSPATR.7a;Dagon, Prince of the Depths;;;;;;;;;;;;;x
ABYSSPATR.7b;Jubilex, the Lord of Slime;;;;;;;;;;;;;x
ABYSSPATR.7c;Zuggtmoy, the Lady of Fungi;;;;;;;;;;;;;x
