#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
job_marshal_drow;Weapon Master;;;;;;;;;;;;;x
job_marshal_female_drow;Weapon Master;;;;;;;;;;;;;x
city_job_chancellor_amnian;Tessarch;;;;;;;;;;;;;x
city_job_treasurer_amnian;Namarch;;;;;;;;;;;;;x
city_job_spymaster_amnian;Iltarch;;;;;;;;;;;;;x
city_job_spiritual_amnian;Pommarch;;;;;;;;;;;;;x
city_job_marshal_amnian;Dahaunarch;;;;;;;;;;;;;x
title_queen_mother_mulhorandi;Mewet Pharaoh;Mewet Pharaon;Mewet Pharaoh;;Mewet Pharaoh;;;;;;;;;x
job_chancellor_mulhorandi;Vizier;Vizir;Wesir;;Visir;;;;;;;;;x
job_marshal_mulhorandi;Sesemut;Sesemut;Sesemut;;Sesemut;;;;;;;;;x
job_spiritual_mulhorandi;Xroj;Xroj;Xroj;;Xroj;;;;;;;;;x
job_treasurer_mulhorandi;Pruj-Hdoj;Pruj-Hdoj;Pruj-Hdoj;;Pruj-Hdoj;;;;;;;;;x
title_regent_mulhorandi;Grand Vizier;Grand Vizir;Grand Wesir;;Grand Visir;;;;;;;;;x
job_chancellor_untheric;Rabshakeh;Rabshakeh;Rabshakeh;;Rabshakeh;;;;;;;;;x
title_regent_shoon;Riqysar;;;;;;;;;;;;;x
job_viceroy_shoon name;Satrap;;;;;;;;;;;;;x
title_commander_calishite;Qayadin;;;;;;;;;;;;;x
title_paramount_knight_calishite;Syl-Djawal;;;;;;;;;;;;;x
job_chancellor_calishite;Vizar;;;;;;;;;;;;;x
job_chancellor_female_calishite;Vizara;;;;;;;;;;;;;x
job_treasurer_calishite;Mitalib;;;;;;;;;;;;;x
job_treasurer_female_calishite;Mitalibba;;;;;;;;;;;;;x
title_regent_thayan;Vice-Regent;;;;;;;;;;;;x
title_regent_impilturan;Ranal;;;;;;;;;;;;x
