#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
focus_rogue_title;Rogue;;;;;;;;;;;x
focus_rogue_desc;Train to become a rogue.;;;;;;;;;;;x
focus_druid_title;Druid;;;;;;;;;;;x
focus_druid_desc;Train to become a druid.;;;;;;;;;;;x
focus_paladin_title;Paladin;;;;;;;;;;;x
focus_paladin_desc;Train to become a paladin.;;;;;;;;;;;x
focus_cleric_title;Cleric;;;;;;;;;;;x
focus_cleric_desc;Train to become a cleric.;;;;;;;;;;;x
focus_magister_title;Magister;;;;;;;;;;;x
focus_magister_desc;Train to become a magister.;;;;;;;;;;;x
focus_chosen_of_mystra_title;Chosen of Mystra;;;;;;;;;;;x
focus_chosen_of_mystra_desc;Train to become a Chosen of Mystra.;;;;;;;;;;;x
