#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
subterranean;Subterranean;;;;;;;;;;;;;x
glacier;Glacier;;;;;;;;;;;;;x
coastal;Coastal;;;;;;;;;;;;;x
evereska_region;Evereska;;;;;;;;;;;;;x
backlands_region;Backlands;;;;;;;;;;;;;x
silver_marches_region;The Silver Marches;;;;;;;;;;;;;x
icewind_dale_region;Icewind Dale;;;;;;;;;;;;;x
savage_frontier_region;The Savage Frontier;;;;;;;;;;;;;x
high_forest_region;High Forest;;;;;;;;;;;;;x
sword_coast_north_region;Sword Coast North;;;;;;;;;;;;;x
sword_coast_region;The Sword Coast;;;;;;;;;;;;;x
northwest_faerun_region;Northwest Faerûn;;;;;;;;;;;;;x
southeast_faerun_region;Southeast Faerûn;;;;;;;;;;;;;x
south_faerun_region;South Faerûn;;;;;;;;;;;;;x
amn_region;Amn;;;;;;;;;;;;;x
tethyr_region;Tethyr;;;;;;;;;;;;;x
erlkazar_region;Erlkazar;;;;;;;;;;;;;x
calimshan_region;Calimshan;;;;;;;;;;;;;x
wealdath_region;Wealdath;;;;;;;;;;;;;x
lands_of_intrigue_region;The Lands of Intrigue;;;;;;;;;;;;;x
cormyr_region;Cormyr;;;;;;;;;;;;;x
sembia_region;Sembia;;;;;;;;;;;;;x
dragon_coast_region;The Dragon Coast;;;;;;;;;;;;;x
chondath_region;Chondath;;;;;;;;;;;;;x
sespech_region;Sespech;;;;;;;;;;;;;x
turmish_region;Turmish;;;;;;;;;;;;;x
vilhon_reach_region;The Vilhon Reach;;;;;;;;;;;;;x
interior_faerun_region;Interior Faerûn;;;;;;;;;;;;;x
aglarond_region;Aglarond;;;;;;;;;;;;;x
chessenta_region;Chessenta;;;;;;;;;;;;;x
dalelands_region;The Dalelands;;;;;;;;;;;;;x
impiltur_region;Impiltur;;;;;;;;;;;;;x
mulhorand_region;Mulhorand;;;;;;;;;;;;;x
thay_region;Thay;;;;;;;;;;;;;x
thesk_region;Thesk;;;;;;;;;;;;;x
unther_region;Unther;;;;;;;;;;;;;x
the_vast_region;The Vast;;;;;;;;;;;;;x
cormanthor_region;Cormanthor;;;;;;;;;;;;;x
moonsea_region;The Moonsea;;;;;;;;;;;;;x
great_dale_region;The Great Dale;;;;;;;;;;;;;x
sea_of_fallen_stars_region;The Sea of Fallen Stars;;;;;;;;;;;;;x
rashemen_region;Rashemen;;;;;;;;;;;;;x
narfell_region;Narfell;;;;;;;;;;;;;x
vaasa_region;Vassa;;;;;;;;;;;;;x
damara_region;Damara;;;;;;;;;;;;;x
tortured_lands_region;The Tortured Lands;;;;;;;;;;;;;x
cold_lands_region;The Cold Lands;;;;;;;;;;;;;x
khassidi_region;Khassidi;;;;;;;;;;;;;x
oigur_region;Oigur;;;;;;;;;;;;;x
quirish_region;Quirish;;;;;;;;;;;;;x
fankiang_region;Fankiang;;;;;;;;;;;;;x
pazruki_region;Pazruki;;;;;;;;;;;;;x
tuigan_region;Tuigan;;;;;;;;;;;;;x
gur_region;Gur;;;;;;;;;;;;;x
katakoro_plataeu_region;The Katakoro Plateau;;;;;;;;;;;;;x
ra_khati_region;Ra-Khati;;;;;;;;;;;;;x
naican_region;Naican;;;;;;;;;;;;;x
commani_region;Commani;;;;;;;;;;;;;x
shalhoond_region;Shalhoond;;;;;;;;;;;;;x
semphar_region;Semphar;;;;;;;;;;;;;x
murghom_region;Murghom;;;;;;;;;;;;;x
songfarla_region;Songfarla;;;;;;;;;;;;;x
shamlaba_region;Shamlaba;;;;;;;;;;;;;x
zamogedi_region;Zamogedi;;;;;;;;;;;;;x
khazari_region;Khazari;;;;;;;;;;;;;x
hordelands_region;The Hordelands;;;;;;;;;;;;;x
western_shaar_region;The Western Shaar;;;;;;;;;;;;;x
eastern_shaar_region;The Easter Shaar;;;;;;;;;;;;;x
great_rift_region;The Great Rift;;;;;;;;;;;;;x
lake_of_steam_region;The Lake of Steam;;;;;;;;;;;;;x
the_shaar_region;The Shaar;;;;;;;;;;;;;x
halruaa_region;Halruaa;;;;;;;;;;;;;x
