#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
BLACK_ALARIC;Black Alaric;;;;;;;;;;;;x
GRAND_VIZIER;Grand Vizier;;;;;;;;;;;;x
GRAND_VIZARA;Grand Vizara;;;;;;;;;;;;x
OPEN_LORD;Open Lord;;;;;;;;;;;;x
WARLORD;Warlord;;;;;;;;;;;;x
MEISARCH;Meisarch;;;;;;;;;;;;x
LOTUS_EMPEROR;Lotus Emperor;;;;;;;;;;;;x
LOTUS_FOA;Auspicious Majesty;;;;;;;;;;;;x
CALIPH;Caliph;;;;;;;;;;;;x
CALIPHA;Calipha;;;;;;;;;;;;x
CALIPH_FOA;Excellency;;;;;;;;;;;;x
GREAT_LAMA;Great Lama;;;;;;;;;;;;x
LAMA_FOA;All-Holiness;;;;;;;;;;;;x
SYLPASHA;Syl-Pasha;;;;;;;;;;;;x
VEN;Ven;;;;;;;;;;;;x
THULTYRL;Thultyrl;;;;;;;;;;;;x
HIGH_BLADE;High Blade;;;;;;;;;;;;x
MOST_HIGH_BLADE;Most High Blade;;;;;;;;;;;;x
T_REGENT;High Regent;;;;;;;;;;;;x
GRANDDUKE;Grand Duke;;;;;;;;;;;;x
GRAND_MAIRSHAR;Grand Mairshar;;;;;;;;;;;x
BURGHER;Burgher;;;;;;;;;;;x
LORDBARON;Lord Baron;;;;;;;;;;;x
LADYBARONESS;Lady Baroness;;;;;;;;;;;x
GOVERNOR;Governor;;;;;;;;;;;x
FIRSTLORD;First Lord;;;;;;;;;;;x
FIRSTLADY;First Lady;;;;;;;;;;;x
GRANDMASTER;Grand Master;;;;;;;;;;;x
RANSAR;Ransar;;;;;;;;;;;x
SATRAP;Satrap;;;;;;;;;;;x
OLANGER;Olanger;;;;;;;;;;;x
KHALDOMAUN;Khaldomaun;;;;;;;;;;;x
HIGHLORD;High Lord;;;;;;;;;;;x
HIGHLADY;High Lady;;;;;;;;;;;x
SYLVIZAR;Syl-Vizar;;;;;;;;;;;x
RULINGMASTER;Ruling Master;;;;;;;;;;;x
PHANTASMAGE;High Phantasmage;;;;;;;;;;;x
ZULKIR;Zulkir;;;;;;;;;;;x
ZULKIRATEOF;Zulkirate of;;;;;;;;;;;x
PRINCE;Prince;;;;;;;;;;;x
PRINCESS;Princess;;;;;;;;;;;x
FIRSTCONSUL;First Consul;;;;;;;;;;;x
ELDERMAN;Elderman;;;;;;;;;;;x
ELDERWOMAN;Elderwoman;;;;;;;;;;;x
MARCHION;Marchion;;;;;;;;;;;x
MARCHIONESS;Marchioness;;;;;;;;;;;x
WATERBARON;Waterbaron;;;;;;;;;;;x
FIRSTSPEAKER;Firstspeaker;;;;;;;;;;;x
LORDPROTECTOR;Lord Protector;;;;;;;;;;;x
LADYPROTECTOR;Lady Protector;;;;;;;;;;;x
HIGH_PRIEST;High Priest;;;;;;;;;;;x
HIGH_PRIESTESS;High Priestess;;;;;;;;;;;x
HIGH_PRIEST_FOA;Excellency;;;;;;;;;;;x
MAGUS;Magus;;;;;;;;;;;x
MAGUS_FOA;Serenity;;;;;;;;;;;x
SCEPTANAR;Sceptanar;;;;;;;;;;;x
SCEPTANAR_FOA;Serene Highness;;;;;;;;;;;x
LORD;Lord;;;;;;;;;;;x
LADY;Lady;;;;;;;;;;;x
LORD_FOA;Honoured Sir;;;;;;;;;;;x
STORMWALKER;Stormwalker;;;;;;;;;;;x
NAZIR;Nazir;;;;;;;;;;;x
NAZIRA;Nazira;;;;;;;;;;;x
SHOONSAR;Shoonsar;;;;;;;;;;;x
HIGHLAPALYTH;High Lapalyth;;;;;;;;;;;x
MARGRAVE;Margrave;;;;;;;;;;;x
MARGRAVINE;Margravine;;;;;;;;;;;x
NEGUS;Negus;;;;;;;;;;;x
NEGIST;Negist;;;;;;;;;;;x
EMIR;Emir;;;;;;;;;;;x
EMIRA;Emira;;;;;;;;;;;x
