#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
d_faerun_liberation_front;Faerun Liberation Front;;;;;;;;;;;;;x
k_peoples_democratic_republic_of_Faerun;People's Democratic Republic of Faerun;;;;;;;;;;;;;x
e_Peoples_Democratic_Empire_of_Faerun;Empire of the Common Man;;;;;;;;;;;;;x
b_de_ambrosius;de Ambrosius;;;;;;;;;;;;;x


d_anaconda;Anaconda;;;;;;;;;;;;;x
d_blacktalons_mercenary_company;Blacktalons Mercenary Company;;;;;;;;;;;;;x
d_bloodaxe_mercenary_company;Bloodaxe Mercenary Company;;;;;;;;;;;;;x
d_blue_sigil;Blue Sigil;;;;;;;;;;;;;x
d_bold_blades_of_berdusk;Bold Blades of Berdusk;;;;;;;;;;;;;x
d_bushido;Bushido;;;;;;;;;;;;;x
d_chill;Chill;;;;;;;;;;;;;x
d_clan_hammerhand;Clan Hammerhand;;;;;;;;;;;;;x
d_company_of_hunnar;Company of Hunnar;;;;;;;;;;;;;x
d_company_of_the_singing_dawn;Company of the Singing Dawn;;;;;;;;;;;;;x
d_dark_watch;Dark Watch;;;;;;;;;;;;;x
d_destroyers;Destroyers;;;;;;;;;;;;;x
d_jaguar_guard;Jaguar Guard;;;;;;;;;;;;;x
d_llandrydds_steel;Llandrydd's Steel;;;;;;;;;;;;;x
d_mercenaries_guild_of_westgate;Mercenaries Guild of Westgate;;;;;;;;;;;;;x
d_dragonmen;Dragonmen;;;;;;;;;;;;;x
d_mindulgulph_mercenary_company;Mindulgulph Mercenary Company;;;;;;;;;;;;;x
d_order_of_the_blue_boar;Order of the Blue Boar;;;;;;;;;;;;;x
d_order_of_the_silver_lance;Order of the Silver Lance;;;;;;;;;;;;;x
d_red_ravens;Red Ravens;;;;;;;;;;;;;x
d_red_thunder_mercenary_corps;Red Thunder Mercenary Corps;;;;;;;;;;;;;x
d_renegades;Renegades;;;;;;;;;;;;;x
d_sailors_of_the_crimson_sea;Sailors of the Crimson Sea;;;;;;;;;;;;;x
d_servants_of_the_royal_egg;Servants of the Royal Egg;;;;;;;;;;;;;x
d_shard;Shard;;;;;;;;;;;;;x
d_she_wolves;She-Wolves;;;;;;;;;;;;;x
d_shieldbreakers;Shieldbreakers;;;;;;;;;;;;;x
d_silent_rain;Silent Rain;;;;;;;;;;;;;x
d_sirocco;Sirocco;;;;;;;;;;;;;x
d_sisterhood_of_the_oaks;Sisterhood of the Oaks;;;;;;;;;;;;;x
d_society_of_the_sword;Society of the Sword;;;;;;;;;;;;;x
d_teeth;Teeth;;;;;;;;;;;;;x
d_veterans_guild_of_ravens_bluff;Veterans Guild of Raven's Bluff;;;;;;;;;;;;;x
d_windriders;Windriders;;;;;;;;;;;;;x
d_wraith_of_the_inner_sea;Wraith of the Inner Sea;;;;;;;;;;;;;x
d_zaharas_krakens;Zahara's Krakens;;;;;;;;;;;;;x
d_masquerade;Masquerade;;;;;;;;;;;;;x
d_golden_legion;Golden Legion;;;;;;;;;;;;;x
d_riders_of_nesme;Riders of Nesmé;;;;;;;;;;;;;x
d_sammarths_sword;Sammarth's Sword;;;;;;;;;;;;;x
d_moonlight_men;Moonlight Men;;;;;;;;;;;;;x
d_shining_steel_mercenary_company;Shining Steel Mercenary Company;;;;;;;;;;;;;x
d_red_plumes_of_hillsfar;Red Plumes;;;;;;;;;;;;;x
d_company_of_the_wolf;Company of the Wolf;;;;;;;;;;;;;x
d_knights_of_the_unicorn;Knights of the Unicorn;;;;;;;;;;;;;x
d_purple_flame;Purple Flame;;;;;;;;;;;;;x
d_black_watch;Black Watch;;;;;;;;;;;;;x
d_hand_behind_the_mirror;Hand Behind the Mirror;;;;;;;;;;;;;x
d_order_of_the_sapphire_crescent;Order of the Sapphire Crescent;;;;;;;;;;;;;x
d_red_brigade;Red Brigade;;;;;;;;;;;;;x
d_red_flayers;Red Flayers;;;;;;;;;;;;;x
d_red_shields;Red Shields;;;;;;;;;;;;;x
d_red_spears;Red Spears;;;;;;;;;;;;;x
d_soft_claws;Soft Claws;;;;;;;;;;;;;x
d_pegasus_archery_company;Pegasus Archery Company;;;;;;;;;;;;;x
d_nsi_warriors;Nsi Warriors;;;;;;;;;;;;;x
d_souls_of_the_sun;Souls of the Sun;;;;;;;;;;;;;x
d_trance_banshees;Trance Banshees;;;;;;;;;;;;;x
d_thunder_wolves;Thunder Wolves;;;;;;;;;;;;;x
d_ebonbrand;Ebonbrand;;;;;;;;;;;;;x
d_red_rain;Red Rain;;;;;;;;;;;;;x
d_flash_of_the_dragon;Flash of the Dragon;;;;;;;;;;;;;x
d_snowstriders;Snowstriders;;;;;;;;;;;;;x
d_lords_of_war;Lords of War;;;;;;;;;;;;;x
d_heartseekers;Heartseekers;;;;;;;;;;;;;x
d_desert_wind;Desert Wind;;;;;;;;;;;;;x
d_salamandra;Salamandra;;;;;;;;;;;;;x
d_old_legion;Old Legion;;;;;;;;;;;;;x
d_roselucks;Roselucks;;;;;;;;;;;;;x
d_new_blood;New Blood;;;;;;;;;;;;;x
d_golden_blades;Golden Blades;;;;;;;;;;;;;x
d_imperial_arrows;Imperial Arrows;;;;;;;;;;;;;x
d_norheim_marauders;Norheim Marauders;;;;;;;;;;;;;x
d_affordable_outlaws;Affordable Outlaws;;;;;;;;;;;;;x
d_royal_corsairs;Royal Corsairs;;;;;;;;;;;;;x
d_blood_money_band;Blood Money Band;;;;;;;;;;;;;x
d_forlorn_field_army;Forlorn Field Army;;;;;;;;;;;;;x
d_horns_of_winter;Horns of Winter;;;;;;;;;;;;;x
d_shining_ones;Shining Ones;;;;;;;;;;;;;x
d_medusas_eyes;Medusa's Eyes;;;;;;;;;;;;;x
d_fighting_cocks;Fighting Cocks;;;;;;;;;;;;;x
d_web_weavers;Web Weavers;;;;;;;;;;;;;x
d_longbolts;Longbolts;;;;;;;;;;;;;x
